Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,5,1.0,0.0,0.664,0.4779,0.2695,0.614,0.2114,0.6713
"Fair Logistic Regression (α=0.5, β=0.5)",Fair Logistic Regression,5,0.5,0.5,0.6583,0.3961,0.0916,0.5806,0.2081,0.6494
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,5,1.0,0.0,0.6785,0.5401,0.2848,0.6991,0.1811,0.6032
"Fair MLP (64-64) (α=0.75, β=0.75)",Fair MLP (64-64),5,0.75,0.75,0.6713,0.4808,0.0543,0.725,0.1702,0.5571
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),5,,,0.651,0.3571,0.0535,0.6,0.2091,0.6389
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),5,,,0.6227,0.3571,0.0738,0.525,0.2263,0.6381
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),5,,,0.6591,0.455,0.0569,0.6129,0.1823,0.5741
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),5,,,0.6526,0.3462,0.0146,0.5484,0.2184,0.6696
Random Forest (no fairness),Random Forest (no fairness),5,,,0.6372,0.5025,0.1114,1.0,0.1902,0.5636
