Model,Arch,Alpha,Beta,Seed,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Soft DP,Soft GE,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
Logistic Regression,logreg,0.5,0.5,5,0.6583,0.3961,0.0916,0.5806,0.2081,0.6494,0.15,0.107,0.6656,0.0881,0.3344,0.055,True
Logistic Regression,logreg,0.5,0.75,5,0.647,0.3654,0.0244,0.5484,0.2273,0.685,0.1413,0.1106,0.6413,0.0029,0.3117,0.079,True
Logistic Regression,logreg,0.5,1.0,5,0.634,0.2692,0.0134,0.4,0.2581,0.7498,0.1136,0.115,0.63,0.0112,0.2308,0.079,True
Logistic Regression,logreg,0.75,0.0,5,0.6713,0.5188,0.2799,0.6687,0.1964,0.6381,0.2596,0.1073,0.6688,0.3094,0.37,0.075,True
Logistic Regression,logreg,0.75,0.005,5,0.6704,0.5172,0.2783,0.6657,0.1971,0.6389,0.2311,0.1073,0.6704,0.3079,0.37,0.076,True
Logistic Regression,logreg,0.75,0.05,5,0.6672,0.5041,0.2699,0.6505,0.2002,0.6421,0.2347,0.1073,0.6729,0.2929,0.3611,0.076,True
Logistic Regression,logreg,0.75,0.25,5,0.6688,0.4566,0.1943,0.5927,0.2012,0.6486,0.2258,0.1081,0.6713,0.2115,0.3336,0.083,True
Logistic Regression,logreg,0.75,0.5,5,0.6534,0.3879,0.1795,0.5167,0.2306,0.7093,0.1874,0.1099,0.6672,0.1911,0.281,0.047,True
Logistic Regression,logreg,0.75,0.75,5,0.6518,0.3666,0.1605,0.4924,0.2342,0.7174,0.1798,0.1111,0.664,0.1741,0.2745,0.049,True
Logistic Regression,logreg,0.75,1.0,5,0.6534,0.3453,0.1299,0.4711,0.235,0.7239,0.1685,0.1122,0.6502,0.1454,0.2688,0.053,True
Logistic Regression,logreg,1.0,0.0,5,0.664,0.4779,0.2695,0.614,0.2114,0.6713,0.2579,0.1106,0.6704,0.2798,0.3247,0.075,True
Logistic Regression,logreg,1.0,0.005,5,0.664,0.4779,0.2695,0.614,0.2114,0.6713,0.2579,0.1106,0.6704,0.2798,0.3247,0.075,True
Logistic Regression,logreg,1.0,0.05,5,0.664,0.4779,0.2695,0.614,0.2114,0.6713,0.2579,0.1106,0.6704,0.2798,0.3247,0.073,True
Logistic Regression,logreg,1.0,0.25,5,0.664,0.4779,0.2695,0.614,0.2114,0.6713,0.2579,0.1106,0.6704,0.2798,0.3247,0.075,True
Logistic Regression,logreg,1.0,0.5,5,0.664,0.4779,0.2695,0.614,0.2114,0.6713,0.2579,0.1106,0.6704,0.2798,0.3247,0.075,True
Logistic Regression,logreg,1.0,0.75,5,0.664,0.4779,0.2695,0.614,0.2114,0.6713,0.2579,0.1106,0.6704,0.2798,0.3247,0.075,True
Logistic Regression,logreg,1.0,1.0,5,0.664,0.4779,0.2695,0.614,0.2114,0.6713,0.2579,0.1106,0.6704,0.2798,0.3247,0.077,True
MLP (64-64),mlp,0.0,0.0,5,0.4607,0.0,0.0,1.0,0.0524,0.0,0.03,0.052,0.4599,0.0,1.0,0.134,True
MLP (64-64),mlp,0.0,0.005,5,0.4607,0.0,0.0,1.0,0.0524,0.0,0.0028,0.0524,0.4599,0.0,1.0,0.113,True
MLP (64-64),mlp,0.0,0.05,5,0.4607,0.0,0.0,1.0,0.0524,0.0,0.0002,0.0524,0.4599,0.0,1.0,0.069,True
MLP (64-64),mlp,0.0,0.25,5,0.4607,0.0,0.0,1.0,0.0524,0.0,0.0002,0.0524,0.4599,0.0,1.0,0.092,True
MLP (64-64),mlp,0.0,0.5,5,0.4607,0.0,0.0,1.0,0.0524,0.0,0.0016,0.0524,0.4599,0.0,1.0,0.126,True
MLP (64-64),mlp,0.0,0.75,5,0.4607,0.0,0.0,1.0,0.0524,0.0,0.0022,0.1011,0.4599,0.0,1.0,0.048,True
MLP (64-64),mlp,0.0,1.0,5,0.4607,0.0,0.0,1.0,0.0524,0.0,0.0007,0.1051,0.4599,0.0,1.0,0.069,True
MLP (64-64),mlp,0.005,0.0,5,0.4607,0.0,0.0,1.0,0.0524,0.0,0.0702,0.0538,0.4599,0.0,1.0,0.08,True
MLP (64-64),mlp,0.005,0.005,5,0.4607,0.0,0.0,1.0,0.0524,0.0,0.101,0.0538,0.4599,0.0,1.0,0.087,True
MLP (64-64),mlp,0.005,0.05,5,0.4607,0.0,0.0,1.0,0.0524,0.0,0.1145,0.0538,0.4599,0.0,1.0,0.084,True
MLP (64-64),mlp,0.005,0.25,5,0.4607,0.0,0.0,1.0,0.0524,0.0,0.0819,0.0545,0.4599,0.0,1.0,0.122,True
MLP (64-64),mlp,0.005,0.5,5,0.4607,0.0,0.0,1.0,0.0524,0.0,0.011,0.054,0.4599,0.0,1.0,0.079,True
MLP (64-64),mlp,0.005,0.75,5,0.4607,0.0,0.0,1.0,0.0524,0.0,0.0036,0.0997,0.4599,0.0,1.0,0.053,True
MLP (64-64),mlp,0.005,1.0,5,0.5393,0.0,0.0,0.0,0.4272,,0.0,0.1266,0.5401,0.0,0.0,0.132,True
MLP (64-64),mlp,0.05,0.0,5,0.4899,0.5,0.0311,1.0,0.0587,0.0421,0.1788,0.0663,0.4785,0.0259,0.97,0.077,True
MLP (64-64),mlp,0.05,0.005,5,0.4696,0.5,0.0033,1.0,0.0537,0.0105,0.1713,0.066,0.4656,0.0046,0.9927,0.075,True
MLP (64-64),mlp,0.05,0.05,5,0.4745,0.5,0.0348,1.0,0.0574,0.0267,0.1684,0.0675,0.4729,0.0278,0.9773,0.076,True
MLP (64-64),mlp,0.05,0.25,5,0.4607,0.0,0.0,1.0,0.0524,0.0,0.1335,0.0672,0.4599,0.0,1.0,0.081,True
MLP (64-64),mlp,0.05,0.5,5,0.4607,0.0,0.0,1.0,0.0524,0.0,0.0186,0.0886,0.4599,0.0,1.0,0.045,True
MLP (64-64),mlp,0.05,0.75,5,0.4607,0.0,0.0,1.0,0.0524,0.0,0.0026,0.0949,0.4599,0.0,1.0,0.07,True
MLP (64-64),mlp,0.05,1.0,5,0.5393,0.0,0.0,0.0,0.4272,,0.0002,0.1283,0.5401,0.0,0.0,0.086,True
MLP (64-64),mlp,0.25,0.0,5,0.6761,0.6661,0.2539,0.8116,0.1399,0.4713,0.2477,0.0883,0.6502,0.2949,0.5344,0.054,True
MLP (64-64),mlp,0.25,0.005,5,0.6745,0.6579,0.2504,0.7994,0.1417,0.4745,0.2393,0.0887,0.6486,0.2908,0.5279,0.051,True
MLP (64-64),mlp,0.25,0.05,5,0.6818,0.6023,0.1971,1.0,0.1429,0.4883,0.2752,0.0902,0.6526,0.2421,0.519,0.053,True
MLP (64-64),mlp,0.25,0.25,5,0.6713,0.5714,0.0069,1.0,0.1569,0.5166,0.2208,0.0966,0.651,0.0121,0.4915,0.056,True
MLP (64-64),mlp,0.25,0.5,5,0.6591,0.5714,0.0371,1.0,0.1466,0.4688,0.1727,0.0945,0.6462,0.0066,0.5401,0.093,True
MLP (64-64),mlp,0.25,0.75,5,0.6429,0.2951,0.0152,1.0,0.2437,0.7263,0.0348,0.1114,0.6324,0.0196,0.2607,0.066,True
MLP (64-64),mlp,0.25,1.0,5,0.5563,0.036,0.0173,0.0547,0.3987,0.9749,0.0086,0.1213,0.5563,0.0149,0.0275,0.047,True
MLP (64-64),mlp,0.5,0.0,5,0.6745,0.581,0.2555,0.7356,0.1685,0.5571,0.2657,0.1003,0.6615,0.311,0.4518,0.079,True
MLP (64-64),mlp,0.5,0.005,5,0.6785,0.5827,0.2571,0.7386,0.1657,0.5547,0.2611,0.1001,0.6623,0.3134,0.4526,0.051,True
MLP (64-64),mlp,0.5,0.05,5,0.6826,0.5714,0.2436,1.0,0.1643,0.5571,0.2931,0.0999,0.6607,0.3008,0.4478,0.051,True
MLP (64-64),mlp,0.5,0.25,5,0.6769,0.5714,0.0831,1.0,0.1665,0.5547,0.2331,0.0996,0.6672,0.1123,0.4381,0.053,True
MLP (64-64),mlp,0.5,0.5,5,0.6672,0.4354,0.0443,1.0,0.1823,0.587,0.219,0.1063,0.6502,0.0262,0.3887,0.053,True
MLP (64-64),mlp,0.5,0.75,5,0.6729,0.4304,0.0112,0.6774,0.1762,0.5781,0.1872,0.1064,0.6534,0.0046,0.3935,0.066,True
