preprocessing,seed,epsilon,n_train,n_test,n_features,adult_rows,protected_attribute_in_X,estimator,constraint,randomized_prediction_metric,implementation,error,accuracy,hard_accuracy,paper_dp_violation,fairlearn_dpd,n_predictors,n_oracle_calls,best_gap,status,warning
preserve_missing,1,0.1,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,authors-code,0.14651556221076656,0.8534844377892334,0.8537384325608058,0.09758825142429031,0.14982273206360208,2,32,2.7755575615628914e-17,ok,
preserve_missing,1,0.1,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,modern-fairlearn,0.1468162681147784,0.8531837318852216,0.8533289656866759,0.09749624303156725,0.14871147737162085,2,28,1.3877787807814457e-15,ok,
preserve_missing,2,0.001,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,authors-code,0.16630567312733258,0.8336943268726674,0.8343297027270494,0.0036301856061488613,0.002726781068908085,2,23,0.00045428094599833657,ok,
preserve_missing,2,0.001,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,modern-fairlearn,0.1662627289910844,0.8337372710089156,0.8343297027270494,0.0035076675789570966,0.002726781068908085,2,20,0.00045100365569544776,ok,
preserve_missing,2,0.0031622776601683794,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,authors-code,0.1656543719837538,0.8343456280162462,0.8342478093522234,0.0012137918563644434,0.0024812015011281274,2,20,5.467848396278896e-15,ok,
preserve_missing,2,0.0031622776601683794,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,modern-fairlearn,0.16558380658215777,0.8344161934178422,0.8343297027270494,0.0011032202907810262,0.0022356219333481697,2,20,1.2323475573339238e-14,ok,
preserve_missing,2,0.01,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,authors-code,0.16414900342394667,0.8358509965760533,0.8342478093522234,0.005390441913534494,0.002972360636688043,2,20,4.6629367034256575e-15,ok,
preserve_missing,2,0.01,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,modern-fairlearn,0.16408754236618206,0.8359124576338179,0.8343297027270494,0.005420658049506949,0.002726781068908085,2,20,3.3029134982598407e-15,ok,
preserve_missing,2,0.03162277660168379,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,authors-code,0.15983411193365787,0.8401658880663421,0.8403898124641717,0.025666676278208206,0.04013733869112576,2,23,0.0,ok,
preserve_missing,2,0.03162277660168379,36631,12211,108,48842,True,"LogisticRegression(solver='liblinear', max_iter=1000)",DemographicParity,expected_error_from_positive_probability,modern-fairlearn,0.15989942914424088,0.8401005708557592,0.8403079190893457,0.025618838722441223,0.04001447347426865,2,23,8.992806499463768e-15,ok,
