Model,Arch,Alpha,Beta,Seed,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Soft DP,Soft GE,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
Logistic Regression,logreg,0.0,0.0,7,0.4518,0.0113,0.0113,0.0198,0.0521,0.0057,0.0727,0.0556,0.4283,0.0065,0.996,0.001,False
Logistic Regression,logreg,0.0,0.005,7,0.4518,0.0113,0.0113,0.0198,0.0521,0.0057,0.0526,0.0557,0.43,0.0052,0.9927,0.0,False
Logistic Regression,logreg,0.0,0.05,7,0.4518,0.0113,0.0113,0.0198,0.0521,0.0057,0.0411,0.0558,0.43,0.0003,0.9943,0.0,False
Logistic Regression,logreg,0.0,0.25,7,0.4494,0.0032,0.0032,0.0066,0.0515,0.0016,0.0424,0.056,0.4259,0.0,1.0,0.0,False
Logistic Regression,logreg,0.0,0.5,7,0.447,0.0113,0.0113,0.0126,0.0532,0.0057,0.1016,0.0843,0.4243,0.0081,0.9951,0.0,False
Logistic Regression,logreg,0.0,0.75,7,0.4478,0.0,0.0,0.0,0.0513,0.0,0.0821,0.0651,0.4251,0.0,0.9992,0.0,False
Logistic Regression,logreg,0.0,1.0,7,0.5619,0.25,0.0099,0.5,0.3889,0.9725,0.117,0.1348,0.583,0.0023,0.0202,0.0,False
Logistic Regression,logreg,0.005,0.0,7,0.4526,0.0194,0.0194,0.0297,0.0532,0.0097,0.1165,0.0568,0.4308,0.0062,0.9903,0.0,False
Logistic Regression,logreg,0.005,0.005,7,0.4551,0.0161,0.0139,0.0297,0.0524,0.0089,0.062,0.0569,0.4316,0.0046,0.9911,0.0,False
Logistic Regression,logreg,0.005,0.05,7,0.4526,0.0129,0.0129,0.0231,0.0522,0.0065,0.0595,0.0569,0.4308,0.0013,0.9935,0.0,False
Logistic Regression,logreg,0.005,0.25,7,0.4494,0.0032,0.0032,0.0066,0.0515,0.0016,0.0496,0.0573,0.4259,0.0,1.0,0.0,False
Logistic Regression,logreg,0.005,0.5,7,0.4478,0.0097,0.0097,0.0099,0.0528,0.0049,0.101,0.0834,0.4243,0.0049,0.9968,0.0,False
Logistic Regression,logreg,0.005,0.75,7,0.4478,0.0,0.0,0.0,0.0513,0.0,0.0842,0.0653,0.4251,0.0,0.9992,0.0,False
