Alpha,Beta,Group Fairness,Individual Fairness,Accuracy,Demographic Parity Difference,Equalized Odds Difference,Theil Index,Gini Coefficient,Train Time (s),Trained This Run
0.0,0.25,equalized_odds_difference,theil_index,0.62,0.19,0.24,0.18,0.67,0.375,True
0.0,0.25,equalized_odds_difference,generalized_entropy_index,0.41,0.1,0.33,0.12,0.32,0.397,True
0.0,0.25,equalized_odds_difference,atkinson_index,0.57,0.24,0.26,0.21,0.68,0.386,True
0.0,0.25,equalized_odds_difference,gini_coefficient,0.57,0.08,0.42,0.18,0.63,0.381,True
0.0,0.25,equal_opportunity_difference,theil_index,0.34,0.08,0.1,0.09,0.21,0.285,True
0.0,0.25,equal_opportunity_difference,generalized_entropy_index,0.51,0.08,0.14,0.07,0.27,0.287,True
0.0,0.25,equal_opportunity_difference,atkinson_index,0.53,0.3,0.57,0.19,0.61,0.293,True
0.0,0.25,equal_opportunity_difference,gini_coefficient,0.7,0.01,0.08,0.13,0.65,0.294,True
0.0,0.25,disparate_impact_difference,theil_index,0.4,0.06,0.11,0.1,0.26,0.227,True
0.0,0.25,disparate_impact_difference,generalized_entropy_index,0.67,0.09,0.11,0.18,0.74,0.227,True
0.0,0.25,disparate_impact_difference,atkinson_index,0.37,0.12,0.14,0.14,0.36,0.228,True
0.0,0.25,disparate_impact_difference,gini_coefficient,0.56,0.28,0.5,0.11,0.44,0.231,True
0.0,0.5,demographic_parity_difference,theil_index,0.39,0.18,0.5,0.1,0.26,0.221,True
0.0,0.5,demographic_parity_difference,generalized_entropy_index,0.29,0.01,0.19,0.08,0.15,0.222,True
0.0,0.5,demographic_parity_difference,atkinson_index,0.32,0.18,0.38,0.11,0.26,0.224,True
0.0,0.5,demographic_parity_difference,gini_coefficient,0.38,0.11,0.33,0.09,0.23,0.235,True
0.0,0.5,equalized_odds_difference,theil_index,0.36,0.13,0.24,0.12,0.31,0.382,True
0.0,0.5,equalized_odds_difference,generalized_entropy_index,0.67,0.08,0.17,0.21,0.85,0.382,True
0.0,0.5,equalized_odds_difference,atkinson_index,0.51,0.02,0.12,0.17,0.54,0.379,True
0.0,0.5,equalized_odds_difference,gini_coefficient,0.54,0.12,0.29,0.23,0.71,0.379,True
0.0,0.5,equal_opportunity_difference,theil_index,0.34,0.07,0.1,0.04,0.04,0.287,True
0.0,0.5,equal_opportunity_difference,generalized_entropy_index,0.34,0.05,0.12,0.08,0.18,0.29,True
0.0,0.5,equal_opportunity_difference,atkinson_index,0.63,0.07,0.37,0.17,0.66,0.291,True
0.0,0.5,equal_opportunity_difference,gini_coefficient,0.69,0.13,0.19,0.15,0.69,0.287,True
0.0,0.5,disparate_impact_difference,theil_index,0.48,0.12,0.15,0.19,0.56,0.225,True
0.0,0.5,disparate_impact_difference,generalized_entropy_index,0.61,0.13,0.13,0.24,0.82,0.231,True
0.0,0.5,disparate_impact_difference,atkinson_index,0.35,0.18,0.2,0.17,0.41,0.239,True
0.0,0.5,disparate_impact_difference,gini_coefficient,0.72,0.04,0.12,0.19,0.97,0.233,True
0.0,0.75,demographic_parity_difference,theil_index,0.39,0.32,0.32,0.16,0.41,0.223,True
0.0,0.75,demographic_parity_difference,generalized_entropy_index,0.55,0.16,0.23,0.18,0.6,0.226,True
0.0,0.75,demographic_parity_difference,atkinson_index,0.41,0.16,0.29,0.11,0.31,0.225,True
0.0,0.75,demographic_parity_difference,gini_coefficient,0.52,0.07,0.11,0.11,0.38,0.231,True
0.0,0.75,equalized_odds_difference,theil_index,0.63,0.09,0.12,0.15,0.62,0.377,True
0.0,0.75,equalized_odds_difference,generalized_entropy_index,0.39,0.3,0.46,0.08,0.21,0.383,True
0.0,0.75,equalized_odds_difference,atkinson_index,0.41,0.37,0.59,0.08,0.21,0.38,True
0.0,0.75,equalized_odds_difference,gini_coefficient,0.62,0.04,0.3,0.18,0.68,0.381,True
0.0,0.75,equal_opportunity_difference,theil_index,0.37,0.01,0.04,0.16,0.4,0.288,True
0.0,0.75,equal_opportunity_difference,generalized_entropy_index,0.49,0.09,0.14,0.19,0.57,0.288,True
0.0,0.75,equal_opportunity_difference,atkinson_index,0.57,0.15,0.21,0.17,0.61,0.287,True
0.0,0.75,equal_opportunity_difference,gini_coefficient,0.28,0.11,0.22,0.11,0.22,0.293,True
0.0,0.75,disparate_impact_difference,theil_index,0.53,0.03,0.23,0.21,0.65,0.23,True
0.0,0.75,disparate_impact_difference,generalized_entropy_index,0.4,0.08,0.14,0.18,0.47,0.227,True
0.0,0.75,disparate_impact_difference,atkinson_index,0.28,0.16,0.35,0.05,0.04,0.228,True
0.0,0.75,disparate_impact_difference,gini_coefficient,0.59,0.21,0.22,0.16,0.6,0.225,True
0.0,1.0,demographic_parity_difference,theil_index,0.32,0.13,0.22,0.06,0.1,0.227,True
