Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,2,1.0,0.0,0.811,0.0113,0.0113,0.0109,0.1141,0.9128
"Fair Logistic Regression (α=0.5, β=0.05)",Fair Logistic Regression,2,0.5,0.05,0.8128,0.0034,0.0034,0.0212,0.1116,0.898
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,2,1.0,0.0,0.8208,0.0282,0.0282,0.0318,0.1039,0.8727
"Fair MLP (64-64) (α=0.25, β=0.25)",Fair MLP (64-64),2,0.25,0.25,0.8197,0.0171,0.0171,0.0136,0.1033,0.8622
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),2,,,0.8098,0.0052,0.0052,0.0312,0.1156,0.9213
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),2,,,0.8083,0.0125,0.0125,0.0124,0.1166,0.9215
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),2,,,0.818,0.0016,0.0016,0.0305,0.107,0.8852
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),2,,,0.81,0.0064,0.0064,0.0294,0.1155,0.9212
Random Forest (no fairness),Random Forest (no fairness),2,,,0.8187,0.0332,0.0332,0.025,0.1045,0.8668
XGBoost (no fairness),XGBoost (no fairness),2,,,0.8235,0.0274,0.0274,0.0204,0.1023,0.873
