Model,Arch,Alpha,Beta,Seed,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Soft DP,Soft GE,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
Logistic Regression,logreg,0.5,0.5,2,0.8097,0.001,0.001,0.0305,0.1143,0.9042,0.0047,0.0695,0.8115,0.001,0.0907,0.226,True
Logistic Regression,logreg,0.5,0.75,2,0.8088,0.0009,0.0009,0.0305,0.1152,0.908,0.0046,0.0701,0.8097,0.0012,0.0858,0.221,True
Logistic Regression,logreg,0.5,1.0,2,0.8093,0.0027,0.0027,0.0429,0.1153,0.9132,0.0045,0.071,0.8092,0.0011,0.0803,0.214,True
Logistic Regression,logreg,0.75,0.0,2,0.8123,0.0135,0.0135,0.0074,0.1127,0.9062,0.0135,0.0697,0.8123,0.0176,0.0878,0.343,True
Logistic Regression,logreg,0.75,0.005,2,0.8122,0.0131,0.0131,0.0074,0.1128,0.9063,0.0129,0.0697,0.8123,0.0176,0.0878,0.34,True
Logistic Regression,logreg,0.75,0.05,2,0.8113,0.0092,0.0092,0.0095,0.1134,0.9065,0.006,0.0699,0.8125,0.0111,0.0867,0.349,True
Logistic Regression,logreg,0.75,0.25,2,0.811,0.0012,0.0012,0.0393,0.1139,0.9095,0.0039,0.0702,0.8112,0.0026,0.085,0.326,True
Logistic Regression,logreg,0.75,0.5,2,0.811,0.002,0.002,0.0376,0.114,0.9115,0.004,0.0705,0.8108,0.0017,0.083,0.319,True
Logistic Regression,logreg,0.75,0.75,2,0.8115,0.0018,0.0018,0.0354,0.1139,0.9133,0.0044,0.0708,0.8108,0.0004,0.0803,0.326,True
Logistic Regression,logreg,0.75,1.0,2,0.8107,0.0015,0.0015,0.0372,0.1146,0.9152,0.0041,0.0711,0.8108,0.0003,0.0787,0.311,True
Logistic Regression,logreg,1.0,0.0,2,0.811,0.0113,0.0113,0.0109,0.1141,0.9128,0.0104,0.0707,0.8115,0.0141,0.0827,0.335,True
Logistic Regression,logreg,1.0,0.005,2,0.811,0.0113,0.0113,0.0109,0.1141,0.9128,0.0104,0.0707,0.8115,0.0141,0.0827,0.305,True
Logistic Regression,logreg,1.0,0.05,2,0.811,0.0113,0.0113,0.0109,0.1141,0.9128,0.0104,0.0707,0.8115,0.0141,0.0827,0.374,True
Logistic Regression,logreg,1.0,0.25,2,0.811,0.0113,0.0113,0.0109,0.1141,0.9128,0.0104,0.0707,0.8115,0.0141,0.0827,0.343,True
Logistic Regression,logreg,1.0,0.5,2,0.811,0.0113,0.0113,0.0109,0.1141,0.9128,0.0104,0.0707,0.8115,0.0141,0.0827,0.331,True
Logistic Regression,logreg,1.0,0.75,2,0.811,0.0113,0.0113,0.0109,0.1141,0.9128,0.0104,0.0707,0.8115,0.0141,0.0827,0.385,True
Logistic Regression,logreg,1.0,1.0,2,0.811,0.0113,0.0113,0.0109,0.1141,0.9128,0.0104,0.0707,0.8115,0.0141,0.0827,0.338,True
MLP (64-64),mlp,0.0,0.0,2,0.2225,0.0,0.0,0.0,0.0274,0.0,0.0034,0.0273,0.2212,0.0,1.0,0.147,True
MLP (64-64),mlp,0.0,0.005,2,0.2225,0.0,0.0,0.0,0.0274,0.0,0.0029,0.0273,0.2212,0.0,1.0,0.141,True
MLP (64-64),mlp,0.0,0.05,2,0.2225,0.0,0.0,0.0,0.0274,0.0,0.001,0.0273,0.2212,0.0,1.0,0.399,True
MLP (64-64),mlp,0.0,0.25,2,0.2225,0.0,0.0,0.0,0.0274,0.0,0.0005,0.0273,0.2212,0.0,1.0,0.222,True
MLP (64-64),mlp,0.0,0.5,2,0.2225,0.0,0.0,0.0,0.0274,0.0,0.001,0.0273,0.2212,0.0,1.0,0.283,True
MLP (64-64),mlp,0.0,0.75,2,0.2225,0.0,0.0,0.0,0.0274,0.0,0.0005,0.0274,0.2212,0.0,1.0,0.465,True
MLP (64-64),mlp,0.0,1.0,2,0.2225,0.0,0.0,0.0,0.0274,0.0,0.0001,0.0496,0.2212,0.0,1.0,0.181,True
MLP (64-64),mlp,0.005,0.0,2,0.2225,0.0,0.0,0.0,0.0274,0.0,0.022,0.0291,0.2212,0.0,1.0,0.783,True
MLP (64-64),mlp,0.005,0.005,2,0.2225,0.0,0.0,0.0,0.0274,0.0,0.0024,0.0292,0.2212,0.0,1.0,0.735,True
MLP (64-64),mlp,0.005,0.05,2,0.2225,0.0,0.0,0.0,0.0274,0.0,0.004,0.0293,0.2212,0.0,1.0,0.934,True
MLP (64-64),mlp,0.005,0.25,2,0.2225,0.0,0.0,0.0,0.0274,0.0,0.0022,0.0297,0.2212,0.0,1.0,0.475,True
MLP (64-64),mlp,0.005,0.5,2,0.2225,0.0,0.0,0.0,0.0274,0.0,0.0017,0.0316,0.2212,0.0,1.0,0.347,True
MLP (64-64),mlp,0.005,0.75,2,0.2225,0.0,0.0,0.0,0.0274,0.0,0.0002,0.0406,0.2212,0.0,1.0,0.263,True
MLP (64-64),mlp,0.005,1.0,2,0.7775,0.0,0.0,0.0,0.1431,,0.0,0.0827,0.7788,0.0,0.0,1.9,True
MLP (64-64),mlp,0.05,0.0,2,0.759,0.0821,0.0821,0.0714,0.1002,0.6962,0.0338,0.0424,0.7533,0.0976,0.3008,0.42,True
MLP (64-64),mlp,0.05,0.005,2,0.7623,0.0397,0.0397,0.0287,0.1004,0.7025,0.0122,0.0424,0.7593,0.0534,0.2918,0.46,True
MLP (64-64),mlp,0.05,0.05,2,0.7497,0.0103,0.0103,0.0249,0.0977,0.6715,0.0055,0.0424,0.743,0.0061,0.3175,0.672,True
MLP (64-64),mlp,0.05,0.25,2,0.7927,0.0078,0.0078,0.007,0.1012,0.7655,0.0038,0.0456,0.7862,0.0084,0.2233,0.334,True
MLP (64-64),mlp,0.05,0.5,2,0.8108,0.0215,0.0215,0.0127,0.1006,0.8107,0.0039,0.0505,0.8023,0.0176,0.1808,0.286,True
MLP (64-64),mlp,0.05,0.75,2,0.8178,0.014,0.014,0.0055,0.1046,0.8637,0.0047,0.0596,0.812,0.0082,0.1322,0.343,True
MLP (64-64),mlp,0.05,1.0,2,0.8102,0.0039,0.0039,0.0178,0.1137,0.9017,0.0035,0.0698,0.8122,0.0112,0.0973,0.486,True
MLP (64-64),mlp,0.25,0.0,2,0.8207,0.0413,0.0413,0.0641,0.1011,0.8495,0.04,0.0606,0.815,0.0386,0.1478,0.4,True
