Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,1,1.0,0.0,0.765,0.0616,0.0616,0.0682,0.138,0.8
"Fair Logistic Regression (α=0.25, β=0.5)",Fair Logistic Regression,1,0.25,0.5,0.73,0.0404,0.0404,0.1641,0.1404,0.725
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,1,1.0,0.0,0.775,0.0737,0.0737,0.0385,0.1301,0.79
"Fair MLP (64-64) (α=0.75, β=0.75)",Fair MLP (64-64),1,0.75,0.75,0.745,0.0193,0.0193,0.0362,0.1387,0.75
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),1,,,0.74,0.0155,0.0155,0.1115,0.1498,0.785
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),1,,,0.74,0.0155,0.0155,0.1115,0.1498,0.785
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),1,,,0.73,0.0435,0.0435,0.191,0.1296,0.685
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),1,,,0.755,0.0411,0.0411,0.1872,0.1441,0.8
Random Forest (no fairness),Random Forest (no fairness),1,,,0.75,0.0101,0.0101,0.0615,0.1439,0.785
