Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,0,1.0,0.0,0.73,0.02,0.02,0.0073,0.1713,0.86
"Fair Logistic Regression (α=0.5, β=0.05)",Fair Logistic Regression,0,0.5,0.05,0.725,0.0347,0.0347,0.0836,0.1671,0.825
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,0,1.0,0.0,0.745,0.0009,0.0009,0.0642,0.1502,0.805
"Fair MLP (64-64) (α=0.25, β=0.0)",Fair MLP (64-64),0,0.25,0.0,0.7,0.1033,0.1033,0.1671,0.1379,0.67
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),0,,,0.71,0.0069,0.0069,0.057,0.1728,0.81
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),0,,,0.71,0.0069,0.0069,0.057,0.1728,0.81
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),0,,,0.73,0.0113,0.0113,0.0873,0.1672,0.84
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),0,,,0.715,0.0443,0.0443,0.0728,0.1685,0.805
Random Forest (no fairness),Random Forest (no fairness),0,,,0.745,0.0208,0.0208,0.1467,0.1502,0.805
XGBoost (no fairness),XGBoost (no fairness),0,,,0.74,0.0712,0.0712,0.1574,0.1427,0.76
