Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,3,1.0,0.0,0.7136,0.3093,0.3093,0.3073,0.1838,0.7862
"Fair Logistic Regression (α=0.75, β=0.75)",Fair Logistic Regression,3,0.75,0.75,0.713,0.0367,0.0367,0.0216,0.1857,0.793
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,3,1.0,0.0,0.7363,0.2576,0.2576,0.2373,0.1596,0.7447
"Fair MLP (64-64) (α=0.5, β=0.25)",Fair MLP (64-64),3,0.5,0.25,0.7322,0.0138,0.0138,0.0936,0.1567,0.7206
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),3,,,0.7137,0.0261,0.0261,0.0293,0.1843,0.7889
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),3,,,0.7133,0.0629,0.0629,0.0168,0.1847,0.7893
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),3,,,0.7097,0.0142,0.0142,0.0404,0.1797,0.7571
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),3,,,0.7135,0.0604,0.0604,0.0278,0.1847,0.7903
Random Forest (no fairness),Random Forest (no fairness),3,,,0.7178,0.1998,0.1998,0.2078,0.1586,0.6944
XGBoost (no fairness),XGBoost (no fairness),3,,,0.7345,0.2358,0.2358,0.2225,0.1593,0.7381
