Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,4,1.0,0.0,0.7022,0.2305,0.2305,0.2193,0.1946,0.7899
"Fair Logistic Regression (α=0.75, β=0.75)",Fair Logistic Regression,4,0.75,0.75,0.6969,0.0207,0.0207,0.0299,0.2001,0.7968
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,4,1.0,0.0,0.7297,0.221,0.221,0.1908,0.1662,0.7468
"Fair MLP (64-64) (α=0.75, β=0.25)",Fair MLP (64-64),4,0.75,0.25,0.7279,0.0221,0.0221,0.0566,0.1651,0.7366
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),4,,,0.6971,0.0056,0.0056,0.0556,0.1985,0.7906
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),4,,,0.6994,0.0524,0.0524,0.0184,0.1931,0.7749
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),4,,,0.6983,0.0015,0.0015,0.0643,0.19,0.7594
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),4,,,0.7003,0.0413,0.0413,0.0354,0.1964,0.7918
Random Forest (no fairness),Random Forest (no fairness),4,,,0.7084,0.1728,0.1728,0.1582,0.1657,0.6923
XGBoost (no fairness),XGBoost (no fairness),4,,,0.7308,0.2455,0.2455,0.2168,0.1633,0.7367
