Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,8,1.0,0.0,0.8132,0.11,0.0161,0.2885,0.1128,0.9155
"Fair Logistic Regression (α=0.25, β=0.05)",Fair Logistic Regression,8,0.25,0.05,0.8165,0.0752,0.0293,0.0501,0.1067,0.8748
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,8,1.0,0.0,0.8232,0.116,0.0608,0.1968,0.1025,0.8745
"Fair MLP (64-64) (α=0.75, β=0.5)",Fair MLP (64-64),8,0.75,0.5,0.8228,0.065,0.0424,0.0789,0.1026,0.8728
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),8,,,0.8122,0.0213,0.0139,0.3333,0.1115,0.8935
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),8,,,0.8078,0.0253,0.0141,0.1498,0.1166,0.9178
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),8,,,0.812,0.0286,0.0033,0.1427,0.1104,0.8833
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),8,,,0.8117,0.0248,0.0087,0.0982,0.1146,0.926
Random Forest (no fairness),Random Forest (no fairness),8,,,0.8215,0.1088,0.0427,0.2086,0.1032,0.8715
XGBoost (no fairness),XGBoost (no fairness),8,,,0.8243,0.1578,0.0498,0.4466,0.1021,0.8767
