Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,9,1.0,0.0,0.8102,0.1174,0.0275,0.2906,0.1145,0.9122
"Fair Logistic Regression (α=0.5, β=0.5)",Fair Logistic Regression,9,0.5,0.5,0.8088,0.043,0.0316,0.292,0.1146,0.9038
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,9,1.0,0.0,0.816,0.1369,0.0729,0.4075,0.1071,0.8773
"Fair MLP (64-64) (α=0.5, β=0.25)",Fair MLP (64-64),9,0.5,0.25,0.8182,0.0782,0.0579,0.4039,0.1055,0.8745
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),9,,,0.812,0.0412,0.0378,0.3464,0.111,0.8897
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),9,,,0.8067,0.0375,0.0335,0.2679,0.1176,0.9213
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),9,,,0.8123,0.0312,0.0234,0.3555,0.1097,0.88
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),9,,,0.8053,0.0297,0.0207,0.2269,0.1189,0.9263
Random Forest (no fairness),Random Forest (no fairness),9,,,0.8083,0.1131,0.0602,0.4151,0.1105,0.8673
XGBoost (no fairness),XGBoost (no fairness),9,,,0.815,0.1485,0.0657,0.4009,0.1073,0.8733
