Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,8,1.0,0.0,0.8132,0.0162,0.0162,0.0135,0.1128,0.9155
"Fair Logistic Regression (α=0.25, β=0.05)",Fair Logistic Regression,8,0.25,0.05,0.8193,0.0037,0.0037,0.0216,0.1044,0.8703
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,8,1.0,0.0,0.8232,0.0253,0.0253,0.0228,0.1025,0.8745
"Fair MLP (64-64) (α=0.5, β=0.75)",Fair MLP (64-64),8,0.5,0.75,0.8235,0.0033,0.0033,0.0435,0.1033,0.8838
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),8,,,0.814,0.013,0.013,0.0102,0.1128,0.9233
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),8,,,0.8143,0.016,0.016,0.023,0.1126,0.923
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),8,,,0.8197,0.004,0.004,0.0162,0.1065,0.8917
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),8,,,0.814,0.0084,0.0084,0.0048,0.1128,0.9227
Random Forest (no fairness),Random Forest (no fairness),8,,,0.8215,0.0238,0.0238,0.033,0.1032,0.8715
XGBoost (no fairness),XGBoost (no fairness),8,,,0.8243,0.0337,0.0337,0.0246,0.1021,0.8767
