Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,6,1.0,0.0,0.803,0.0872,0.014,0.2469,0.1207,0.9223
"Fair Logistic Regression (α=0.5, β=0.05)",Fair Logistic Regression,6,0.5,0.05,0.8042,0.0482,0.0061,0.2048,0.1186,0.9072
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,6,1.0,0.0,0.8135,0.1512,0.0615,0.4145,0.1087,0.8705
"Fair MLP (64-64) (α=0.5, β=0.5)",Fair MLP (64-64),6,0.5,0.5,0.8115,0.1046,0.0325,0.3074,0.109,0.8638
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),6,,,0.7995,0.0426,0.0102,0.2821,0.1211,0.9015
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),6,,,0.7953,0.0618,0.0167,0.2265,0.1262,0.924
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),6,,,0.8037,0.0229,0.0055,0.2476,0.1178,0.8957
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),6,,,0.801,0.0344,0.0026,0.1292,0.1229,0.9327
Random Forest (no fairness),Random Forest (no fairness),6,,,0.8108,0.1289,0.0502,0.3229,0.1096,0.8652
XGBoost (no fairness),XGBoost (no fairness),6,,,0.8093,0.1448,0.0521,0.4071,0.1112,0.8703
