Model,Arch,Alpha,Beta,Seed,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Soft DP,Soft GE,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
Logistic Regression,logreg,0.75,0.05,0,0.7418,0.1017,0.1017,0.0824,0.098,0.3077,0.0814,0.0871,0.7516,0.0957,0.6773,0.587,True
Logistic Regression,logreg,0.75,0.25,0,0.7452,0.0473,0.0473,0.0456,0.0965,0.3069,0.0344,0.0878,0.754,0.0378,0.6807,0.645,True
Logistic Regression,logreg,0.75,0.5,0,0.7426,0.0104,0.0104,0.093,0.0978,0.3079,0.0009,0.0891,0.7519,0.0003,0.6778,0.687,True
Logistic Regression,logreg,0.75,0.75,0,0.7433,0.0121,0.0121,0.0893,0.0985,0.3118,0.0009,0.0896,0.752,0.0016,0.6743,0.678,True
Logistic Regression,logreg,0.75,1.0,0,0.7439,0.0128,0.0128,0.0891,0.0992,0.315,0.0006,0.0902,0.7519,0.0005,0.6708,0.655,True
Logistic Regression,logreg,1.0,0.0,0,0.7434,0.1259,0.1259,0.1066,0.1019,0.3245,0.095,0.0889,0.7513,0.1155,0.662,0.662,True
Logistic Regression,logreg,1.0,0.005,0,0.7434,0.1259,0.1259,0.1066,0.1019,0.3245,0.095,0.0889,0.7513,0.1155,0.662,0.681,True
Logistic Regression,logreg,1.0,0.05,0,0.7434,0.1259,0.1259,0.1066,0.1019,0.3245,0.095,0.0889,0.7513,0.1155,0.662,0.649,True
Logistic Regression,logreg,1.0,0.25,0,0.7434,0.1259,0.1259,0.1066,0.1019,0.3245,0.095,0.0889,0.7513,0.1155,0.662,0.672,True
Logistic Regression,logreg,1.0,0.5,0,0.7434,0.1259,0.1259,0.1066,0.1019,0.3245,0.095,0.0889,0.7513,0.1155,0.662,0.681,True
Logistic Regression,logreg,1.0,0.75,0,0.7434,0.1259,0.1259,0.1066,0.1019,0.3245,0.095,0.0889,0.7513,0.1155,0.662,0.686,True
Logistic Regression,logreg,1.0,1.0,0,0.7434,0.1259,0.1259,0.1066,0.1019,0.3245,0.095,0.0889,0.7513,0.1155,0.662,0.691,True
MLP (64-64),mlp,0.0,0.0,0,0.6358,0.0104,0.0104,0.011,0.063,0.0631,0.0169,0.0529,0.6343,0.0111,0.9328,5.028,True
MLP (64-64),mlp,0.0,0.005,0,0.6395,0.002,0.002,0.03,0.0634,0.0678,0.0103,0.0528,0.6387,0.0018,0.928,5.064,True
MLP (64-64),mlp,0.0,0.05,0,0.602,0.0056,0.0056,0.0285,0.0614,0.0269,0.0044,0.0533,0.5954,0.0021,0.9731,3.345,True
MLP (64-64),mlp,0.0,0.25,0,0.5755,0.0,0.0,0.0,0.0602,0.0,0.0007,0.0599,0.5693,0.0,1.0,0.466,True
MLP (64-64),mlp,0.0,0.5,0,0.5755,0.0,0.0,0.0,0.0602,0.0,0.0,0.0602,0.5693,0.0,1.0,0.762,True
MLP (64-64),mlp,0.0,0.75,0,0.5755,0.0,0.0,0.0,0.0602,0.0,0.0002,0.0601,0.5693,0.0,1.0,0.691,True
MLP (64-64),mlp,0.0,1.0,0,0.5755,0.0,0.0,0.0,0.0602,0.0,0.0,0.1326,0.5693,0.0,1.0,1.378,True
MLP (64-64),mlp,0.005,0.0,0,0.6688,0.0214,0.0214,0.0039,0.0647,0.1011,0.0304,0.0536,0.6673,0.0173,0.8946,4.165,True
MLP (64-64),mlp,0.005,0.005,0,0.6708,0.006,0.006,0.0621,0.0653,0.1053,0.0163,0.0534,0.6741,0.0153,0.8868,4.284,True
MLP (64-64),mlp,0.005,0.05,0,0.6581,0.0056,0.0056,0.0539,0.0646,0.09,0.0077,0.0536,0.6603,0.0128,0.9034,3.504,True
MLP (64-64),mlp,0.005,0.25,0,0.6427,0.0038,0.0038,0.0243,0.0641,0.0734,0.0048,0.0546,0.6448,0.0034,0.9207,2.151,True
MLP (64-64),mlp,0.005,0.5,0,0.5755,0.0,0.0,0.0,0.0602,0.0,0.0038,0.0566,0.5693,0.0,1.0,2.711,True
MLP (64-64),mlp,0.005,0.75,0,0.5755,0.0,0.0,0.0,0.0602,0.0,0.0022,0.0603,0.5693,0.0,1.0,2.428,True
MLP (64-64),mlp,0.005,1.0,0,0.5755,0.0,0.0,0.0,0.0602,0.0,0.0,0.1244,0.5693,0.0,1.0,1.103,True
MLP (64-64),mlp,0.05,0.0,0,0.7361,0.0391,0.0391,0.0153,0.0727,0.2056,0.0609,0.059,0.7366,0.0228,0.7865,2.25,True
MLP (64-64),mlp,0.05,0.005,0,0.7356,0.0269,0.0269,0.0403,0.0726,0.2047,0.0521,0.059,0.7373,0.0079,0.7884,2.692,True
MLP (64-64),mlp,0.05,0.05,0,0.7355,0.0185,0.0185,0.1205,0.0727,0.205,0.0097,0.0596,0.7356,0.0344,0.7863,2.582,True
MLP (64-64),mlp,0.05,0.25,0,0.7263,0.0074,0.0074,0.0666,0.0734,0.1962,0.007,0.0637,0.7269,0.0063,0.7966,1.214,True
MLP (64-64),mlp,0.05,0.5,0,0.7363,0.0097,0.0097,0.0666,0.0768,0.2214,0.0067,0.0677,0.7407,0.0011,0.7666,1.943,True
MLP (64-64),mlp,0.05,0.75,0,0.7336,0.0164,0.0164,0.0425,0.0804,0.2311,0.0064,0.0745,0.7336,0.0089,0.7593,1.423,True
MLP (64-64),mlp,0.05,1.0,0,0.705,0.0169,0.0169,0.0229,0.1057,0.2837,0.0024,0.0961,0.7063,0.0137,0.7024,1.472,True
MLP (64-64),mlp,0.25,0.0,0,0.7611,0.0639,0.0639,0.0485,0.087,0.2946,0.0909,0.0716,0.768,0.0581,0.6931,2.06,True
MLP (64-64),mlp,0.25,0.005,0,0.7626,0.0597,0.0597,0.0462,0.0863,0.2945,0.0852,0.0712,0.7671,0.0547,0.695,1.969,True
MLP (64-64),mlp,0.25,0.05,0,0.763,0.0002,0.0002,0.116,0.0855,0.2917,0.0352,0.0716,0.7661,0.006,0.6986,2.298,True
MLP (64-64),mlp,0.25,0.25,0,0.7642,0.0018,0.0018,0.1194,0.0855,0.2935,0.0114,0.0732,0.7632,0.0119,0.6959,2.393,True
MLP (64-64),mlp,0.25,0.5,0,0.7557,0.0105,0.0105,0.0872,0.0822,0.268,0.0078,0.0747,0.7592,0.0017,0.7243,1.34,True
MLP (64-64),mlp,0.25,0.75,0,0.7625,0.0158,0.0158,0.0883,0.0874,0.2986,0.0082,0.0795,0.7639,0.0022,0.6898,1.823,True
MLP (64-64),mlp,0.25,1.0,0,0.7651,0.0185,0.0185,0.0969,0.0953,0.334,0.0087,0.0857,0.764,0.0023,0.6545,2.214,True
MLP (64-64),mlp,0.5,0.0,0,0.7666,0.0765,0.0765,0.0683,0.0933,0.3283,0.0999,0.0761,0.7715,0.0702,0.6592,1.993,True
MLP (64-64),mlp,0.5,0.005,0,0.7658,0.0758,0.0758,0.0641,0.0935,0.3279,0.0963,0.0763,0.7697,0.0715,0.662,1.649,True
MLP (64-64),mlp,0.5,0.05,0,0.768,0.0453,0.0453,0.0716,0.0927,0.3285,0.0747,0.0766,0.7716,0.04,0.6583,1.945,True
MLP (64-64),mlp,0.5,0.25,0,0.7651,0.009,0.009,0.1283,0.0888,0.3082,0.0182,0.0756,0.7664,0.0207,0.6777,2.983,True
MLP (64-64),mlp,0.5,0.5,0,0.7662,0.0041,0.0041,0.1312,0.0918,0.3219,0.0129,0.0778,0.7676,0.0171,0.6635,2.929,True
MLP (64-64),mlp,0.5,0.75,0,0.7645,0.0075,0.0075,0.1084,0.0913,0.317,0.0116,0.0789,0.7672,0.0149,0.6691,3.136,True
MLP (64-64),mlp,0.5,1.0,0,0.7653,0.0126,0.0126,0.1014,0.092,0.321,0.0099,0.0811,0.7665,0.0075,0.669,2.503,True
MLP (64-64),mlp,0.75,0.0,0,0.7667,0.0759,0.0759,0.0628,0.0934,0.3292,0.1016,0.0773,0.7713,0.0754,0.6584,1.869,True
MLP (64-64),mlp,0.75,0.005,0,0.7643,0.0796,0.0796,0.0714,0.0965,0.3374,0.1033,0.078,0.7724,0.0818,0.6493,1.945,True
MLP (64-64),mlp,0.75,0.05,0,0.7668,0.0664,0.0664,0.0573,0.0943,0.3327,0.0937,0.0776,0.7729,0.0693,0.6526,1.647,True
MLP (64-64),mlp,0.75,0.25,0,0.7681,0.0235,0.0235,0.094,0.093,0.3296,0.0505,0.0783,0.7689,0.0105,0.6532,1.724,True
MLP (64-64),mlp,0.75,0.5,0,0.7643,0.0198,0.0198,0.1418,0.0975,0.3414,0.0138,0.0805,0.7661,0.0374,0.6412,1.438,True
MLP (64-64),mlp,0.75,0.75,0,0.7663,0.0079,0.0079,0.1298,0.0951,0.335,0.0128,0.0799,0.7672,0.0207,0.6483,1.801,True
MLP (64-64),mlp,0.75,1.0,0,0.7667,0.0088,0.0088,0.1358,0.0953,0.3368,0.0132,0.0804,0.7703,0.0201,0.6488,1.849,True
MLP (64-64),mlp,1.0,0.0,0,0.7693,0.0904,0.0904,0.0823,0.0972,0.3486,0.1067,0.0795,0.7731,0.0868,0.6356,1.336,True
MLP (64-64),mlp,1.0,0.005,0,0.7693,0.0904,0.0904,0.0823,0.0972,0.3486,0.1067,0.0795,0.7731,0.0868,0.6356,1.39,True
MLP (64-64),mlp,1.0,0.05,0,0.7693,0.0904,0.0904,0.0823,0.0972,0.3486,0.1067,0.0795,0.7731,0.0868,0.6356,1.632,True
MLP (64-64),mlp,1.0,0.25,0,0.7693,0.0904,0.0904,0.0823,0.0972,0.3486,0.1067,0.0795,0.7731,0.0868,0.6356,1.51,True
MLP (64-64),mlp,1.0,0.5,0,0.7693,0.0904,0.0904,0.0823,0.0972,0.3486,0.1067,0.0795,0.7731,0.0868,0.6356,1.676,True
MLP (64-64),mlp,1.0,0.75,0,0.7693,0.0904,0.0904,0.0823,0.0972,0.3486,0.1067,0.0795,0.7731,0.0868,0.6356,1.489,True
MLP (64-64),mlp,1.0,1.0,0,0.7693,0.0904,0.0904,0.0823,0.0972,0.3486,0.1067,0.0795,0.7731,0.0868,0.6356,1.584,True
