Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,5,1.0,0.0,0.8142,0.1267,0.0138,0.3175,0.1126,0.9193
"Fair Logistic Regression (α=0.25, β=0.25)",Fair Logistic Regression,5,0.25,0.25,0.8177,0.1244,0.028,0.3929,0.107,0.8828
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,5,1.0,0.0,0.8197,0.189,0.0637,0.4325,0.1043,0.8698
"Fair MLP (64-64) (α=0.75, β=0.5)",Fair MLP (64-64),5,0.75,0.5,0.8203,0.1295,0.0435,0.4048,0.1043,0.8732
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),5,,,0.8138,0.0751,0.0167,0.369,0.1097,0.885
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),5,,,0.803,0.1011,0.0211,0.254,0.1212,0.9325
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),5,,,0.8173,0.0597,0.0024,0.367,0.1081,0.8915
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),5,,,0.8083,0.058,0.0107,0.2414,0.1175,0.9338
Random Forest (no fairness),Random Forest (no fairness),5,,,0.8148,0.1387,0.0493,0.3968,0.1075,0.8717
XGBoost (no fairness),XGBoost (no fairness),5,,,0.8198,0.1664,0.0449,0.4246,0.1048,0.8743
