Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,4,1.0,0.0,0.8052,0.1097,0.0145,0.3092,0.1189,0.9182
"Fair Logistic Regression (α=0.5, β=0.0)",Fair Logistic Regression,4,0.5,0.0,0.81,0.1378,0.0265,0.3855,0.1138,0.8977
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,4,1.0,0.0,0.8187,0.144,0.0667,0.2418,0.1067,0.882
"Fair MLP (64-64) (α=0.5, β=0.25)",Fair MLP (64-64),4,0.5,0.25,0.8182,0.0629,0.0457,0.0794,0.1069,0.8808
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),4,,,0.8052,0.0353,0.0187,0.1092,0.1177,0.9042
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),4,,,0.7942,0.0398,0.0228,0.041,0.1279,0.9358
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),4,,,0.809,0.0238,0.0094,0.1025,0.114,0.8923
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),4,,,0.8013,0.0345,0.0179,0.1983,0.1228,0.935
Random Forest (no fairness),Random Forest (no fairness),4,,,0.8162,0.099,0.0553,0.2297,0.1077,0.8762
XGBoost (no fairness),XGBoost (no fairness),4,,,0.8155,0.113,0.0551,0.2337,0.1085,0.8802
