Model,Arch,Alpha,Beta,Seed,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Soft DP,Soft GE,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
Logistic Regression,logreg,0.0,0.0,4,0.2272,0.0005,0.0005,0.0006,0.0279,0.0002,0.0581,0.0294,0.218,0.0005,0.9998,0.436,True
Logistic Regression,logreg,0.0,0.005,4,0.2272,0.0005,0.0005,0.0006,0.0279,0.0002,0.0479,0.0293,0.218,0.0005,0.9998,0.44,True
Logistic Regression,logreg,0.0,0.05,4,0.2272,0.0005,0.0005,0.0006,0.0279,0.0002,0.0115,0.0299,0.218,0.0005,0.9998,0.421,True
Logistic Regression,logreg,0.0,0.25,4,0.2273,0.0005,0.0001,0.0006,0.0279,0.0003,0.0101,0.0302,0.2182,0.0005,0.9997,0.434,True
Logistic Regression,logreg,0.0,0.5,4,0.2277,0.001,0.0002,0.0012,0.028,0.0007,0.0083,0.0307,0.2182,0.0001,0.9997,0.434,True
Logistic Regression,logreg,0.0,0.75,4,0.2357,0.0038,0.0015,0.0145,0.0303,0.0137,0.0064,0.0393,0.2272,0.0087,0.9843,0.182,True
Logistic Regression,logreg,0.0,1.0,4,0.2988,0.0331,0.0227,0.0874,0.0729,0.1925,0.0075,0.0538,0.2918,0.0004,0.8037,0.07,True
Logistic Regression,logreg,0.005,0.0,4,0.2275,0.0024,0.0017,0.0024,0.0282,0.0012,0.099,0.0317,0.2188,0.0012,0.999,0.432,True
Logistic Regression,logreg,0.005,0.005,4,0.2273,0.001,0.0002,0.0015,0.028,0.0007,0.0495,0.0318,0.2187,0.0002,0.9992,0.442,True
Logistic Regression,logreg,0.005,0.05,4,0.2272,0.0007,0.0002,0.0015,0.028,0.0005,0.0081,0.0321,0.2185,0.0002,0.9993,0.443,True
Logistic Regression,logreg,0.005,0.25,4,0.2275,0.0011,0.0001,0.0015,0.0281,0.0008,0.0063,0.0326,0.2185,0.0006,0.9993,0.44,True
Logistic Regression,logreg,0.005,0.5,4,0.2308,0.0067,0.0014,0.0072,0.0287,0.0052,0.0058,0.0358,0.223,0.0043,0.9942,0.245,True
Logistic Regression,logreg,0.005,0.75,4,0.2512,0.0168,0.0136,0.0798,0.0398,0.0558,0.0056,0.0459,0.2373,0.003,0.9475,0.117,True
Logistic Regression,logreg,0.005,1.0,4,0.3955,0.107,0.0205,0.1278,0.1138,0.3742,0.0091,0.0575,0.3927,0.0,0.6262,0.068,True
Logistic Regression,logreg,0.05,0.0,4,0.5648,0.5811,0.1402,0.5574,0.0986,0.4625,0.164,0.0471,0.5718,0.1389,0.538,0.439,True
Logistic Regression,logreg,0.05,0.005,4,0.5668,0.094,0.0865,0.3437,0.0995,0.4668,0.0331,0.0471,0.5742,0.0839,0.532,0.381,True
Logistic Regression,logreg,0.05,0.05,4,0.6017,0.0491,0.0337,0.3317,0.1055,0.517,0.0054,0.0477,0.6088,0.039,0.487,0.319,True
Logistic Regression,logreg,0.05,0.25,4,0.7263,0.1947,0.1428,0.4644,0.1157,0.697,0.0105,0.0506,0.7262,0.1297,0.308,0.331,True
Logistic Regression,logreg,0.05,0.5,4,0.7495,0.043,0.0138,0.2892,0.1454,0.8585,0.0056,0.0593,0.7568,0.0056,0.143,0.098,True
Logistic Regression,logreg,0.05,0.75,4,0.7627,0.0204,0.0026,0.1098,0.1512,0.9427,0.0077,0.0654,0.769,0.0023,0.0598,0.124,True
Logistic Regression,logreg,0.05,1.0,4,0.7735,0.0052,0.0051,0.0562,0.1462,0.9838,0.0091,0.075,0.7807,0.0045,0.0148,0.149,True
Logistic Regression,logreg,0.25,0.0,4,0.8145,0.1871,0.0527,0.4859,0.1078,0.8685,0.1852,0.0663,0.8222,0.0604,0.1323,0.455,True
Logistic Regression,logreg,0.25,0.005,4,0.8145,0.1271,0.052,0.1477,0.1079,0.8695,0.0762,0.0664,0.8213,0.0597,0.1315,0.465,True
Logistic Regression,logreg,0.25,0.05,4,0.8128,0.0769,0.0353,0.073,0.1101,0.8795,0.0088,0.0672,0.8217,0.0374,0.1228,0.43,True
Logistic Regression,logreg,0.25,0.25,4,0.8098,0.0628,0.0284,0.0802,0.1129,0.8878,0.0111,0.0685,0.8212,0.0324,0.114,0.439,True
Logistic Regression,logreg,0.25,0.5,4,0.8072,0.0447,0.0214,0.1155,0.116,0.9012,0.0136,0.0701,0.8197,0.0192,0.0985,0.39,True
Logistic Regression,logreg,0.25,0.75,4,0.8005,0.0375,0.0192,0.1971,0.1233,0.9335,0.0133,0.0725,0.8118,0.0135,0.071,0.345,True
Logistic Regression,logreg,0.25,1.0,4,0.7907,0.0363,0.0101,0.1446,0.132,0.963,0.0143,0.0762,0.802,0.0061,0.0432,0.316,True
Logistic Regression,logreg,0.5,0.0,4,0.81,0.1378,0.0265,0.3855,0.1138,0.8977,0.1687,0.071,0.8212,0.0259,0.1017,0.452,True
Logistic Regression,logreg,0.5,0.005,4,0.81,0.1318,0.0258,0.3735,0.114,0.899,0.1403,0.0711,0.8207,0.0259,0.1008,0.481,True
Logistic Regression,logreg,0.5,0.05,4,0.8087,0.0577,0.0201,0.1184,0.1152,0.9023,0.0085,0.0716,0.8193,0.0227,0.0968,0.462,True
Logistic Regression,logreg,0.5,0.25,4,0.8075,0.0537,0.0183,0.13,0.1163,0.9058,0.0092,0.0721,0.818,0.0201,0.0945,0.441,True
Logistic Regression,logreg,0.5,0.5,4,0.8058,0.0487,0.0175,0.1431,0.1178,0.9102,0.0115,0.0729,0.8172,0.018,0.09,0.446,True
Logistic Regression,logreg,0.5,0.75,4,0.8035,0.0353,0.0166,0.1634,0.1201,0.9192,0.0128,0.0736,0.8163,0.0146,0.0822,0.42,True
Logistic Regression,logreg,0.5,1.0,4,0.8017,0.0279,0.0188,0.1808,0.122,0.9273,0.0134,0.0745,0.8155,0.0164,0.0767,0.468,True
Logistic Regression,logreg,0.75,0.0,4,0.8073,0.1167,0.0154,0.3253,0.1168,0.9103,0.1601,0.073,0.8195,0.0171,0.0897,0.477,True
Logistic Regression,logreg,0.75,0.005,4,0.8075,0.1157,0.0154,0.3253,0.1167,0.9105,0.1519,0.073,0.8193,0.0171,0.0895,0.473,True
Logistic Regression,logreg,0.75,0.05,4,0.8065,0.0547,0.0143,0.1533,0.1175,0.9118,0.0184,0.0733,0.8185,0.0153,0.0867,0.447,True
Logistic Regression,logreg,0.75,0.25,4,0.8045,0.0426,0.0135,0.1634,0.1192,0.9162,0.0094,0.0737,0.8182,0.014,0.0837,0.468,True
Logistic Regression,logreg,0.75,0.5,4,0.8043,0.0406,0.0143,0.1634,0.1194,0.9173,0.0102,0.0738,0.8177,0.0141,0.0825,0.457,True
Logistic Regression,logreg,0.75,0.75,4,0.8037,0.0376,0.0143,0.1678,0.12,0.919,0.0109,0.0741,0.8165,0.0125,0.081,0.444,True
Logistic Regression,logreg,0.75,1.0,4,0.8033,0.0326,0.0182,0.1721,0.1205,0.9227,0.0105,0.0745,0.8158,0.013,0.079,0.476,True
Logistic Regression,logreg,1.0,0.0,4,0.8052,0.1097,0.0145,0.3092,0.1189,0.9182,0.1551,0.0741,0.818,0.012,0.0838,0.472,True
Logistic Regression,logreg,1.0,0.005,4,0.8052,0.1097,0.0145,0.3092,0.1189,0.9182,0.1551,0.0741,0.818,0.012,0.0838,0.453,True
Logistic Regression,logreg,1.0,0.05,4,0.8052,0.1097,0.0145,0.3092,0.1189,0.9182,0.1551,0.0741,0.818,0.012,0.0838,0.465,True
Logistic Regression,logreg,1.0,0.25,4,0.8052,0.1097,0.0145,0.3092,0.1189,0.9182,0.1551,0.0741,0.818,0.012,0.0838,0.47,True
Logistic Regression,logreg,1.0,0.5,4,0.8052,0.1097,0.0145,0.3092,0.1189,0.9182,0.1551,0.0741,0.818,0.012,0.0838,0.467,True
Logistic Regression,logreg,1.0,0.75,4,0.8052,0.1097,0.0145,0.3092,0.1189,0.9182,0.1551,0.0741,0.818,0.012,0.0838,0.46,True
Logistic Regression,logreg,1.0,1.0,4,0.8052,0.1097,0.0145,0.3092,0.1189,0.9182,0.1551,0.0741,0.818,0.012,0.0838,0.46,True
MLP (64-64),mlp,0.0,0.0,4,0.227,0.0,0.0,0.0,0.0279,0.0,0.0132,0.0278,0.2178,0.0,1.0,0.183,True
MLP (64-64),mlp,0.0,0.005,4,0.227,0.0,0.0,0.0,0.0279,0.0,0.0067,0.0278,0.2178,0.0,1.0,0.19,True
MLP (64-64),mlp,0.0,0.05,4,0.227,0.0,0.0,0.0,0.0279,0.0,0.0003,0.0279,0.2178,0.0,1.0,0.216,True
MLP (64-64),mlp,0.0,0.25,4,0.227,0.0,0.0,0.0,0.0279,0.0,0.0001,0.0279,0.2178,0.0,1.0,0.467,True
MLP (64-64),mlp,0.0,0.5,4,0.227,0.0,0.0,0.0,0.0279,0.0,0.0008,0.0279,0.2178,0.0,1.0,0.635,True
MLP (64-64),mlp,0.0,0.75,4,0.227,0.0,0.0,0.0,0.0279,0.0,0.0006,0.0482,0.2178,0.0,1.0,0.386,True
MLP (64-64),mlp,0.0,1.0,4,0.773,0.0,0.0,0.0,0.1468,,0.0002,0.0591,0.7822,0.0,0.0,0.367,True
MLP (64-64),mlp,0.005,0.0,4,0.227,0.0,0.0,0.0,0.0279,0.0,0.0835,0.03,0.2178,0.0,1.0,1.024,True
MLP (64-64),mlp,0.005,0.005,4,0.227,0.0,0.0,0.0,0.0279,0.0,0.0192,0.0301,0.2178,0.0,1.0,1.172,True
MLP (64-64),mlp,0.005,0.05,4,0.227,0.0,0.0,0.0,0.0279,0.0,0.0062,0.0301,0.2178,0.0,1.0,0.816,True
MLP (64-64),mlp,0.005,0.25,4,0.227,0.0,0.0,0.0,0.0279,0.0,0.0046,0.0307,0.2178,0.0,1.0,0.582,True
MLP (64-64),mlp,0.005,0.5,4,0.227,0.0,0.0,0.0,0.0279,0.0,0.0047,0.0329,0.2178,0.0,1.0,0.557,True
MLP (64-64),mlp,0.005,0.75,4,0.227,0.0,0.0,0.0,0.0279,0.0,0.0006,0.0448,0.2178,0.0,1.0,0.546,True
MLP (64-64),mlp,0.005,1.0,4,0.773,0.0,0.0,0.0,0.1468,,0.0,0.0846,0.7822,0.0,0.0,2.066,True
MLP (64-64),mlp,0.05,0.0,4,0.7623,0.2724,0.085,0.3028,0.1032,0.7093,0.1514,0.044,0.7672,0.0814,0.2873,0.519,True
MLP (64-64),mlp,0.05,0.005,4,0.7578,0.0831,0.0566,0.143,0.103,0.7005,0.0374,0.0439,0.762,0.0599,0.2942,0.518,True
MLP (64-64),mlp,0.05,0.05,4,0.7618,0.0363,0.0136,0.2265,0.1047,0.7142,0.0073,0.0446,0.7727,0.0037,0.2848,0.608,True
MLP (64-64),mlp,0.05,0.25,4,0.7878,0.1027,0.0164,0.1743,0.1062,0.7735,0.0055,0.0467,0.7918,0.029,0.23,0.605,True
MLP (64-64),mlp,0.05,0.5,4,0.7732,0.0028,0.0014,0.008,0.1467,0.9978,0.0002,0.0582,0.782,0.0017,0.0025,0.215,True
MLP (64-64),mlp,0.05,0.75,4,0.8058,0.1077,0.0423,0.3293,0.1167,0.8992,0.0059,0.0617,0.8172,0.0547,0.1077,1.262,True
MLP (64-64),mlp,0.05,1.0,4,0.773,0.0,0.0,0.0,0.1468,,0.0026,0.0839,0.7822,0.0,0.0,1.073,True
MLP (64-64),mlp,0.25,0.0,4,0.8208,0.1742,0.0638,0.31,0.102,0.8522,0.1698,0.0634,0.823,0.0712,0.1525,0.517,True
MLP (64-64),mlp,0.25,0.005,4,0.8195,0.1322,0.0633,0.1223,0.1032,0.8555,0.0692,0.0636,0.8235,0.0693,0.151,0.537,True
MLP (64-64),mlp,0.25,0.05,4,0.8203,0.0671,0.0622,0.1104,0.1025,0.854,0.0149,0.0633,0.8247,0.0728,0.1498,0.418,True
MLP (64-64),mlp,0.25,0.25,4,0.8185,0.1001,0.0592,0.1173,0.105,0.8652,0.0067,0.0655,0.826,0.0721,0.1395,0.495,True
MLP (64-64),mlp,0.25,0.5,4,0.8175,0.091,0.0583,0.1059,0.1064,0.8722,0.0122,0.0668,0.8265,0.0657,0.1327,0.772,True
MLP (64-64),mlp,0.25,0.75,4,0.8137,0.0735,0.0531,0.0993,0.1098,0.8813,0.0058,0.0697,0.8217,0.0657,0.1235,0.638,True
MLP (64-64),mlp,0.25,1.0,4,0.8072,0.0769,0.0505,0.1589,0.1162,0.9028,0.0088,0.0732,0.8172,0.0569,0.1043,0.617,True
MLP (64-64),mlp,0.5,0.0,4,0.819,0.149,0.0632,0.2498,0.1058,0.875,0.1601,0.0675,0.8263,0.0718,0.1292,0.601,True
MLP (64-64),mlp,0.5,0.005,4,0.819,0.125,0.0632,0.2538,0.1057,0.8743,0.1218,0.0673,0.827,0.0708,0.1302,0.58,True
MLP (64-64),mlp,0.5,0.05,4,0.8205,0.083,0.0481,0.1035,0.1053,0.8795,0.0397,0.0685,0.826,0.0582,0.1238,0.583,True
MLP (64-64),mlp,0.5,0.25,4,0.8182,0.0629,0.0457,0.0794,0.1069,0.8808,0.0201,0.0685,0.8272,0.0542,0.1213,0.706,True
MLP (64-64),mlp,0.5,0.5,4,0.8185,0.0909,0.0532,0.1001,0.1069,0.8832,0.0115,0.0696,0.8243,0.0605,0.1215,0.602,True
MLP (64-64),mlp,0.5,0.75,4,0.8158,0.102,0.0576,0.105,0.1076,0.8742,0.0063,0.069,0.8252,0.0653,0.1313,0.537,True
MLP (64-64),mlp,0.5,1.0,4,0.8138,0.0756,0.0552,0.0945,0.1095,0.8798,0.0093,0.071,0.8233,0.067,0.1275,0.458,True
MLP (64-64),mlp,0.75,0.0,4,0.819,0.1429,0.0606,0.2337,0.1065,0.8823,0.1554,0.0692,0.8253,0.0648,0.1232,0.589,True
MLP (64-64),mlp,0.75,0.005,4,0.8183,0.1429,0.059,0.2378,0.107,0.8827,0.1453,0.0691,0.8253,0.0665,0.1232,0.582,True
MLP (64-64),mlp,0.75,0.05,4,0.8203,0.109,0.0765,0.1738,0.1049,0.8747,0.0655,0.0693,0.825,0.0815,0.1282,0.503,True
MLP (64-64),mlp,0.75,0.25,4,0.819,0.0769,0.0556,0.1177,0.1067,0.884,0.0192,0.0697,0.8258,0.0618,0.12,0.517,True
MLP (64-64),mlp,0.75,0.5,4,0.8177,0.0889,0.0518,0.1057,0.1077,0.8853,0.0187,0.0705,0.8267,0.0546,0.1192,0.602,True
