Model,Arch,Alpha,Beta,Seed,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Soft DP,Soft GE,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
Logistic Regression,logreg,0.0,0.0,1,0.3767,0.0,0.0,0.0,0.0446,0.0,0.0047,0.0448,0.3688,0.0,1.0,0.68,True
Logistic Regression,logreg,0.0,0.005,1,0.3767,0.0,0.0,0.0,0.0446,0.0,0.0039,0.0448,0.3688,0.0,1.0,0.826,True
Logistic Regression,logreg,0.0,0.05,1,0.3767,0.0,0.0,0.0,0.0446,0.0,0.0002,0.0448,0.3688,0.0,1.0,0.711,True
Logistic Regression,logreg,0.0,0.25,1,0.3767,0.0,0.0,0.0,0.0446,0.0,0.0001,0.0449,0.3688,0.0,1.0,0.829,True
Logistic Regression,logreg,0.0,0.5,1,0.3767,0.0,0.0,0.0,0.0446,0.0,0.0001,0.0451,0.3688,0.0,1.0,0.729,True
Logistic Regression,logreg,0.0,0.75,1,0.3767,0.0,0.0,0.0,0.0446,0.0,0.0,0.0455,0.3688,0.0,1.0,0.675,True
Logistic Regression,logreg,0.0,1.0,1,0.3767,0.0,0.0,0.0,0.0446,0.0,0.0012,0.0601,0.3688,0.0,1.0,0.167,True
Logistic Regression,logreg,0.005,0.0,1,0.3767,0.0,0.0,0.0,0.0446,0.0,0.0096,0.0468,0.3689,0.0001,0.9999,0.67,True
Logistic Regression,logreg,0.005,0.005,1,0.3768,0.0011,0.0011,0.0023,0.0446,0.0001,0.0021,0.0468,0.369,0.001,0.9998,0.625,True
Logistic Regression,logreg,0.005,0.05,1,0.3768,0.0011,0.0011,0.0023,0.0446,0.0001,0.0019,0.0469,0.369,0.001,0.9998,0.61,True
Logistic Regression,logreg,0.005,0.25,1,0.3767,0.0,0.0,0.0,0.0446,0.0,0.0004,0.0479,0.3689,0.0001,0.9999,0.403,True
Logistic Regression,logreg,0.005,0.5,1,0.3767,0.0,0.0,0.0,0.0446,0.0,0.0003,0.0495,0.3689,0.0001,0.9999,0.407,True
Logistic Regression,logreg,0.005,0.75,1,0.3767,0.0,0.0,0.0,0.0446,0.0,0.0008,0.0533,0.3688,0.0,1.0,0.363,True
Logistic Regression,logreg,0.005,1.0,1,0.6285,0.0072,0.0072,0.0416,0.2563,0.8154,0.0011,0.0991,0.6254,0.0292,0.1818,0.227,True
Logistic Regression,logreg,0.05,0.0,1,0.4545,0.086,0.086,0.1078,0.0598,0.1042,0.1038,0.059,0.4503,0.0927,0.8919,0.887,True
Logistic Regression,logreg,0.05,0.005,1,0.4484,0.044,0.044,0.0444,0.0588,0.0967,0.0584,0.0591,0.4449,0.0478,0.8991,0.663,True
Logistic Regression,logreg,0.05,0.05,1,0.4454,0.0122,0.0122,0.0415,0.0588,0.0943,0.0099,0.0597,0.4399,0.0274,0.9035,0.53,True
Logistic Regression,logreg,0.05,0.25,1,0.4462,0.0434,0.0434,0.092,0.0596,0.0977,0.0082,0.063,0.4423,0.0504,0.9031,0.363,True
Logistic Regression,logreg,0.05,0.5,1,0.4647,0.0038,0.0038,0.0402,0.071,0.1478,0.0024,0.0714,0.4562,0.0118,0.8554,0.132,True
Logistic Regression,logreg,0.05,0.75,1,0.5594,0.0229,0.0229,0.0591,0.145,0.4391,0.0009,0.0876,0.548,0.0267,0.5696,0.058,True
Logistic Regression,logreg,0.05,1.0,1,0.6318,0.0109,0.0109,0.0202,0.2902,0.9659,0.0012,0.1153,0.6391,0.0063,0.0327,0.073,True
Logistic Regression,logreg,0.25,0.0,1,0.6968,0.3345,0.3345,0.3116,0.1515,0.6231,0.153,0.0812,0.6976,0.3723,0.3728,0.555,True
Logistic Regression,logreg,0.25,0.005,1,0.697,0.2863,0.2863,0.2434,0.1516,0.6237,0.1313,0.0813,0.698,0.3325,0.3742,0.561,True
Logistic Regression,logreg,0.25,0.05,1,0.6958,0.0117,0.0117,0.054,0.1536,0.6281,0.0144,0.0822,0.6899,0.0237,0.3699,0.513,True
Logistic Regression,logreg,0.25,0.25,1,0.6981,0.002,0.002,0.0688,0.163,0.6636,0.0123,0.0845,0.6977,0.0213,0.3327,0.379,True
Logistic Regression,logreg,0.25,0.5,1,0.6992,0.0157,0.0157,0.0474,0.179,0.7213,0.0105,0.0889,0.7056,0.0309,0.2722,0.304,True
Logistic Regression,logreg,0.25,0.75,1,0.697,0.0446,0.0446,0.009,0.1988,0.7927,0.0077,0.0963,0.7043,0.0576,0.2051,0.223,True
Logistic Regression,logreg,0.25,1.0,1,0.6818,0.0265,0.0265,0.0219,0.2237,0.8533,0.0038,0.1058,0.6878,0.0407,0.1474,0.18,True
Logistic Regression,logreg,0.5,0.0,1,0.7104,0.3288,0.3288,0.2881,0.1748,0.7317,0.1537,0.0905,0.7159,0.3523,0.2673,0.461,True
Logistic Regression,logreg,0.5,0.005,1,0.7107,0.3048,0.3048,0.2696,0.175,0.7332,0.145,0.0906,0.7157,0.3289,0.2661,0.452,True
Logistic Regression,logreg,0.5,0.05,1,0.7091,0.1125,0.1125,0.0632,0.178,0.7414,0.0658,0.0911,0.714,0.1318,0.259,0.484,True
Logistic Regression,logreg,0.5,0.25,1,0.7059,0.0222,0.0222,0.0393,0.1829,0.7524,0.015,0.0928,0.713,0.0338,0.2482,0.488,True
Logistic Regression,logreg,0.5,0.5,1,0.7042,0.0283,0.0283,0.0281,0.189,0.7727,0.0135,0.0945,0.7123,0.0467,0.2297,0.431,True
Logistic Regression,logreg,0.5,0.75,1,0.7057,0.0394,0.0394,0.0158,0.1915,0.788,0.0124,0.0961,0.7113,0.0596,0.2123,0.5,True
Logistic Regression,logreg,0.5,1.0,1,0.7042,0.0502,0.0502,0.013,0.1969,0.8083,0.0121,0.0985,0.7102,0.0695,0.192,0.484,True
Logistic Regression,logreg,0.75,0.0,1,0.7121,0.3113,0.3113,0.2963,0.1828,0.7696,0.1523,0.0947,0.7147,0.3293,0.2309,0.733,True
Logistic Regression,logreg,0.75,0.005,1,0.7116,0.3027,0.3027,0.2823,0.1833,0.7703,0.1493,0.0947,0.7145,0.3258,0.2307,0.494,True
Logistic Regression,logreg,0.75,0.05,1,0.7106,0.23,0.23,0.2098,0.1851,0.7751,0.1221,0.0949,0.7136,0.2489,0.2254,0.571,True
Logistic Regression,logreg,0.75,0.25,1,0.7052,0.0328,0.0328,0.0238,0.1905,0.7821,0.0149,0.0961,0.7097,0.05,0.2199,0.548,True
Logistic Regression,logreg,0.75,0.5,1,0.7056,0.0369,0.0369,0.0225,0.1917,0.7889,0.015,0.0969,0.7104,0.0534,0.2134,0.518,True
Logistic Regression,logreg,0.75,0.75,1,0.7064,0.0386,0.0386,0.022,0.1917,0.7915,0.0137,0.0972,0.7104,0.0563,0.2108,0.543,True
Logistic Regression,logreg,0.75,1.0,1,0.7074,0.0426,0.0426,0.0202,0.1925,0.7983,0.0145,0.0981,0.7106,0.0615,0.2038,0.54,True
Logistic Regression,logreg,1.0,0.0,1,0.7107,0.2857,0.2857,0.2711,0.188,0.7886,0.1511,0.0972,0.7151,0.3136,0.2115,0.533,True
Logistic Regression,logreg,1.0,0.005,1,0.7107,0.2857,0.2857,0.2711,0.188,0.7886,0.1511,0.0972,0.7151,0.3136,0.2115,0.515,True
Logistic Regression,logreg,1.0,0.05,1,0.7107,0.2857,0.2857,0.2711,0.188,0.7886,0.1511,0.0972,0.7151,0.3136,0.2115,0.536,True
Logistic Regression,logreg,1.0,0.25,1,0.7107,0.2857,0.2857,0.2711,0.188,0.7886,0.1511,0.0972,0.7151,0.3136,0.2115,0.511,True
Logistic Regression,logreg,1.0,0.5,1,0.7107,0.2857,0.2857,0.2711,0.188,0.7886,0.1511,0.0972,0.7151,0.3136,0.2115,0.53,True
Logistic Regression,logreg,1.0,0.75,1,0.7107,0.2857,0.2857,0.2711,0.188,0.7886,0.1511,0.0972,0.7151,0.3136,0.2115,0.53,True
Logistic Regression,logreg,1.0,1.0,1,0.7107,0.2857,0.2857,0.2711,0.188,0.7886,0.1511,0.0972,0.7151,0.3136,0.2115,0.521,True
MLP (64-64),mlp,0.0,0.0,1,0.3767,0.0,0.0,0.0,0.0446,0.0,0.0,0.0446,0.3688,0.0,1.0,0.414,True
MLP (64-64),mlp,0.0,0.005,1,0.3767,0.0,0.0,0.0,0.0446,0.0,0.0,0.0446,0.3688,0.0,1.0,0.382,True
MLP (64-64),mlp,0.0,0.05,1,0.3767,0.0,0.0,0.0,0.0446,0.0,0.0,0.0446,0.3688,0.0,1.0,0.445,True
MLP (64-64),mlp,0.0,0.25,1,0.3767,0.0,0.0,0.0,0.0446,0.0,0.0,0.0446,0.3688,0.0,1.0,0.498,True
MLP (64-64),mlp,0.0,0.5,1,0.3767,0.0,0.0,0.0,0.0446,0.0,0.0,0.0446,0.3688,0.0,1.0,0.709,True
MLP (64-64),mlp,0.0,0.75,1,0.3767,0.0,0.0,0.0,0.0446,0.0,0.0,0.0446,0.3688,0.0,1.0,0.857,True
MLP (64-64),mlp,0.0,1.0,1,0.3767,0.0,0.0,0.0,0.0446,0.0,0.0,0.0885,0.3688,0.0,1.0,0.811,True
MLP (64-64),mlp,0.005,0.0,1,0.3767,0.0,0.0,0.0,0.0446,0.0,0.0721,0.0452,0.3688,0.0,1.0,3.992,True
MLP (64-64),mlp,0.005,0.005,1,0.3767,0.0,0.0,0.0,0.0446,0.0,0.0172,0.0452,0.3688,0.0,1.0,3.97,True
MLP (64-64),mlp,0.005,0.05,1,0.3767,0.0,0.0,0.0,0.0446,0.0,0.001,0.046,0.3688,0.0,1.0,1.683,True
