Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,8,1.0,0.0,0.7434,0.11,0.11,0.1003,0.102,0.33
"Fair Logistic Regression (α=0.75, β=0.75)",Fair Logistic Regression,8,0.75,0.75,0.7434,0.0,0.0,0.1185,0.0984,0.3166
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,8,1.0,0.0,0.7604,0.0812,0.0812,0.0899,0.1033,0.3626
"Fair MLP (64-64) (α=0.75, β=0.25)",Fair MLP (64-64),8,0.75,0.25,0.7634,0.017,0.017,0.1226,0.0984,0.3484
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),8,,,0.7513,0.0079,0.0079,0.1154,0.0979,0.3269
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),8,,,0.7297,0.0378,0.0378,0.0281,0.1073,0.3287
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),8,,,0.7486,0.0063,0.0063,0.1308,0.0958,0.3148
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),8,,,0.7528,0.04,0.04,0.0786,0.0979,0.329
Random Forest (no fairness),Random Forest (no fairness),8,,,0.7316,0.1046,0.1046,0.1342,0.1248,0.395
XGBoost (no fairness),XGBoost (no fairness),8,,,0.7643,0.0579,0.0579,0.0688,0.0985,0.3505
