Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,0,1.0,0.0,0.817,0.0028,0.0028,0.0017,0.1101,0.9188
"Fair Logistic Regression (α=0.5, β=0.05)",Fair Logistic Regression,0,0.5,0.05,0.818,0.0053,0.0053,0.0184,0.1085,0.9065
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,0,1.0,0.0,0.826,0.0186,0.0186,0.0457,0.1012,0.8832
"Fair MLP (64-64) (α=0.5, β=0.5)",Fair MLP (64-64),0,0.5,0.5,0.8273,0.0032,0.0032,0.0169,0.1005,0.8845
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),0,,,0.8197,0.0066,0.0066,0.0029,0.1089,0.9285
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),0,,,0.8203,0.0118,0.0118,0.017,0.1085,0.9295
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),0,,,0.8223,0.0105,0.0105,0.0223,0.1044,0.8925
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),0,,,0.8195,0.0008,0.0008,0.0194,0.1091,0.93
Random Forest (no fairness),Random Forest (no fairness),0,,,0.8225,0.0305,0.0305,0.0501,0.1026,0.8767
XGBoost (no fairness),XGBoost (no fairness),0,,,0.8218,0.0266,0.0266,0.0586,0.1033,0.879
