Model,Arch,Alpha,Beta,Seed,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Soft DP,Soft GE,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
Logistic Regression,logreg,0.0,0.0,0,0.2167,0.0008,0.0008,0.001,0.0267,0.0005,0.0434,0.0279,0.2218,0.0003,0.9998,0.348,True
Logistic Regression,logreg,0.0,0.005,0,0.2167,0.0008,0.0008,0.001,0.0267,0.0005,0.0359,0.0278,0.2218,0.0003,0.9998,0.29,True
Logistic Regression,logreg,0.0,0.05,0,0.2167,0.0008,0.0008,0.001,0.0267,0.0005,0.0015,0.028,0.2218,0.0006,0.9995,0.29,True
Logistic Regression,logreg,0.0,0.25,0,0.2167,0.0008,0.0008,0.001,0.0267,0.0005,0.0015,0.0281,0.2218,0.0006,0.9995,0.281,True
Logistic Regression,logreg,0.0,0.5,0,0.2168,0.0011,0.0011,0.0014,0.0267,0.0007,0.001,0.0291,0.2223,0.0011,0.999,0.237,True
Logistic Regression,logreg,0.0,0.75,0,0.2193,0.0013,0.0013,0.0026,0.0272,0.0038,0.0006,0.0313,0.2233,0.0033,0.997,0.164,True
Logistic Regression,logreg,0.0,1.0,0,0.3058,0.0146,0.0146,0.0538,0.0782,0.224,0.0064,0.0543,0.305,0.0027,0.7767,0.029,True
Logistic Regression,logreg,0.005,0.0,0,0.2173,0.0024,0.0024,0.0027,0.0269,0.0015,0.0454,0.0302,0.2223,0.0003,0.9993,0.293,True
Logistic Regression,logreg,0.005,0.005,0,0.2175,0.002,0.002,0.0022,0.0269,0.0017,0.0135,0.0302,0.2223,0.0011,0.999,0.298,True
Logistic Regression,logreg,0.005,0.05,0,0.2178,0.0011,0.0011,0.0013,0.0269,0.002,0.0019,0.0303,0.2222,0.0015,0.9988,0.291,True
Logistic Regression,logreg,0.005,0.25,0,0.2187,0.0011,0.0011,0.0013,0.027,0.0028,0.002,0.0314,0.2225,0.0011,0.9982,0.2,True
Logistic Regression,logreg,0.005,0.5,0,0.2245,0.0008,0.0008,0.0009,0.0281,0.01,0.001,0.034,0.2277,0.005,0.9913,0.157,True
Logistic Regression,logreg,0.005,0.75,0,0.2318,0.0025,0.0025,0.0037,0.0292,0.0183,0.0001,0.0366,0.234,0.0078,0.983,0.16,True
Logistic Regression,logreg,0.005,1.0,0,0.3263,0.0178,0.0178,0.0419,0.0886,0.2678,0.0066,0.0557,0.321,0.0031,0.736,0.031,True
Logistic Regression,logreg,0.05,0.0,0,0.5705,0.1288,0.1288,0.1285,0.0965,0.472,0.0384,0.0449,0.5723,0.1349,0.5317,0.291,True
Logistic Regression,logreg,0.05,0.005,0,0.562,0.0423,0.0423,0.0674,0.0969,0.4655,0.0142,0.0448,0.5655,0.0518,0.5382,0.295,True
Logistic Regression,logreg,0.05,0.05,0,0.5823,0.0403,0.0403,0.0653,0.0998,0.4925,0.0028,0.0453,0.5888,0.0282,0.5082,0.16,True
Logistic Regression,logreg,0.05,0.25,0,0.7153,0.0227,0.0227,0.0403,0.1122,0.6795,0.0022,0.048,0.7077,0.0305,0.323,0.109,True
Logistic Regression,logreg,0.05,0.5,0,0.7993,0.0018,0.0018,0.0192,0.1065,0.8158,0.0031,0.0534,0.7892,0.0016,0.1918,0.095,True
Logistic Regression,logreg,0.05,0.75,0,0.812,0.0014,0.0014,0.0098,0.1107,0.8912,0.0029,0.0607,0.8007,0.0014,0.1093,0.138,True
Logistic Regression,logreg,0.05,1.0,0,0.7937,0.0045,0.0045,0.0143,0.1295,0.9665,0.0014,0.0739,0.7903,0.0031,0.0307,0.185,True
Logistic Regression,logreg,0.25,0.0,0,0.8238,0.0321,0.0321,0.0853,0.1018,0.8763,0.0297,0.0626,0.809,0.0348,0.1327,0.294,True
Logistic Regression,logreg,0.25,0.005,0,0.8232,0.0221,0.0221,0.0623,0.1024,0.878,0.0224,0.0626,0.808,0.0283,0.132,0.301,True
Logistic Regression,logreg,0.25,0.05,0,0.8202,0.0011,0.0011,0.0095,0.1045,0.881,0.0044,0.0629,0.8088,0.0083,0.1298,0.298,True
Logistic Regression,logreg,0.25,0.25,0,0.8207,0.003,0.003,0.008,0.1049,0.8872,0.0044,0.0641,0.8077,0.0031,0.1217,0.289,True
Logistic Regression,logreg,0.25,0.5,0,0.8187,0.0037,0.0037,0.0111,0.107,0.8958,0.0046,0.0658,0.8087,0.0007,0.111,0.217,True
Logistic Regression,logreg,0.25,0.75,0,0.8172,0.0063,0.0063,0.0158,0.109,0.9063,0.0041,0.0667,0.8055,0.0035,0.0985,0.144,True
Logistic Regression,logreg,0.25,1.0,0,0.8123,0.0068,0.0068,0.0143,0.1136,0.9242,0.004,0.0693,0.8037,0.0047,0.079,0.169,True
Logistic Regression,logreg,0.5,0.0,0,0.8192,0.0126,0.0126,0.0334,0.1074,0.9037,0.0161,0.0669,0.8077,0.0185,0.102,0.295,True
Logistic Regression,logreg,0.5,0.005,0,0.819,0.0113,0.0113,0.0295,0.1076,0.9042,0.0145,0.0669,0.8078,0.0174,0.1018,0.314,True
Logistic Regression,logreg,0.5,0.05,0,0.818,0.0053,0.0053,0.0184,0.1085,0.9065,0.0041,0.0672,0.8092,0.0031,0.1008,0.305,True
Logistic Regression,logreg,0.5,0.25,0,0.8178,0.0048,0.0048,0.0144,0.1088,0.909,0.0046,0.0677,0.8073,0.0032,0.097,0.312,True
Logistic Regression,logreg,0.5,0.5,0,0.8178,0.0046,0.0046,0.0169,0.109,0.9117,0.0048,0.0684,0.8075,0.0028,0.0935,0.299,True
Logistic Regression,logreg,0.5,0.75,0,0.8177,0.0032,0.0032,0.0142,0.1093,0.9138,0.0042,0.069,0.8075,0.0015,0.0905,0.304,True
Logistic Regression,logreg,0.5,1.0,0,0.8168,0.0048,0.0048,0.0185,0.1103,0.9193,0.0045,0.0699,0.8067,0.0027,0.0827,0.305,True
Logistic Regression,logreg,0.75,0.0,0,0.818,0.0026,0.0026,0.0016,0.109,0.9135,0.009,0.0686,0.8068,0.0144,0.0915,0.302,True
Logistic Regression,logreg,0.75,0.005,0,0.818,0.0026,0.0026,0.0016,0.109,0.9135,0.0088,0.0686,0.807,0.0147,0.0913,0.307,True
Logistic Regression,logreg,0.75,0.05,0,0.8182,0.0003,0.0003,0.0078,0.109,0.9143,0.0053,0.0688,0.8073,0.0101,0.0903,0.31,True
Logistic Regression,logreg,0.75,0.25,0,0.8173,0.003,0.003,0.0155,0.1096,0.9148,0.0047,0.0691,0.8078,0.0015,0.0888,0.304,True
Logistic Regression,logreg,0.75,0.5,0,0.8177,0.0028,0.0028,0.0129,0.1094,0.9158,0.0043,0.0694,0.8075,0.0034,0.0868,0.295,True
Logistic Regression,logreg,0.75,0.75,0,0.8173,0.0044,0.0044,0.0166,0.1098,0.9178,0.0047,0.0696,0.8067,0.0045,0.0837,0.301,True
Logistic Regression,logreg,0.75,1.0,0,0.817,0.0042,0.0042,0.0146,0.1101,0.9188,0.0043,0.0698,0.8068,0.0037,0.0825,0.302,True
Logistic Regression,logreg,1.0,0.0,0,0.817,0.0028,0.0028,0.0017,0.1101,0.9188,0.0049,0.0696,0.8072,0.0126,0.0838,0.304,True
Logistic Regression,logreg,1.0,0.005,0,0.817,0.0028,0.0028,0.0017,0.1101,0.9188,0.0049,0.0696,0.8072,0.0126,0.0838,0.311,True
Logistic Regression,logreg,1.0,0.05,0,0.817,0.0028,0.0028,0.0017,0.1101,0.9188,0.0049,0.0696,0.8072,0.0126,0.0838,0.305,True
Logistic Regression,logreg,1.0,0.25,0,0.817,0.0028,0.0028,0.0017,0.1101,0.9188,0.0049,0.0696,0.8072,0.0126,0.0838,0.305,True
Logistic Regression,logreg,1.0,0.5,0,0.817,0.0028,0.0028,0.0017,0.1101,0.9188,0.0049,0.0696,0.8072,0.0126,0.0838,0.315,True
Logistic Regression,logreg,1.0,0.75,0,0.817,0.0028,0.0028,0.0017,0.1101,0.9188,0.0049,0.0696,0.8072,0.0126,0.0838,0.311,True
Logistic Regression,logreg,1.0,1.0,0,0.817,0.0028,0.0028,0.0017,0.1101,0.9188,0.0049,0.0696,0.8072,0.0126,0.0838,0.324,True
MLP (64-64),mlp,0.0,0.0,0,0.2162,0.0,0.0,0.0,0.0266,0.0,0.0034,0.0265,0.2217,0.0,1.0,0.129,True
MLP (64-64),mlp,0.0,0.005,0,0.2162,0.0,0.0,0.0,0.0266,0.0,0.0029,0.0265,0.2217,0.0,1.0,0.122,True
MLP (64-64),mlp,0.0,0.05,0,0.2162,0.0,0.0,0.0,0.0266,0.0,0.0002,0.0266,0.2217,0.0,1.0,0.153,True
MLP (64-64),mlp,0.0,0.25,0,0.2162,0.0,0.0,0.0,0.0266,0.0,0.0001,0.0266,0.2217,0.0,1.0,0.157,True
MLP (64-64),mlp,0.0,0.5,0,0.2162,0.0,0.0,0.0,0.0266,0.0,0.0,0.0266,0.2217,0.0,1.0,0.31,True
MLP (64-64),mlp,0.0,0.75,0,0.2162,0.0,0.0,0.0,0.0266,0.0,0.0005,0.0267,0.2217,0.0,1.0,0.462,True
MLP (64-64),mlp,0.0,1.0,0,0.2162,0.0,0.0,0.0,0.0266,0.0,0.0,0.0492,0.2217,0.0,1.0,0.492,True
MLP (64-64),mlp,0.005,0.0,0,0.2162,0.0,0.0,0.0,0.0266,0.0,0.0253,0.0286,0.2217,0.0,1.0,0.679,True
MLP (64-64),mlp,0.005,0.005,0,0.2162,0.0,0.0,0.0,0.0266,0.0,0.0025,0.0286,0.2217,0.0,1.0,1.051,True
MLP (64-64),mlp,0.005,0.05,0,0.2162,0.0,0.0,0.0,0.0266,0.0,0.001,0.0287,0.2217,0.0,1.0,0.441,True
MLP (64-64),mlp,0.005,0.25,0,0.2162,0.0,0.0,0.0,0.0266,0.0,0.0013,0.0293,0.2217,0.0,1.0,0.453,True
MLP (64-64),mlp,0.005,0.5,0,0.2162,0.0,0.0,0.0,0.0266,0.0,0.0034,0.0303,0.2217,0.0,1.0,0.161,True
MLP (64-64),mlp,0.005,0.75,0,0.2162,0.0,0.0,0.0,0.0266,0.0,0.003,0.0346,0.2217,0.0,1.0,0.302,True
MLP (64-64),mlp,0.005,1.0,0,0.7838,0.0,0.0,0.0,0.1379,,0.0,0.0798,0.7783,0.0,0.0,1.359,True
MLP (64-64),mlp,0.05,0.0,0,0.7572,0.0945,0.0945,0.1279,0.1011,0.7027,0.0366,0.0414,0.7578,0.0971,0.3002,0.282,True
MLP (64-64),mlp,0.05,0.005,0,0.759,0.0428,0.0428,0.0838,0.1014,0.7072,0.0142,0.0415,0.765,0.0365,0.2907,0.299,True
MLP (64-64),mlp,0.05,0.05,0,0.7632,0.0131,0.0131,0.0469,0.1024,0.7183,0.0014,0.0418,0.7678,0.0084,0.2825,0.325,True
MLP (64-64),mlp,0.05,0.25,0,0.7917,0.0133,0.0133,0.0313,0.1021,0.7742,0.0012,0.044,0.7913,0.0229,0.23,0.393,True
MLP (64-64),mlp,0.05,0.5,0,0.8142,0.0256,0.0256,0.0494,0.1014,0.8327,0.001,0.049,0.806,0.0235,0.1703,0.284,True
MLP (64-64),mlp,0.05,0.75,0,0.8142,0.0006,0.0006,0.0098,0.1066,0.8687,0.0017,0.0563,0.8067,0.0126,0.136,0.279,True
MLP (64-64),mlp,0.05,1.0,0,0.8173,0.0029,0.0029,0.0025,0.1085,0.9025,0.0018,0.0701,0.8112,0.0086,0.1042,0.578,True
MLP (64-64),mlp,0.25,0.0,0,0.8247,0.0378,0.0378,0.0787,0.0987,0.8548,0.0451,0.0597,0.8162,0.0396,0.1465,0.301,True
MLP (64-64),mlp,0.25,0.005,0,0.824,0.034,0.034,0.0742,0.0991,0.8555,0.0382,0.0597,0.8165,0.0371,0.1455,0.301,True
MLP (64-64),mlp,0.25,0.05,0,0.8252,0.0132,0.0132,0.0455,0.099,0.86,0.0012,0.0595,0.8153,0.0158,0.1437,0.306,True
MLP (64-64),mlp,0.25,0.25,0,0.8232,0.007,0.007,0.034,0.1,0.8583,0.001,0.0596,0.8127,0.0118,0.1423,0.428,True
MLP (64-64),mlp,0.25,0.5,0,0.8253,0.0055,0.0055,0.0293,0.1002,0.8708,0.0022,0.0621,0.816,0.0094,0.1333,0.621,True
MLP (64-64),mlp,0.25,0.75,0,0.827,0.0066,0.0066,0.0178,0.0996,0.8745,0.0011,0.0648,0.8142,0.0118,0.1315,0.534,True
MLP (64-64),mlp,0.25,1.0,0,0.8263,0.0038,0.0038,0.0104,0.1007,0.8802,0.0017,0.0667,0.815,0.0105,0.1277,0.737,True
MLP (64-64),mlp,0.5,0.0,0,0.8285,0.0273,0.0273,0.0683,0.0984,0.8717,0.0428,0.0637,0.8163,0.0304,0.1337,0.389,True
MLP (64-64),mlp,0.5,0.005,0,0.8283,0.0255,0.0255,0.0704,0.099,0.8762,0.0395,0.0637,0.8172,0.0297,0.1295,0.374,True
MLP (64-64),mlp,0.5,0.05,0,0.8265,0.0106,0.0106,0.0403,0.1001,0.8757,0.0166,0.0637,0.8145,0.0131,0.1298,0.375,True
MLP (64-64),mlp,0.5,0.25,0,0.828,0.0053,0.0053,0.0199,0.0996,0.8802,0.0003,0.0638,0.8175,0.0113,0.1255,0.426,True
MLP (64-64),mlp,0.5,0.5,0,0.8273,0.0032,0.0032,0.0169,0.1005,0.8845,0.0001,0.0649,0.8177,0.0078,0.1213,0.468,True
MLP (64-64),mlp,0.5,0.75,0,0.8287,0.0001,0.0001,0.02,0.0995,0.8825,0.0017,0.0652,0.8158,0.0069,0.1232,0.594,True
