Arch,Variant,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression,No fairness (α=1),0.676 ± 0.012,0.608 ± 0.211,0.304 ± 0.049,0.789 ± 0.151,0.191 ± 0.012,0.634 ± 0.019
Logistic Regression,"SoftGE only (α=0.75, β=0)",0.674 ± 0.012,0.637 ± 0.195,0.305 ± 0.049,0.811 ± 0.135,0.181 ± 0.010,0.599 ± 0.020
Logistic Regression,"SoftDP only (α=0.75, β=1)",0.650 ± 0.014,0.532 ± 0.213,0.067 ± 0.053,0.681 ± 0.167,0.217 ± 0.021,0.664 ± 0.033
Logistic Regression,"Blend (α=0.75, β=0.5)",0.660 ± 0.021,0.534 ± 0.209,0.092 ± 0.065,0.678 ± 0.159,0.204 ± 0.026,0.642 ± 0.038
MLP (64-64),No fairness (α=1),0.682 ± 0.014,0.573 ± 0.169,0.284 ± 0.044,0.829 ± 0.151,0.177 ± 0.011,0.602 ± 0.014
MLP (64-64),"SoftGE only (α=0.75, β=0)",0.685 ± 0.014,0.616 ± 0.214,0.274 ± 0.041,0.842 ± 0.138,0.170 ± 0.011,0.582 ± 0.014
MLP (64-64),"SoftDP only (α=0.75, β=1)",0.661 ± 0.023,0.449 ± 0.101,0.077 ± 0.044,0.634 ± 0.171,0.202 ± 0.037,0.640 ± 0.070
MLP (64-64),"Blend (α=0.75, β=0.75)",0.666 ± 0.023,0.491 ± 0.132,0.092 ± 0.057,0.632 ± 0.186,0.191 ± 0.039,0.614 ± 0.076
