Model,Arch,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
Logistic Regression,logreg,0.75,0.25,0.8718,0.4667,0.1451,0.5,0.0582,0.5281,0.8857,0.1283,0.4498,0.001,False
Logistic Regression,logreg,0.75,0.5,0.8718,0.4667,0.1235,0.5,0.0586,0.5308,0.885,0.1159,0.4491,0.0,False
Logistic Regression,logreg,0.75,0.75,0.8711,0.4667,0.12,0.5,0.0594,0.5343,0.8836,0.107,0.4463,0.001,False
Logistic Regression,logreg,0.75,1.0,0.8683,0.4667,0.1084,0.5,0.0614,0.5385,0.8836,0.0973,0.4463,0.0,False
Logistic Regression,logreg,1.0,0.0,0.8725,0.4667,0.1531,0.5,0.0584,0.5315,0.8829,0.1399,0.4498,0.0,False
Logistic Regression,logreg,1.0,0.005,0.8725,0.4667,0.1531,0.5,0.0584,0.5315,0.8829,0.1399,0.4498,0.001,False
Logistic Regression,logreg,1.0,0.05,0.8725,0.4667,0.1531,0.5,0.0584,0.5315,0.8829,0.1399,0.4498,0.001,False
Logistic Regression,logreg,1.0,0.25,0.8725,0.4667,0.1531,0.5,0.0584,0.5315,0.8829,0.1399,0.4498,0.001,False
Logistic Regression,logreg,1.0,0.5,0.8725,0.4667,0.1531,0.5,0.0584,0.5315,0.8829,0.1399,0.4498,0.001,False
Logistic Regression,logreg,1.0,0.75,0.8725,0.4667,0.1531,0.5,0.0584,0.5315,0.8829,0.1399,0.4498,0.001,False
Logistic Regression,logreg,1.0,1.0,0.8725,0.4667,0.1531,0.5,0.0584,0.5315,0.8829,0.1399,0.4498,0.001,False
MLP (64-64),mlp,0.0,0.0,0.8829,0.4667,0.1358,0.5,0.0417,0.4546,0.9064,0.1436,0.5357,0.001,False
MLP (64-64),mlp,0.0,0.005,0.8822,0.4667,0.1324,0.5,0.0416,0.4525,0.9037,0.145,0.5385,0.001,False
MLP (64-64),mlp,0.0,0.05,0.7526,0.4,0.0018,0.6992,0.0602,0.3243,0.7782,0.0063,0.6584,0.001,False
MLP (64-64),mlp,0.0,0.25,0.4297,0.0,0.0,0.0,0.0497,0.0,0.4421,0.0,1.0,0.001,False
MLP (64-64),mlp,0.0,0.5,0.4297,0.0,0.0,0.0,0.0497,0.0,0.4421,0.0,1.0,0.003,False
MLP (64-64),mlp,0.0,0.75,0.4297,0.0,0.0,0.0,0.0497,0.0,0.4421,0.0,1.0,0.001,False
MLP (64-64),mlp,0.0,1.0,0.5696,0.0014,0.0014,0.0028,0.3777,0.9993,0.5579,0.0,0.0,0.001,False
MLP (64-64),mlp,0.005,0.0,0.887,0.4667,0.137,0.5,0.0407,0.4588,0.9064,0.1457,0.5343,0.001,False
MLP (64-64),mlp,0.005,0.005,0.8815,0.8,0.1344,1.0,0.042,0.4532,0.9058,0.1444,0.535,0.001,False
MLP (64-64),mlp,0.005,0.05,0.8233,0.4515,0.0534,0.7911,0.0546,0.4033,0.8649,0.0773,0.5662,0.001,False
MLP (64-64),mlp,0.005,0.25,0.4297,0.0,0.0,0.0,0.0497,0.0,0.4421,0.0,1.0,0.001,False
MLP (64-64),mlp,0.005,0.5,0.4297,0.0,0.0,0.0,0.0497,0.0,0.4421,0.0,1.0,0.001,False
MLP (64-64),mlp,0.005,0.75,0.4297,0.0,0.0,0.0,0.0497,0.0,0.4421,0.0,1.0,0.001,False
MLP (64-64),mlp,0.005,1.0,0.5703,0.0,0.0,0.0,0.3767,,0.5579,0.0,0.0,0.001,False
MLP (64-64),mlp,0.05,0.0,0.8863,0.4667,0.1334,0.5,0.0422,0.4664,0.9099,0.1353,0.5211,0.001,False
MLP (64-64),mlp,0.05,0.005,0.8863,0.4667,0.1334,0.5,0.0422,0.4664,0.9092,0.1339,0.5204,0.001,False
MLP (64-64),mlp,0.05,0.05,0.8649,0.5208,0.1186,0.8125,0.0484,0.4518,0.8947,0.1196,0.5308,0.001,False
MLP (64-64),mlp,0.05,0.25,0.833,0.2667,0.0512,0.305,0.0583,0.438,0.8565,0.0624,0.5551,0.001,False
