Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,7,1.0,0.0,0.815,0.1078,0.012,0.2839,0.1107,0.911
"Fair Logistic Regression (α=0.25, β=0.25)",Fair Logistic Regression,7,0.25,0.25,0.8132,0.0833,0.0144,0.15,0.1089,0.8828
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,7,1.0,0.0,0.8202,0.1546,0.0417,0.4239,0.1037,0.8752
"Fair MLP (64-64) (α=0.75, β=0.75)",Fair MLP (64-64),7,0.75,0.75,0.8185,0.1067,0.0263,0.1663,0.106,0.8862
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),7,,,0.8105,0.0188,0.0022,0.3104,0.1121,0.8965
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),7,,,0.8058,0.063,0.0011,0.2227,0.1187,0.9335
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),7,,,0.8137,0.0561,0.0213,0.1649,0.11,0.8953
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),7,,,0.8107,0.0508,0.0005,0.2464,0.1149,0.927
Random Forest (no fairness),Random Forest (no fairness),7,,,0.814,0.1362,0.0379,0.1984,0.1065,0.8683
XGBoost (no fairness),XGBoost (no fairness),7,,,0.8162,0.1597,0.0337,0.3823,0.1059,0.8732
