Model,Arch,Alpha,Beta,Seed,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Soft DP,Soft GE,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
Logistic Regression,logreg,0.0,0.0,0,0.4526,0.0299,0.011,1.0,0.0532,0.0073,0.0774,0.0561,0.4478,0.0095,0.9951,0.003,False
Logistic Regression,logreg,0.0,0.005,0,0.4526,0.0299,0.011,1.0,0.0532,0.0073,0.0788,0.0561,0.4478,0.0095,0.9951,0.0,False
Logistic Regression,logreg,0.0,0.05,0,0.4526,0.0299,0.0062,1.0,0.0537,0.0089,0.0734,0.0562,0.4486,0.0079,0.996,0.0,False
Logistic Regression,logreg,0.0,0.25,0,0.451,0.0016,0.0016,1.0,0.0516,0.0008,0.0676,0.0564,0.4478,0.0032,0.9984,0.0,False
Logistic Regression,logreg,0.0,0.5,0,0.532,1.0,0.0147,1.0,0.4235,0.9368,0.1686,0.1304,0.5498,0.0284,0.0704,0.0,False
Logistic Regression,logreg,0.0,0.75,0,0.5409,1.0,0.0147,1.0,0.4157,0.9506,0.1682,0.1314,0.5555,0.0284,0.0518,0.0,False
Logistic Regression,logreg,0.0,1.0,0,0.5563,1.0,0.0147,1.0,0.3984,0.9806,0.1679,0.1327,0.5571,0.0284,0.0308,0.0,False
Logistic Regression,logreg,0.005,0.0,0,0.4543,0.0299,0.0093,1.0,0.0538,0.0105,0.1128,0.0574,0.4486,0.0111,0.9943,0.0,False
Logistic Regression,logreg,0.005,0.005,0,0.4543,0.0299,0.0093,1.0,0.0538,0.0105,0.0814,0.0574,0.4478,0.0095,0.9951,0.0,False
Logistic Regression,logreg,0.005,0.05,0,0.4543,0.0299,0.0093,1.0,0.0538,0.0105,0.0799,0.0574,0.4486,0.0079,0.996,0.0,False
Logistic Regression,logreg,0.005,0.25,0,0.4518,0.0031,0.0031,1.0,0.0517,0.0016,0.0766,0.0578,0.4478,0.0032,0.9984,0.0,False
Logistic Regression,logreg,0.005,0.5,0,0.532,1.0,0.0147,1.0,0.4235,0.9368,0.1686,0.1304,0.5498,0.0284,0.0704,0.0,False
Logistic Regression,logreg,0.005,0.75,0,0.5409,1.0,0.0147,1.0,0.4157,0.9506,0.1682,0.1314,0.5555,0.0284,0.0518,0.0,False
Logistic Regression,logreg,0.005,1.0,0,0.5563,1.0,0.0147,1.0,0.3984,0.9806,0.1679,0.1331,0.5571,0.0284,0.0308,0.0,False
Logistic Regression,logreg,0.05,0.0,0,0.4947,0.25,0.0681,0.9361,0.0649,0.0769,0.2237,0.0672,0.4939,0.0715,0.9231,0.0,False
