Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,4,1.0,0.0,0.8052,0.0043,0.0043,0.0214,0.1189,0.9182
"Fair Logistic Regression (α=0.25, β=0.05)",Fair Logistic Regression,4,0.25,0.05,0.813,0.0038,0.0038,0.0182,0.109,0.8707
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,4,1.0,0.0,0.8187,0.0206,0.0206,0.0126,0.1067,0.882
"Fair MLP (64-64) (α=0.5, β=0.5)",Fair MLP (64-64),4,0.5,0.5,0.8192,0.0024,0.0024,0.0281,0.106,0.8782
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),4,,,0.802,0.0106,0.0106,0.0058,0.1219,0.9287
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),4,,,0.8022,0.0069,0.0069,0.0061,0.1217,0.9285
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),4,,,0.8092,0.0084,0.0084,0.067,0.1142,0.8955
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),4,,,0.802,0.002,0.002,0.0366,0.1219,0.929
Random Forest (no fairness),Random Forest (no fairness),4,,,0.8162,0.0206,0.0206,0.014,0.1077,0.8762
XGBoost (no fairness),XGBoost (no fairness),4,,,0.8155,0.0314,0.0314,0.0237,0.1085,0.8802
