Model,Arch,Alpha,Beta,Seed,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Soft DP,Soft GE,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
Logistic Regression,logreg,0.0,0.0,4,0.2272,0.0003,0.0003,0.0004,0.0279,0.0002,0.0449,0.0294,0.218,0.0003,0.9998,0.288,True
Logistic Regression,logreg,0.0,0.005,4,0.2272,0.0003,0.0003,0.0004,0.0279,0.0002,0.0359,0.0293,0.218,0.0003,0.9998,0.307,True
Logistic Regression,logreg,0.0,0.05,4,0.2272,0.0003,0.0003,0.0004,0.0279,0.0002,0.0,0.0296,0.218,0.0003,0.9998,0.317,True
Logistic Regression,logreg,0.0,0.25,4,0.2273,0.0001,0.0001,0.0002,0.0279,0.0003,0.0004,0.0297,0.218,0.0003,0.9998,0.317,True
Logistic Regression,logreg,0.0,0.5,4,0.2273,0.0001,0.0001,0.0002,0.0279,0.0003,0.0011,0.0301,0.2182,0.0006,0.9997,0.327,True
Logistic Regression,logreg,0.0,0.75,4,0.273,0.0191,0.0191,0.0256,0.0416,0.075,0.0032,0.046,0.2597,0.0044,0.9262,0.056,True
Logistic Regression,logreg,0.0,1.0,4,0.3975,0.0143,0.0143,0.0281,0.137,0.4365,0.0057,0.0624,0.401,0.0061,0.5622,0.052,True
Logistic Regression,logreg,0.005,0.0,4,0.2275,0.0012,0.0012,0.0026,0.0282,0.0012,0.0429,0.0317,0.2188,0.0017,0.999,0.315,True
Logistic Regression,logreg,0.005,0.005,4,0.2277,0.0003,0.0003,0.0013,0.0281,0.001,0.012,0.0318,0.2185,0.0011,0.9993,0.315,True
Logistic Regression,logreg,0.005,0.05,4,0.2278,0.0001,0.0001,0.0013,0.0281,0.0012,0.0005,0.0319,0.2183,0.0007,0.9992,0.32,True
Logistic Regression,logreg,0.005,0.25,4,0.2305,0.0035,0.0035,0.0055,0.0285,0.0042,0.0013,0.0339,0.2205,0.0021,0.9967,0.156,True
Logistic Regression,logreg,0.005,0.5,4,0.2385,0.009,0.009,0.0121,0.0299,0.0138,0.0026,0.0367,0.228,0.0015,0.9862,0.125,True
Logistic Regression,logreg,0.005,0.75,4,0.2798,0.0232,0.0232,0.0298,0.0488,0.1035,0.0034,0.0483,0.2658,0.0027,0.8983,0.048,True
Logistic Regression,logreg,0.005,1.0,4,0.7618,0.0036,0.0036,0.0043,0.1547,0.9708,0.0006,0.0729,0.7657,0.012,0.0308,0.151,True
Logistic Regression,logreg,0.05,0.0,4,0.5648,0.1076,0.1076,0.1037,0.0986,0.4625,0.0288,0.0471,0.5718,0.1259,0.538,0.325,True
Logistic Regression,logreg,0.05,0.005,4,0.5617,0.0086,0.0086,0.0298,0.1006,0.4657,0.0043,0.0472,0.5695,0.023,0.5363,0.314,True
Logistic Regression,logreg,0.05,0.05,4,0.5867,0.0434,0.0434,0.066,0.1029,0.495,0.0052,0.0478,0.5943,0.018,0.5058,0.148,True
Logistic Regression,logreg,0.05,0.25,4,0.7097,0.0574,0.0574,0.0763,0.1158,0.673,0.0059,0.0506,0.7222,0.0195,0.3223,0.105,True
Logistic Regression,logreg,0.05,0.5,4,0.8035,0.001,0.001,0.0092,0.1073,0.8222,0.006,0.0559,0.8148,0.0275,0.1753,0.13,True
Logistic Regression,logreg,0.05,0.75,4,0.7607,0.0017,0.0017,0.012,0.1411,0.8707,0.005,0.0605,0.7732,0.0225,0.129,0.05,True
Logistic Regression,logreg,0.05,1.0,4,0.7758,0.0004,0.0004,0.0078,0.1437,0.9688,0.0049,0.0701,0.7813,0.0045,0.0362,0.079,True
Logistic Regression,logreg,0.25,0.0,4,0.8145,0.0239,0.0239,0.0277,0.1078,0.8685,0.0227,0.0663,0.8222,0.0393,0.1323,0.342,True
Logistic Regression,logreg,0.25,0.005,4,0.8142,0.0197,0.0197,0.02,0.108,0.8685,0.0151,0.0664,0.8215,0.0344,0.1307,0.365,True
Logistic Regression,logreg,0.25,0.05,4,0.813,0.0038,0.0038,0.0182,0.109,0.8707,0.005,0.0668,0.8218,0.0214,0.128,0.364,True
Logistic Regression,logreg,0.25,0.25,4,0.8113,0.0011,0.0011,0.0226,0.1112,0.8803,0.0058,0.0682,0.8203,0.0147,0.1195,0.326,True
Logistic Regression,logreg,0.25,0.5,4,0.8087,0.001,0.001,0.0249,0.114,0.8903,0.006,0.0699,0.8205,0.0116,0.1097,0.285,True
Logistic Regression,logreg,0.25,0.75,4,0.8037,0.0057,0.0057,0.0278,0.119,0.908,0.0064,0.0721,0.8142,0.005,0.094,0.178,True
Logistic Regression,logreg,0.25,1.0,4,0.8012,0.0095,0.0095,0.0499,0.1224,0.9278,0.0064,0.0747,0.8117,0.0038,0.0772,0.225,True
Logistic Regression,logreg,0.5,0.0,4,0.81,0.0133,0.0133,0.0077,0.1138,0.8977,0.0119,0.071,0.8212,0.0263,0.1017,0.33,True
Logistic Regression,logreg,0.5,0.005,4,0.81,0.0126,0.0126,0.0068,0.1138,0.8977,0.0098,0.071,0.821,0.0259,0.1015,0.323,True
Logistic Regression,logreg,0.5,0.05,4,0.8093,0.0012,0.0012,0.0332,0.1144,0.899,0.0051,0.0714,0.8205,0.0131,0.1,0.338,True
Logistic Regression,logreg,0.5,0.25,4,0.8088,0.0005,0.0005,0.0298,0.1151,0.9025,0.0052,0.072,0.8203,0.011,0.0958,0.331,True
Logistic Regression,logreg,0.5,0.5,4,0.8067,0.0025,0.0025,0.0363,0.1172,0.9103,0.0059,0.0728,0.8187,0.0076,0.0895,0.335,True
Logistic Regression,logreg,0.5,0.75,4,0.8057,0.0036,0.0036,0.0428,0.1183,0.9147,0.0054,0.0735,0.818,0.0097,0.0862,0.334,True
Logistic Regression,logreg,0.5,1.0,4,0.8037,0.0073,0.0073,0.0502,0.1202,0.9217,0.0062,0.0745,0.8165,0.0043,0.081,0.298,True
