Arch,Variant,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression,No fairness (α=1),0.812 ± 0.006,0.011 ± 0.005,0.011 ± 0.005,0.019 ± 0.011,0.114 ± 0.005,0.918 ± 0.005
Logistic Regression,"SoftGE only (α=0.25, β=0)",0.818 ± 0.006,0.034 ± 0.006,0.034 ± 0.006,0.039 ± 0.019,0.105 ± 0.004,0.871 ± 0.005
Logistic Regression,"SoftDP only (α=0.25, β=1)",0.809 ± 0.006,0.005 ± 0.004,0.005 ± 0.004,0.035 ± 0.013,0.116 ± 0.004,0.921 ± 0.007
Logistic Regression,"Blend (α=0.25, β=0.05)",0.817 ± 0.005,0.012 ± 0.007,0.012 ± 0.007,0.016 ± 0.012,0.106 ± 0.004,0.874 ± 0.005
MLP (64-64),No fairness (α=1),0.821 ± 0.005,0.033 ± 0.009,0.033 ± 0.009,0.038 ± 0.017,0.104 ± 0.004,0.876 ± 0.005
MLP (64-64),"SoftGE only (α=0.25, β=0)",0.820 ± 0.005,0.044 ± 0.006,0.044 ± 0.006,0.056 ± 0.014,0.102 ± 0.003,0.851 ± 0.004
MLP (64-64),"SoftDP only (α=0.25, β=1)",0.819 ± 0.007,0.014 ± 0.008,0.014 ± 0.008,0.021 ± 0.010,0.105 ± 0.005,0.878 ± 0.004
MLP (64-64),"Blend (α=0.25, β=0.5)",0.820 ± 0.006,0.015 ± 0.008,0.015 ± 0.008,0.020 ± 0.009,0.103 ± 0.004,0.869 ± 0.007
