Model,Arch,Alpha,Beta,Seed,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Soft DP,Soft GE,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
Logistic Regression,logreg,0.0,0.0,6,0.2278,0.0,0.0,0.0001,0.028,0.0008,0.0462,0.0294,0.2262,0.0011,0.9993,0.348,True
Logistic Regression,logreg,0.0,0.005,6,0.2278,0.0,0.0,0.0001,0.028,0.0008,0.0367,0.0294,0.2262,0.0011,0.9993,0.435,True
Logistic Regression,logreg,0.0,0.05,6,0.228,0.0005,0.0005,0.0006,0.028,0.001,0.0005,0.0297,0.2258,0.0004,0.9993,0.3,True
Logistic Regression,logreg,0.0,0.25,6,0.2275,0.0006,0.0006,0.0008,0.028,0.0005,0.0008,0.0297,0.226,0.0008,0.9995,0.335,True
Logistic Regression,logreg,0.0,0.5,6,0.2277,0.0002,0.0002,0.0013,0.0281,0.001,0.002,0.0324,0.2263,0.0006,0.9988,0.181,True
Logistic Regression,logreg,0.0,0.75,6,0.5368,0.0023,0.0023,0.0122,0.1078,0.4655,0.0059,0.0512,0.537,0.004,0.5382,0.029,True
Logistic Regression,logreg,0.0,1.0,6,0.652,0.005,0.005,0.0227,0.1327,0.6523,0.0028,0.0597,0.6582,0.0054,0.336,0.042,True
Logistic Regression,logreg,0.005,0.0,6,0.2292,0.0019,0.0019,0.0026,0.0284,0.0028,0.0517,0.0319,0.2263,0.0025,0.9985,0.387,True
Logistic Regression,logreg,0.005,0.005,6,0.2292,0.0012,0.0012,0.0026,0.0284,0.0028,0.0223,0.032,0.226,0.001,0.9982,0.337,True
Logistic Regression,logreg,0.005,0.05,6,0.2283,0.0005,0.0005,0.0009,0.0284,0.0027,0.0015,0.0321,0.2263,0.0007,0.9975,0.343,True
Logistic Regression,logreg,0.005,0.25,6,0.2288,0.0001,0.0001,0.0004,0.0283,0.0025,0.0024,0.033,0.2273,0.0015,0.9972,0.282,True
Logistic Regression,logreg,0.005,0.5,6,0.2577,0.0048,0.0048,0.0142,0.0338,0.0387,0.0026,0.0372,0.2605,0.0127,0.9547,0.124,True
Logistic Regression,logreg,0.005,0.75,6,0.4672,0.0202,0.0202,0.0157,0.0834,0.3378,0.0057,0.0467,0.4698,0.0005,0.6537,0.045,True
Logistic Regression,logreg,0.005,1.0,6,0.6782,0.0028,0.0028,0.0314,0.1348,0.6918,0.0027,0.0597,0.6927,0.0123,0.2938,0.049,True
Logistic Regression,logreg,0.05,0.0,6,0.5943,0.1405,0.1405,0.1469,0.1006,0.4953,0.0396,0.0476,0.5835,0.1254,0.5147,0.151,True
Logistic Regression,logreg,0.05,0.005,6,0.589,0.0397,0.0397,0.0314,0.0993,0.4863,0.0153,0.0476,0.5773,0.0267,0.5198,0.176,True
Logistic Regression,logreg,0.05,0.05,6,0.6163,0.0224,0.0224,0.0399,0.1029,0.5233,0.0027,0.0482,0.6028,0.0386,0.4823,0.149,True
Logistic Regression,logreg,0.05,0.25,6,0.7408,0.0094,0.0094,0.0361,0.1145,0.7158,0.0039,0.0512,0.7332,0.036,0.2943,0.089,True
Logistic Regression,logreg,0.05,0.5,6,0.8013,0.0283,0.0283,0.0241,0.1099,0.83,0.0041,0.0564,0.8052,0.0213,0.1683,0.099,True
Logistic Regression,logreg,0.05,0.75,6,0.8058,0.0161,0.0161,0.0307,0.1131,0.8688,0.0031,0.0638,0.811,0.0135,0.1292,0.184,True
Logistic Regression,logreg,0.05,1.0,6,0.7962,0.0033,0.0033,0.0325,0.1266,0.9375,0.0017,0.0696,0.8025,0.0157,0.0667,0.14,True
Logistic Regression,logreg,0.25,0.0,6,0.8077,0.0392,0.0392,0.0317,0.1123,0.871,0.0381,0.0671,0.8137,0.0394,0.1245,0.302,True
Logistic Regression,logreg,0.25,0.005,6,0.8083,0.0336,0.0336,0.0279,0.1119,0.871,0.0304,0.0671,0.813,0.0326,0.1248,0.351,True
Logistic Regression,logreg,0.25,0.05,6,0.809,0.0101,0.0101,0.0462,0.112,0.875,0.0034,0.0675,0.8132,0.0172,0.122,0.271,True
Logistic Regression,logreg,0.25,0.25,6,0.8057,0.0029,0.0029,0.0721,0.1157,0.8883,0.0019,0.0689,0.811,0.011,0.1125,0.264,True
Logistic Regression,logreg,0.25,0.5,6,0.806,0.0056,0.0056,0.0739,0.1168,0.9007,0.0017,0.0706,0.8087,0.0106,0.1028,0.267,True
Logistic Regression,logreg,0.25,0.75,6,0.8023,0.0054,0.0054,0.0651,0.1202,0.911,0.0018,0.0721,0.8053,0.0062,0.0902,0.156,True
