Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,9,1.0,0.0,0.6834,0.5226,0.2608,0.7089,0.1911,0.6251
"Fair Logistic Regression (α=0.75, β=0.25)",Fair Logistic Regression,9,0.75,0.25,0.6826,1.0,0.1595,1.0,0.1908,0.6227
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,9,1.0,0.0,0.6874,0.5226,0.2608,0.7032,0.1855,0.6146
"Fair MLP (64-64) (α=0.75, β=0.5)",Fair MLP (64-64),9,0.75,0.5,0.6785,0.4167,0.0688,1.0,0.1847,0.5943
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),9,,,0.6591,0.3974,0.004,0.8041,0.2041,0.6186
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),9,,,0.651,0.3725,0.0107,0.803,0.2152,0.6364
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),9,,,0.6721,0.2255,0.0111,0.7619,0.1748,0.5522
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),9,,,0.6664,0.4,0.0641,0.5833,0.2081,0.6453
Random Forest (no fairness),Random Forest (no fairness),9,,,0.6251,0.6667,0.1586,1.0,0.2104,0.5798
XGBoost (no fairness),XGBoost (no fairness),9,,,0.6567,0.4837,0.2195,0.6225,0.2086,0.6275
