Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,9,1.0,0.0,0.7484,0.1229,0.1229,0.1129,0.1034,0.3406
"Fair Logistic Regression (α=0.75, β=1.0)",Fair Logistic Regression,9,0.75,1.0,0.748,0.0039,0.0039,0.0998,0.1002,0.328
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,9,1.0,0.0,0.7679,0.0765,0.0765,0.0802,0.0996,0.3587
"Fair MLP (64-64) (α=0.75, β=0.5)",Fair MLP (64-64),9,0.75,0.5,0.7634,0.0371,0.0371,0.1749,0.1004,0.354
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),9,,,0.756,0.0149,0.0149,0.1033,0.098,0.3322
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),9,,,0.7402,0.0371,0.0371,0.0418,0.1058,0.3366
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),9,,,0.7549,0.0012,0.0012,0.1202,0.0996,0.3367
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),9,,,0.756,0.0407,0.0407,0.0694,0.0988,0.3352
Random Forest (no fairness),Random Forest (no fairness),9,,,0.7373,0.1049,0.1049,0.123,0.1258,0.4061
XGBoost (no fairness),XGBoost (no fairness),9,,,0.7688,0.0628,0.0628,0.0702,0.1007,0.3648
