Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,1,1.0,0.0,0.8075,0.0929,0.0139,0.2478,0.1175,0.9253
"Fair Logistic Regression (α=0.5, β=0.05)",Fair Logistic Regression,1,0.5,0.05,0.8103,0.0211,0.0211,0.1185,0.1144,0.9098
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,1,1.0,0.0,0.8163,0.0964,0.065,0.1118,0.1074,0.8788
"Fair MLP (64-64) (α=0.25, β=0.05)",Fair MLP (64-64),1,0.25,0.05,0.8152,0.0606,0.0595,0.0774,0.1063,0.8643
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),1,,,0.8097,0.0519,0.0338,0.3429,0.1129,0.8905
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),1,,,0.8035,0.0276,0.0265,0.105,0.1208,0.932
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),1,,,0.8113,0.0175,0.0166,0.1011,0.1124,0.8962
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),1,,,0.8032,0.0119,0.0119,0.0848,0.1213,0.936
Random Forest (no fairness),Random Forest (no fairness),1,,,0.8158,0.0972,0.0534,0.1413,0.108,0.8817
XGBoost (no fairness),XGBoost (no fairness),1,,,0.8147,0.1299,0.0585,0.3826,0.1088,0.8822
