Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,5,1.0,0.0,0.6998,0.3352,0.3352,0.3362,0.1932,0.7745
"Fair Logistic Regression (α=0.75, β=0.5)",Fair Logistic Regression,5,0.75,0.5,0.696,0.0247,0.0247,0.0318,0.1986,0.7855
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,5,1.0,0.0,0.7195,0.2651,0.2651,0.2429,0.173,0.745
"Fair MLP (64-64) (α=0.5, β=0.75)",Fair MLP (64-64),5,0.5,0.75,0.7188,0.0148,0.0148,0.0489,0.1756,0.7543
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),5,,,0.6959,0.0147,0.0147,0.0274,0.1981,0.783
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),5,,,0.6968,0.0636,0.0636,0.0287,0.1972,0.7821
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),5,,,0.6968,0.0047,0.0047,0.0531,0.1848,0.7341
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),5,,,0.6972,0.0506,0.0506,0.0238,0.197,0.7825
Random Forest (no fairness),Random Forest (no fairness),5,,,0.7039,0.2011,0.2011,0.1904,0.1668,0.6846
XGBoost (no fairness),XGBoost (no fairness),5,,,0.718,0.2658,0.2658,0.258,0.1701,0.7291
