Model,Arch,Alpha,Beta,Seed,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Soft DP,Soft GE,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
Logistic Regression,logreg,0.5,0.5,3,0.8268,0.0079,0.0079,0.3303,0.0967,0.8169,0.0012,0.0592,0.8292,0.0185,0.185,0.0,False
Logistic Regression,logreg,0.5,0.75,3,0.8244,0.0001,0.0001,0.3431,0.0992,0.8261,0.0033,0.0604,0.8278,0.012,0.1751,0.0,False
Logistic Regression,logreg,0.5,1.0,3,0.823,0.0016,0.0016,0.3482,0.1011,0.8344,0.0034,0.0612,0.8262,0.0102,0.1685,0.0,False
Logistic Regression,logreg,0.75,0.0,3,0.8427,0.1874,0.1874,0.0869,0.0839,0.7873,0.1869,0.0527,0.8467,0.1912,0.2108,0.001,False
Logistic Regression,logreg,0.75,0.005,3,0.8429,0.1871,0.1871,0.0864,0.0838,0.7875,0.1863,0.0528,0.8469,0.1905,0.2111,0.0,False
Logistic Regression,logreg,0.75,0.05,3,0.8428,0.1808,0.1808,0.0819,0.0842,0.79,0.1805,0.0529,0.8468,0.1841,0.2094,0.0,False
Logistic Regression,logreg,0.75,0.25,3,0.8413,0.1538,0.1538,0.0623,0.0859,0.797,0.1545,0.0536,0.8459,0.1564,0.2043,0.0,False
Logistic Regression,logreg,0.75,0.5,3,0.8392,0.1227,0.1227,0.081,0.088,0.804,0.1188,0.0548,0.8438,0.1238,0.1962,0.0,False
Logistic Regression,logreg,0.75,0.75,3,0.8377,0.0822,0.0822,0.1851,0.09,0.8133,0.0792,0.0565,0.84,0.091,0.1874,0.0,False
Logistic Regression,logreg,0.75,1.0,3,0.8332,0.0382,0.0382,0.2731,0.0936,0.8218,0.034,0.0586,0.8335,0.0452,0.1789,0.001,False
Logistic Regression,logreg,1.0,0.0,3,0.8422,0.1813,0.1813,0.0814,0.0849,0.7928,0.1844,0.0532,0.8464,0.189,0.2073,0.002,False
Logistic Regression,logreg,1.0,0.005,3,0.8422,0.1813,0.1813,0.0814,0.0849,0.7928,0.1844,0.0532,0.8464,0.189,0.2073,0.0,False
Logistic Regression,logreg,1.0,0.05,3,0.8422,0.1813,0.1813,0.0814,0.0849,0.7928,0.1844,0.0532,0.8464,0.189,0.2073,0.0,False
Logistic Regression,logreg,1.0,0.25,3,0.8422,0.1813,0.1813,0.0814,0.0849,0.7928,0.1844,0.0532,0.8464,0.189,0.2073,0.0,False
Logistic Regression,logreg,1.0,0.5,3,0.8422,0.1813,0.1813,0.0814,0.0849,0.7928,0.1844,0.0532,0.8464,0.189,0.2073,0.001,False
Logistic Regression,logreg,1.0,0.75,3,0.8422,0.1813,0.1813,0.0814,0.0849,0.7928,0.1844,0.0532,0.8464,0.189,0.2073,0.0,False
Logistic Regression,logreg,1.0,1.0,3,0.8422,0.1813,0.1813,0.0814,0.0849,0.7928,0.1844,0.0532,0.8464,0.189,0.2073,0.0,False
MLP (64-64),mlp,0.0,0.0,3,0.2482,0.0,0.0,0.0,0.0304,0.0,0.1199,0.0271,0.2545,0.0,1.0,0.002,False
MLP (64-64),mlp,0.0,0.005,3,0.2482,0.0,0.0,0.0,0.0304,0.0,0.0739,0.0272,0.2545,0.0,1.0,0.001,False
MLP (64-64),mlp,0.0,0.05,3,0.2482,0.0,0.0,0.0,0.0304,0.0,0.0008,0.0283,0.2545,0.0,1.0,0.001,False
MLP (64-64),mlp,0.0,0.25,3,0.2482,0.0,0.0,0.0,0.0304,0.0,0.0012,0.0299,0.2545,0.0,1.0,0.001,False
MLP (64-64),mlp,0.0,0.5,3,0.2482,0.0,0.0,0.0,0.0304,0.0,0.0,0.0303,0.2545,0.0,1.0,0.001,False
MLP (64-64),mlp,0.0,0.75,3,0.2482,0.0,0.0,0.0,0.0304,0.0,0.0004,0.0303,0.2545,0.0,1.0,0.001,False
MLP (64-64),mlp,0.0,1.0,3,0.7518,0.0,0.0,0.0,0.1651,,0.0,0.0627,0.7455,0.0,0.0,0.001,False
MLP (64-64),mlp,0.005,0.0,3,0.3024,0.0032,0.0032,0.0137,0.0366,0.0542,0.1407,0.028,0.3054,0.0,0.9491,0.002,False
MLP (64-64),mlp,0.005,0.005,3,0.3348,0.1278,0.1278,0.1854,0.0403,0.087,0.1108,0.0281,0.3449,0.1332,0.9096,0.001,False
MLP (64-64),mlp,0.005,0.05,3,0.2584,0.015,0.015,0.0218,0.0316,0.0102,0.0023,0.0293,0.2637,0.0136,0.9908,0.001,False
MLP (64-64),mlp,0.005,0.25,3,0.2482,0.0,0.0,0.0,0.0304,0.0,0.0015,0.0302,0.2545,0.0,1.0,0.002,False
MLP (64-64),mlp,0.005,0.5,3,0.2482,0.0,0.0,0.0,0.0304,0.0,0.0012,0.0321,0.2545,0.0,1.0,0.001,False
MLP (64-64),mlp,0.005,0.75,3,0.2482,0.0,0.0,0.0,0.0304,0.0,0.0,0.0369,0.2545,0.0,1.0,0.001,False
MLP (64-64),mlp,0.005,1.0,3,0.7518,0.0,0.0,0.0,0.1651,,0.0,0.0899,0.7455,0.0,0.0,0.001,False
MLP (64-64),mlp,0.05,0.0,3,0.823,0.2969,0.2969,0.1914,0.0718,0.6652,0.1928,0.0377,0.8271,0.3129,0.343,0.001,False
MLP (64-64),mlp,0.05,0.005,3,0.8253,0.2844,0.2844,0.1776,0.0714,0.6682,0.1679,0.0377,0.8302,0.2973,0.3379,0.001,False
MLP (64-64),mlp,0.05,0.05,3,0.8195,0.1519,0.1519,0.1028,0.0751,0.6739,0.0131,0.039,0.8247,0.1619,0.329,0.001,False
MLP (64-64),mlp,0.05,0.25,3,0.8008,0.0382,0.0382,0.1871,0.0859,0.6863,0.0056,0.0426,0.809,0.0459,0.3122,0.002,False
MLP (64-64),mlp,0.05,0.5,3,0.8138,0.0228,0.0228,0.2462,0.0905,0.7381,0.0037,0.0484,0.8191,0.0336,0.2629,0.001,False
MLP (64-64),mlp,0.05,0.75,3,0.8235,0.0225,0.0225,0.2649,0.0935,0.783,0.0046,0.0541,0.8282,0.0315,0.2191,0.001,False
MLP (64-64),mlp,0.05,1.0,3,0.7518,0.0,0.0,0.0,0.1651,,0.0015,0.0796,0.7455,0.0,0.0,0.001,False
MLP (64-64),mlp,0.25,0.0,3,0.8483,0.2066,0.2066,0.1004,0.0772,0.7609,0.2079,0.0488,0.8511,0.2179,0.24,0.001,False
MLP (64-64),mlp,0.25,0.005,3,0.848,0.2019,0.2019,0.0966,0.0779,0.7647,0.204,0.0489,0.8533,0.2143,0.2383,0.001,False
MLP (64-64),mlp,0.25,0.05,3,0.8492,0.1671,0.1671,0.0718,0.0786,0.7739,0.1599,0.0495,0.8525,0.1711,0.2271,0.001,False
MLP (64-64),mlp,0.25,0.25,3,0.8346,0.0314,0.0314,0.3016,0.0892,0.7945,0.0077,0.054,0.8374,0.0444,0.2082,0.002,False
MLP (64-64),mlp,0.25,0.5,3,0.8342,0.0207,0.0207,0.3117,0.0904,0.8013,0.0067,0.0557,0.8367,0.0292,0.2013,0.001,False
MLP (64-64),mlp,0.25,0.75,3,0.8308,0.0048,0.0048,0.3272,0.0937,0.8122,0.0073,0.0577,0.8333,0.0153,0.1919,0.001,False
MLP (64-64),mlp,0.25,1.0,3,0.8289,0.0004,0.0004,0.3384,0.0956,0.8179,0.0051,0.0596,0.8308,0.0104,0.1873,0.001,False
MLP (64-64),mlp,0.5,0.0,3,0.8488,0.1869,0.1869,0.0841,0.0799,0.7821,0.1988,0.0503,0.8517,0.1966,0.2192,0.001,False
MLP (64-64),mlp,0.5,0.005,3,0.8489,0.1866,0.1866,0.0841,0.0799,0.782,0.1982,0.0502,0.8512,0.1987,0.222,0.001,False
MLP (64-64),mlp,0.5,0.05,3,0.8482,0.1736,0.1736,0.0762,0.0807,0.7853,0.1836,0.0506,0.8514,0.1877,0.2169,0.001,False
MLP (64-64),mlp,0.5,0.25,3,0.8456,0.1066,0.1066,0.1539,0.0838,0.7988,0.0981,0.0532,0.8494,0.1134,0.2021,0.002,False
MLP (64-64),mlp,0.5,0.5,3,0.8349,0.0133,0.0133,0.3444,0.0915,0.8129,0.0096,0.057,0.8398,0.0297,0.1918,0.001,False
MLP (64-64),mlp,0.5,0.75,3,0.8341,0.0057,0.0057,0.3554,0.0925,0.8167,0.0066,0.0583,0.8352,0.0181,0.1881,0.001,False
MLP (64-64),mlp,0.5,1.0,3,0.8327,0.0028,0.0028,0.3613,0.0939,0.8224,0.0075,0.0589,0.8354,0.0131,0.181,0.001,False
MLP (64-64),mlp,0.75,0.0,3,0.8484,0.1802,0.1802,0.079,0.0806,0.786,0.1966,0.0509,0.853,0.1922,0.2156,0.001,False
MLP (64-64),mlp,0.75,0.005,3,0.8482,0.1824,0.1824,0.0821,0.0808,0.7862,0.196,0.0508,0.853,0.1926,0.2151,0.003,False
MLP (64-64),mlp,0.75,0.05,3,0.8482,0.1773,0.1773,0.0783,0.0811,0.7886,0.1905,0.0511,0.8525,0.1878,0.2129,0.001,False
MLP (64-64),mlp,0.75,0.25,3,0.8478,0.1587,0.1587,0.0669,0.0821,0.795,0.1675,0.0517,0.8528,0.1667,0.2069,0.002,False
MLP (64-64),mlp,0.75,0.5,3,0.8461,0.1253,0.1253,0.0914,0.0842,0.8046,0.1327,0.0527,0.8513,0.1341,0.1991,0.002,False
MLP (64-64),mlp,0.75,0.75,3,0.8439,0.0877,0.0877,0.1831,0.086,0.8095,0.0873,0.0545,0.8479,0.0966,0.1928,0.001,False
MLP (64-64),mlp,0.75,1.0,3,0.8397,0.0465,0.0465,0.2903,0.0881,0.8069,0.0258,0.0565,0.8428,0.0589,0.1952,0.001,False
MLP (64-64),mlp,1.0,0.0,3,0.8481,0.1801,0.1801,0.077,0.0814,0.7905,0.1966,0.0511,0.852,0.194,0.2117,0.001,False
MLP (64-64),mlp,1.0,0.005,3,0.8481,0.1801,0.1801,0.077,0.0814,0.7905,0.1966,0.0511,0.852,0.194,0.2117,0.001,False
MLP (64-64),mlp,1.0,0.05,3,0.8481,0.1801,0.1801,0.077,0.0814,0.7905,0.1966,0.0511,0.852,0.194,0.2117,0.001,False
MLP (64-64),mlp,1.0,0.25,3,0.8481,0.1801,0.1801,0.077,0.0814,0.7905,0.1966,0.0511,0.852,0.194,0.2117,0.002,False
MLP (64-64),mlp,1.0,0.5,3,0.8481,0.1801,0.1801,0.077,0.0814,0.7905,0.1966,0.0511,0.852,0.194,0.2117,0.001,False
MLP (64-64),mlp,1.0,0.75,3,0.8481,0.1801,0.1801,0.077,0.0814,0.7905,0.1966,0.0511,0.852,0.194,0.2117,0.001,False
MLP (64-64),mlp,1.0,1.0,3,0.8481,0.1801,0.1801,0.077,0.0814,0.7905,0.1966,0.0511,0.852,0.194,0.2117,0.001,False
