Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,8,1.0,0.0,0.6842,0.5514,0.2947,0.7386,0.1701,0.6032
"Fair Logistic Regression (α=0.75, β=0.75)",Fair Logistic Regression,8,0.75,0.75,0.6656,0.5,0.0496,0.6,0.1864,0.6219
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,8,1.0,0.0,0.6891,0.5794,0.3034,0.769,0.1575,0.5709
"Fair MLP (64-64) (α=0.75, β=0.5)",Fair MLP (64-64),8,0.75,0.5,0.6632,0.5,0.0927,0.6818,0.1771,0.5903
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),8,,,0.6518,0.6716,0.0046,1.0,0.1905,0.6113
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),8,,,0.6243,0.6792,0.0026,1.0,0.1946,0.5822
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),8,,,0.6591,0.5,0.035,0.6818,0.1713,0.5668
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),8,,,0.6567,0.414,0.0387,0.6364,0.1894,0.6162
Random Forest (no fairness),Random Forest (no fairness),8,,,0.6316,0.5358,0.1629,0.6505,0.178,0.5474
XGBoost (no fairness),XGBoost (no fairness),8,,,0.6729,0.5078,0.2729,0.6818,0.1799,0.6146
