Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,7,1.0,0.0,0.805,0.0662,0.0662,0.1667,0.116,0.86
"Fair Logistic Regression (α=0.5, β=0.005)",Fair Logistic Regression,7,0.5,0.005,0.81,0.07,0.07,0.1313,0.1085,0.825
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,7,1.0,0.0,0.755,0.1024,0.1024,0.1414,0.142,0.83
"Fair MLP (64-64) (α=0.75, β=0.05)",Fair MLP (64-64),7,0.75,0.05,0.775,0.1522,0.1522,0.1919,0.1263,0.81
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),7,,,0.785,0.0667,0.0667,0.1263,0.1187,0.8
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),7,,,0.79,0.0358,0.0358,0.1869,0.1131,0.785
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),7,,,0.79,0.0176,0.0176,0.1465,0.1249,0.855
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),7,,,0.79,0.0584,0.0584,0.1515,0.1203,0.825
Random Forest (no fairness),Random Forest (no fairness),7,,,0.805,0.0888,0.0888,0.2172,0.1107,0.82
XGBoost (no fairness),XGBoost (no fairness),7,,,0.8,0.1031,0.1031,0.2929,0.102,0.755
