Dataset,Role,Arch,Acc base,Acc fair,Acc p_holm,DPD2 base,DPD2 fair,DPD2 p_holm,GE2 base,GE2 fair,GE2 p_holm,DPD2 change %,Acc cost (pts),Selected beta (mean)
COMPAS (race),main,LR,0.6762699999999999,0.6610599999999999,0.0078125,0.3044700000000001,0.06097999999999999,0.0078125,0.1907,0.19981000000000002,0.02734375,-79.97175419581569,1.5210000000000057,0.625
COMPAS (race),main,MLP,0.68227,0.6693199999999999,0.017578125,0.28393999999999997,0.08164,0.0078125,0.17708,0.18058000000000002,0.86328125,-71.24744664365711,1.2950000000000128,0.6
Adult (sex),main,LR,0.84496,0.82969,0.0078125,0.1844,0.0212,0.0078125,0.08385000000000001,0.09467,0.0078125,-88.50325379609544,1.5270000000000006,0.575
Adult (sex),main,MLP,0.85076,0.83606,0.0078125,0.18234999999999998,0.026250000000000002,0.0078125,0.08033,0.09138,0.0078125,-85.6046065259117,1.4699999999999935,0.65
ACS Public Coverage (race),main,LR,0.70855,0.70472,0.0078125,0.28512,0.019230000000000004,0.0078125,0.18689999999999998,0.18656,0.845703125,-93.25547138047136,0.383,0.4
ACS Public Coverage (race),main,MLP,0.73122,0.72669,0.0078125,0.24311,0.020319999999999998,0.0078125,0.16408,0.16631,0.193359375,-91.64164370038255,0.4530000000000034,0.525
ACS Employment (sex),boundary,LR,0.7458400000000001,0.7467300000000001,0.734375,0.12229000000000001,0.00923,0.0078125,0.10236,0.09695000000000001,0.0078125,-92.4523673235751,-0.08900000000000574,0.6
ACS Employment (sex),boundary,MLP,0.7688900000000001,0.7665,0.037109375,0.08762,0.016319999999999998,0.0078125,0.09874,0.09444000000000001,0.01953125,-81.37411549874457,0.23900000000001143,0.55
