Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,5,1.0,0.0,0.7499,0.1391,0.1391,0.1217,0.1031,0.3346
"Fair Logistic Regression (α=0.75, β=0.5)",Fair Logistic Regression,5,0.75,0.5,0.7548,0.0089,0.0089,0.0878,0.0959,0.3149
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,5,1.0,0.0,0.7759,0.1017,0.1017,0.0865,0.0981,0.3596
"Fair MLP (64-64) (α=0.25, β=0.25)",Fair MLP (64-64),5,0.25,0.25,0.7723,0.0116,0.0116,0.1054,0.0873,0.3088
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),5,,,0.7596,0.0246,0.0246,0.0806,0.0968,0.3259
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),5,,,0.7451,0.059,0.059,0.0344,0.1054,0.3354
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),5,,,0.7575,0.0041,0.0041,0.1053,0.101,0.3388
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),5,,,0.7615,0.0556,0.0556,0.0478,0.0968,0.3292
Random Forest (no fairness),Random Forest (no fairness),5,,,0.7431,0.1143,0.1143,0.1287,0.124,0.4024
XGBoost (no fairness),XGBoost (no fairness),5,,,0.7749,0.0789,0.0789,0.0684,0.098,0.3574
