Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,6,1.0,0.0,0.7095,0.2597,0.2597,0.2357,0.1843,0.7763
"Fair Logistic Regression (α=0.5, β=0.5)",Fair Logistic Regression,6,0.5,0.5,0.7068,0.0096,0.0096,0.0803,0.1852,0.7724
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,6,1.0,0.0,0.7292,0.2364,0.2364,0.2252,0.1629,0.7396
"Fair MLP (64-64) (α=0.75, β=0.5)",Fair MLP (64-64),6,0.75,0.5,0.7232,0.0122,0.0122,0.0615,0.1724,0.7644
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),6,,,0.7061,0.0046,0.0046,0.0698,0.1868,0.7769
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),6,,,0.7077,0.0329,0.0329,0.0208,0.1829,0.7655
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),6,,,0.7068,0.0064,0.0064,0.0737,0.1832,0.7642
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),6,,,0.7066,0.0296,0.0296,0.0264,0.1862,0.7758
Random Forest (no fairness),Random Forest (no fairness),6,,,0.7086,0.1783,0.1783,0.1671,0.164,0.6956
XGBoost (no fairness),XGBoost (no fairness),6,,,0.7254,0.2356,0.2356,0.2023,0.1646,0.7366
