Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,0,1.0,0.0,0.8349,0.1896,0.1896,0.1348,0.0893,0.7934
"Fair Logistic Regression (α=0.25, β=0.25)",Fair Logistic Regression,0,0.25,0.25,0.8241,0.0181,0.0181,0.26,0.0962,0.7996
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,0,1.0,0.0,0.8419,0.1812,0.1812,0.1159,0.086,0.797
"Fair MLP (64-64) (α=0.5, β=0.5)",Fair MLP (64-64),0,0.5,0.5,0.8285,0.0132,0.0132,0.2862,0.0962,0.8179
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),0,,,0.826,0.0045,0.0045,0.3003,0.0985,0.8242
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),0,,,0.8293,0.0991,0.0991,0.0542,0.0931,0.7983
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),0,,,0.8239,0.0094,0.0094,0.3275,0.1012,0.8365
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),0,,,0.8343,0.0855,0.0855,0.1522,0.0911,0.8038
Random Forest (no fairness),Random Forest (no fairness),0,,,0.8413,0.1881,0.1881,0.1177,0.084,0.7801
