Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,4,1.0,0.0,0.7441,0.1123,0.1123,0.1107,0.1037,0.3288
"Fair Logistic Regression (α=0.75, β=1.0)",Fair Logistic Regression,4,0.75,1.0,0.7493,0.0114,0.0114,0.1054,0.0984,0.3172
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,4,1.0,0.0,0.7662,0.0824,0.0824,0.0904,0.1013,0.3565
"Fair MLP (64-64) (α=0.75, β=0.25)",Fair MLP (64-64),4,0.75,0.25,0.7646,0.0166,0.0166,0.099,0.1002,0.3493
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),4,,,0.7554,0.0088,0.0088,0.1116,0.0966,0.3199
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),4,,,0.7328,0.0281,0.0281,0.0253,0.1083,0.3285
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),4,,,0.7525,0.0239,0.0239,0.1284,0.0918,0.297
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),4,,,0.7528,0.0263,0.0263,0.0747,0.0985,0.3231
Random Forest (no fairness),Random Forest (no fairness),4,,,0.7328,0.0985,0.0985,0.1358,0.1293,0.4051
XGBoost (no fairness),XGBoost (no fairness),4,,,0.7632,0.0533,0.0533,0.0649,0.1021,0.3543
