Model,Arch,Alpha,Beta,Seed,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Soft DP,Soft GE,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
Logistic Regression,logreg,0.0,0.0,9,0.2208,0.0001,0.0001,0.0001,0.0272,0.0005,0.0438,0.0283,0.2205,0.0005,0.9997,0.35,True
Logistic Regression,logreg,0.0,0.005,9,0.2207,0.0001,0.0001,0.0002,0.0272,0.0003,0.0351,0.0283,0.2203,0.0003,0.9998,0.365,True
Logistic Regression,logreg,0.0,0.05,9,0.2208,0.0006,0.0006,0.0008,0.0272,0.0005,0.0023,0.0286,0.2203,0.0003,0.9998,0.482,True
Logistic Regression,logreg,0.0,0.25,9,0.221,0.0003,0.0003,0.0004,0.0272,0.0007,0.0023,0.0287,0.2205,0.0005,0.9997,0.347,True
Logistic Regression,logreg,0.0,0.5,9,0.221,0.0003,0.0003,0.0004,0.0272,0.0007,0.0022,0.029,0.2205,0.0005,0.9997,0.422,True
Logistic Regression,logreg,0.0,0.75,9,0.2212,0.0003,0.0003,0.0004,0.0274,0.0015,0.0012,0.0301,0.2208,0.0011,0.9993,0.335,True
Logistic Regression,logreg,0.0,1.0,9,0.3703,0.0052,0.0052,0.0251,0.0656,0.2217,0.0023,0.049,0.3577,0.0179,0.7918,0.055,True
Logistic Regression,logreg,0.005,0.0,9,0.2213,0.0008,0.0008,0.0013,0.0273,0.0013,0.0406,0.0307,0.2207,0.0014,0.9992,0.356,True
Logistic Regression,logreg,0.005,0.005,9,0.2217,0.0,0.0,0.0013,0.0274,0.0017,0.0079,0.0308,0.2208,0.0011,0.9993,0.373,True
Logistic Regression,logreg,0.005,0.05,9,0.2217,0.0,0.0,0.0013,0.0274,0.0017,0.001,0.031,0.2212,0.0002,0.999,0.341,True
Logistic Regression,logreg,0.005,0.25,9,0.2218,0.0006,0.0006,0.0007,0.0275,0.0022,0.0008,0.0317,0.2218,0.0001,0.9983,0.296,True
Logistic Regression,logreg,0.005,0.5,9,0.2245,0.0035,0.0035,0.0057,0.0281,0.0058,0.0007,0.0334,0.2227,0.0025,0.9968,0.322,True
Logistic Regression,logreg,0.005,0.75,9,0.2567,0.0011,0.0011,0.003,0.0348,0.0483,0.0014,0.0385,0.2503,0.0092,0.9585,0.109,True
Logistic Regression,logreg,0.005,1.0,9,0.4185,0.0001,0.0001,0.0199,0.0781,0.2935,0.0031,0.0509,0.4,0.0102,0.7235,0.055,True
