Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,9,1.0,0.0,0.8102,0.0105,0.0105,0.0288,0.1145,0.9122
"Fair Logistic Regression (α=0.5, β=0.05)",Fair Logistic Regression,9,0.5,0.05,0.8122,0.0093,0.0093,0.0448,0.1116,0.8955
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,9,1.0,0.0,0.816,0.0375,0.0375,0.0462,0.1071,0.8773
"Fair MLP (64-64) (α=0.25, β=0.5)",Fair MLP (64-64),9,0.25,0.5,0.815,0.0237,0.0237,0.015,0.1061,0.864
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),9,,,0.8117,0.0148,0.0148,0.0206,0.1143,0.9227
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),9,,,0.812,0.0172,0.0172,0.0169,0.114,0.922
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),9,,,0.8158,0.0083,0.0083,0.0352,0.1077,0.8815
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),9,,,0.8108,0.0011,0.0011,0.0474,0.1149,0.9228
Random Forest (no fairness),Random Forest (no fairness),9,,,0.8083,0.0279,0.0279,0.0268,0.1105,0.8673
XGBoost (no fairness),XGBoost (no fairness),9,,,0.815,0.035,0.035,0.028,0.1073,0.8733
