Model,Arch,Alpha,Beta,Seed,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Soft DP,Soft GE,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
Logistic Regression,logreg,0.0,0.0,6,0.325,0.0,0.0,0.0,0.0391,0.0,0.0339,0.0406,0.265,0.0,1.0,0.0,False
Logistic Regression,logreg,0.0,0.005,6,0.325,0.0,0.0,0.0,0.0391,0.0,0.0246,0.0406,0.265,0.0,1.0,0.0,False
Logistic Regression,logreg,0.0,0.05,6,0.325,0.0,0.0,0.0,0.0391,0.0,0.0025,0.0412,0.27,0.0076,0.995,0.0,False
Logistic Regression,logreg,0.0,0.25,6,0.325,0.0,0.0,0.0,0.0391,0.0,0.0004,0.0417,0.265,0.0,1.0,0.0,False
Logistic Regression,logreg,0.0,0.5,6,0.325,0.0,0.0,0.0,0.0391,0.0,0.0045,0.0426,0.265,0.0,1.0,0.0,False
Logistic Regression,logreg,0.0,0.75,6,0.325,0.0,0.0,0.0,0.0391,0.0,0.0064,0.0436,0.265,0.0,1.0,0.0,False
Logistic Regression,logreg,0.0,1.0,6,0.65,0.0267,0.0267,0.0404,0.2064,0.765,0.0047,0.0863,0.67,0.0632,0.205,0.0,False
Logistic Regression,logreg,0.005,0.0,6,0.335,0.0134,0.0134,0.0198,0.0402,0.01,0.0217,0.044,0.275,0.0069,0.99,0.0,False
Logistic Regression,logreg,0.005,0.005,6,0.34,0.0201,0.0201,0.0297,0.0407,0.015,0.001,0.0443,0.27,0.0076,0.995,0.0,False
Logistic Regression,logreg,0.005,0.05,6,0.34,0.0201,0.0201,0.0297,0.0407,0.015,0.0011,0.0454,0.27,0.0076,0.995,0.0,False
Logistic Regression,logreg,0.005,0.25,6,0.335,0.0134,0.0134,0.0198,0.0402,0.01,0.0011,0.0491,0.27,0.0076,0.995,0.0,False
Logistic Regression,logreg,0.005,0.5,6,0.33,0.0067,0.0067,0.0099,0.0396,0.005,0.0016,0.0512,0.27,0.0076,0.995,0.0,False
Logistic Regression,logreg,0.005,0.75,6,0.325,0.0,0.0,0.0,0.0391,0.0,0.0021,0.0563,0.27,0.0076,0.995,0.001,False
Logistic Regression,logreg,0.005,1.0,6,0.655,0.0334,0.0334,0.0404,0.2051,0.77,0.0046,0.0866,0.67,0.0632,0.205,0.0,False
Logistic Regression,logreg,0.05,0.0,6,0.485,0.02,0.02,0.0364,0.0791,0.24,0.0127,0.0628,0.44,0.0422,0.755,0.0,False
Logistic Regression,logreg,0.05,0.005,6,0.485,0.0066,0.0066,0.0282,0.0823,0.25,0.0057,0.0631,0.45,0.0574,0.745,0.0,False
Logistic Regression,logreg,0.05,0.05,6,0.475,0.0858,0.0858,0.1495,0.0881,0.26,0.0084,0.0655,0.48,0.059,0.715,0.0,False
Logistic Regression,logreg,0.05,0.25,6,0.52,0.0425,0.0425,0.1152,0.1119,0.365,0.0063,0.0693,0.51,0.1147,0.635,0.0,False
Logistic Regression,logreg,0.05,0.5,6,0.64,0.0117,0.0117,0.0172,0.1872,0.695,0.0028,0.0819,0.64,0.0891,0.275,0.0,False
Logistic Regression,logreg,0.05,0.75,6,0.675,0.0584,0.0584,0.0606,0.196,0.78,0.0031,0.0854,0.655,0.0693,0.23,0.0,False
Logistic Regression,logreg,0.05,1.0,6,0.665,0.0708,0.0708,0.0801,0.2117,0.81,0.0038,0.0874,0.675,0.0861,0.19,0.0,False
Logistic Regression,logreg,0.25,0.0,6,0.67,0.0299,0.0299,0.0895,0.229,0.885,0.0524,0.0946,0.705,0.0739,0.14,0.0,False
Logistic Regression,logreg,0.25,0.005,6,0.67,0.0299,0.0299,0.0895,0.229,0.885,0.0501,0.0943,0.7,0.0663,0.145,0.0,False
Logistic Regression,logreg,0.25,0.05,6,0.66,0.0428,0.0428,0.0895,0.2344,0.875,0.0296,0.0918,0.695,0.0586,0.15,0.0,False
Logistic Regression,logreg,0.25,0.25,6,0.675,0.0361,0.0361,0.0478,0.2214,0.87,0.0068,0.0967,0.715,0.0091,0.11,0.0,False
Logistic Regression,logreg,0.25,0.5,6,0.685,0.0103,0.0103,0.0686,0.2181,0.89,0.0054,0.1007,0.725,0.0396,0.09,0.0,False
Logistic Regression,logreg,0.25,0.75,6,0.685,0.0237,0.0237,0.0895,0.2201,0.9,0.0051,0.1033,0.73,0.0404,0.075,0.0,False
Logistic Regression,logreg,0.25,1.0,6,0.68,0.0438,0.0438,0.1311,0.2271,0.915,0.0047,0.1085,0.735,0.048,0.07,0.0,False
Logistic Regression,logreg,0.5,0.0,6,0.665,0.0366,0.0366,0.1103,0.2343,0.89,0.0652,0.1054,0.74,0.061,0.105,0.0,False
Logistic Regression,logreg,0.5,0.005,6,0.665,0.0366,0.0366,0.1103,0.2343,0.89,0.0646,0.1055,0.74,0.061,0.105,0.0,False
Logistic Regression,logreg,0.5,0.05,6,0.67,0.0433,0.0433,0.1103,0.2314,0.895,0.0583,0.1055,0.74,0.061,0.105,0.0,False
Logistic Regression,logreg,0.5,0.25,6,0.675,0.0366,0.0366,0.0895,0.2262,0.89,0.0216,0.1042,0.73,0.0388,0.105,0.0,False
Logistic Regression,logreg,0.5,0.5,6,0.685,0.0103,0.0103,0.0686,0.2181,0.89,0.0143,0.1068,0.725,0.0396,0.09,0.0,False
Logistic Regression,logreg,0.5,0.75,6,0.68,0.017,0.017,0.0895,0.2232,0.895,0.0107,0.1092,0.725,0.0396,0.09,0.0,False
Logistic Regression,logreg,0.5,1.0,6,0.685,0.0237,0.0237,0.0895,0.2201,0.9,0.009,0.1105,0.735,0.048,0.07,0.0,False
Logistic Regression,logreg,0.75,0.0,6,0.675,0.0634,0.0634,0.1311,0.2305,0.91,0.0662,0.1105,0.735,0.0686,0.1,0.0,False
Logistic Regression,logreg,0.75,0.005,6,0.675,0.0634,0.0634,0.1311,0.2305,0.91,0.066,0.1106,0.735,0.0686,0.1,0.0,False
Logistic Regression,logreg,0.75,0.05,6,0.67,0.0567,0.0567,0.1311,0.2337,0.905,0.0634,0.1106,0.73,0.0541,0.095,0.0,False
Logistic Regression,logreg,0.75,0.25,6,0.67,0.0567,0.0567,0.1311,0.2337,0.905,0.0534,0.1107,0.735,0.0617,0.09,0.0,False
Logistic Regression,logreg,0.75,0.5,6,0.67,0.0304,0.0304,0.1311,0.2337,0.905,0.041,0.1104,0.74,0.0472,0.085,0.0,False
Logistic Regression,logreg,0.75,0.75,6,0.675,0.0232,0.0232,0.0686,0.2239,0.88,0.0152,0.1109,0.72,0.032,0.095,0.0,False
Logistic Regression,logreg,0.75,1.0,6,0.675,0.0103,0.0103,0.0895,0.2262,0.89,0.0164,0.1117,0.725,0.0396,0.09,0.0,False
Logistic Regression,logreg,1.0,0.0,6,0.675,0.0634,0.0634,0.1311,0.2305,0.91,0.0658,0.1132,0.73,0.0694,0.085,0.0,False
Logistic Regression,logreg,1.0,0.005,6,0.675,0.0634,0.0634,0.1311,0.2305,0.91,0.0658,0.1132,0.73,0.0694,0.085,0.0,False
Logistic Regression,logreg,1.0,0.05,6,0.675,0.0634,0.0634,0.1311,0.2305,0.91,0.0658,0.1132,0.73,0.0694,0.085,0.0,False
Logistic Regression,logreg,1.0,0.25,6,0.675,0.0634,0.0634,0.1311,0.2305,0.91,0.0658,0.1132,0.73,0.0694,0.085,0.0,False
Logistic Regression,logreg,1.0,0.5,6,0.675,0.0634,0.0634,0.1311,0.2305,0.91,0.0658,0.1132,0.73,0.0694,0.085,0.0,False
Logistic Regression,logreg,1.0,0.75,6,0.675,0.0634,0.0634,0.1311,0.2305,0.91,0.0658,0.1132,0.73,0.0694,0.085,0.0,False
Logistic Regression,logreg,1.0,1.0,6,0.675,0.0634,0.0634,0.1311,0.2305,0.91,0.0658,0.1132,0.73,0.0694,0.085,0.0,False
MLP (64-64),mlp,0.0,0.0,6,0.325,0.0,0.0,0.0,0.0391,0.0,0.0027,0.0384,0.265,0.0,1.0,0.001,False
MLP (64-64),mlp,0.0,0.005,6,0.325,0.0,0.0,0.0,0.0391,0.0,0.0025,0.0384,0.265,0.0,1.0,0.0,False
MLP (64-64),mlp,0.0,0.05,6,0.325,0.0,0.0,0.0,0.0391,0.0,0.0,0.0391,0.265,0.0,1.0,0.0,False
MLP (64-64),mlp,0.0,0.25,6,0.325,0.0,0.0,0.0,0.0391,0.0,0.0,0.0391,0.265,0.0,1.0,0.0,False
MLP (64-64),mlp,0.0,0.5,6,0.325,0.0,0.0,0.0,0.0391,0.0,0.0006,0.0391,0.265,0.0,1.0,0.001,False
MLP (64-64),mlp,0.0,0.75,6,0.325,0.0,0.0,0.0,0.0391,0.0,0.0006,0.0392,0.265,0.0,1.0,0.0,False
MLP (64-64),mlp,0.0,1.0,6,0.325,0.0,0.0,0.0,0.0391,0.0,0.001,0.0746,0.265,0.0,1.0,0.0,False
MLP (64-64),mlp,0.005,0.0,6,0.325,0.0,0.0,0.0,0.0391,0.0,0.0056,0.0413,0.265,0.0,1.0,0.0,False
MLP (64-64),mlp,0.005,0.005,6,0.325,0.0,0.0,0.0,0.0391,0.0,0.0025,0.0413,0.265,0.0,1.0,0.0,False
MLP (64-64),mlp,0.005,0.05,6,0.325,0.0,0.0,0.0,0.0391,0.0,0.0065,0.0428,0.265,0.0,1.0,0.0,False
MLP (64-64),mlp,0.005,0.25,6,0.325,0.0,0.0,0.0,0.0391,0.0,0.0131,0.0475,0.265,0.0,1.0,0.0,False
MLP (64-64),mlp,0.005,0.5,6,0.325,0.0,0.0,0.0,0.0391,0.0,0.0112,0.0442,0.265,0.0,1.0,0.0,False
MLP (64-64),mlp,0.005,0.75,6,0.325,0.0,0.0,0.0,0.0391,0.0,0.0041,0.0634,0.265,0.0,1.0,0.001,False
MLP (64-64),mlp,0.005,1.0,6,0.675,0.0,0.0,0.0,0.2407,,0.0,0.111,0.735,0.0,0.0,0.0,False
MLP (64-64),mlp,0.05,0.0,6,0.555,0.0353,0.0353,0.1495,0.0934,0.34,0.0035,0.0626,0.515,0.1124,0.68,0.0,False
MLP (64-64),mlp,0.05,0.005,6,0.565,0.0616,0.0616,0.2083,0.0906,0.34,0.0126,0.0629,0.51,0.12,0.675,0.0,False
MLP (64-64),mlp,0.05,0.05,6,0.325,0.0,0.0,0.0,0.0391,0.0,0.0122,0.0617,0.265,0.0,1.0,0.0,False
MLP (64-64),mlp,0.05,0.25,6,0.325,0.0,0.0,0.0,0.0391,0.0,0.0118,0.0639,0.265,0.0,1.0,0.0,False
MLP (64-64),mlp,0.05,0.5,6,0.325,0.0,0.0,0.0,0.0391,0.0,0.0081,0.0703,0.265,0.0,1.0,0.0,False
MLP (64-64),mlp,0.05,0.75,6,0.67,0.0662,0.0662,0.1101,0.1847,0.735,0.0016,0.079,0.675,0.0097,0.24,0.0,False
MLP (64-64),mlp,0.05,1.0,6,0.675,0.0,0.0,0.0,0.2407,,0.0003,0.0878,0.735,0.0,0.0,0.001,False
MLP (64-64),mlp,0.25,0.0,6,0.67,0.0299,0.0299,0.0895,0.229,0.885,0.0104,0.0949,0.71,0.0138,0.125,0.0,False
MLP (64-64),mlp,0.25,0.005,6,0.67,0.0299,0.0299,0.0895,0.229,0.885,0.0112,0.0949,0.705,0.0062,0.12,0.0,False
MLP (64-64),mlp,0.25,0.05,6,0.67,0.0299,0.0299,0.0895,0.229,0.885,0.0039,0.0949,0.71,0.0014,0.115,0.001,False
MLP (64-64),mlp,0.25,0.25,6,0.69,0.0217,0.0217,0.0594,0.22,0.925,0.0023,0.0987,0.745,0.0412,0.06,0.0,False
MLP (64-64),mlp,0.25,0.5,6,0.685,0.0279,0.0279,0.0495,0.2265,0.94,0.0116,0.1025,0.735,0.0015,0.03,0.0,False
MLP (64-64),mlp,0.25,0.75,6,0.675,0.0,0.0,0.0,0.2407,,0.0019,0.1017,0.735,0.0,0.0,0.0,False
MLP (64-64),mlp,0.25,1.0,6,0.675,0.0,0.0,0.0,0.2407,,0.0006,0.1007,0.735,0.0,0.0,0.0,False
MLP (64-64),mlp,0.5,0.0,6,0.68,0.0175,0.0175,0.1311,0.2271,0.915,0.0119,0.1106,0.745,0.0259,0.07,0.0,False
MLP (64-64),mlp,0.5,0.005,6,0.68,0.0175,0.0175,0.1311,0.2271,0.915,0.0124,0.1106,0.74,0.0335,0.065,0.0,False
MLP (64-64),mlp,0.5,0.05,6,0.685,0.0021,0.0021,0.1311,0.2237,0.92,0.0104,0.1109,0.735,0.019,0.06,0.0,False
MLP (64-64),mlp,0.5,0.25,6,0.695,0.0016,0.0016,0.0723,0.2173,0.94,0.0056,0.114,0.725,0.0053,0.04,0.0,False
MLP (64-64),mlp,0.5,0.5,6,0.69,0.0083,0.0083,0.0723,0.2213,0.935,0.01,0.1161,0.73,0.0198,0.045,0.0,False
MLP (64-64),mlp,0.5,0.75,6,0.69,0.0217,0.0217,0.0594,0.22,0.925,0.0006,0.1161,0.73,0.0267,0.055,0.0,False
MLP (64-64),mlp,0.5,1.0,6,0.69,0.0217,0.0217,0.0594,0.22,0.925,0.0009,0.1163,0.73,0.0267,0.055,0.001,False
MLP (64-64),mlp,0.75,0.0,6,0.685,0.0108,0.0108,0.1103,0.2219,0.91,0.0096,0.1136,0.74,0.0335,0.065,0.001,False
MLP (64-64),mlp,0.75,0.005,6,0.685,0.0108,0.0108,0.1103,0.2219,0.91,0.0096,0.1136,0.74,0.0335,0.065,0.0,False
MLP (64-64),mlp,0.75,0.05,6,0.685,0.0021,0.0021,0.1311,0.2237,0.92,0.0099,0.1138,0.74,0.0335,0.065,0.0,False
MLP (64-64),mlp,0.75,0.25,6,0.685,0.015,0.015,0.0723,0.2252,0.93,0.0049,0.1149,0.74,0.0335,0.065,0.0,False
MLP (64-64),mlp,0.75,0.5,6,0.69,0.0083,0.0083,0.0723,0.2213,0.935,0.0088,0.117,0.73,0.0198,0.045,0.0,False
MLP (64-64),mlp,0.75,0.75,6,0.69,0.0212,0.0212,0.0396,0.2225,0.945,0.0073,0.119,0.735,0.0015,0.03,0.0,False
