Arch,Variant,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression,No fairness (α=1),0.746 ± 0.004,0.122 ± 0.008,0.122 ± 0.008,0.109 ± 0.009,0.102 ± 0.002,0.333 ± 0.005
Logistic Regression,"SoftGE only (α=0.75, β=0)",0.746 ± 0.004,0.113 ± 0.007,0.113 ± 0.007,0.095 ± 0.009,0.098 ± 0.002,0.319 ± 0.006
Logistic Regression,"SoftDP only (α=0.75, β=1)",0.747 ± 0.004,0.009 ± 0.007,0.009 ± 0.007,0.096 ± 0.014,0.099 ± 0.002,0.324 ± 0.006
Logistic Regression,"Blend (α=0.75, β=0.5)",0.747 ± 0.004,0.009 ± 0.007,0.009 ± 0.007,0.097 ± 0.015,0.098 ± 0.002,0.317 ± 0.005
MLP (64-64),No fairness (α=1),0.769 ± 0.004,0.088 ± 0.007,0.088 ± 0.007,0.084 ± 0.008,0.099 ± 0.003,0.358 ± 0.007
MLP (64-64),"SoftGE only (α=0.75, β=0)",0.768 ± 0.005,0.080 ± 0.009,0.080 ± 0.009,0.076 ± 0.011,0.096 ± 0.003,0.346 ± 0.010
MLP (64-64),"SoftDP only (α=0.75, β=1)",0.766 ± 0.004,0.017 ± 0.016,0.017 ± 0.016,0.146 ± 0.020,0.096 ± 0.003,0.342 ± 0.010
MLP (64-64),"Blend (α=0.75, β=0.25)",0.768 ± 0.004,0.026 ± 0.009,0.026 ± 0.009,0.096 ± 0.018,0.096 ± 0.003,0.345 ± 0.009
