Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,6,1.0,0.0,0.7439,0.1232,0.1232,0.1249,0.1039,0.3388
"Fair Logistic Regression (α=0.75, β=0.5)",Fair Logistic Regression,6,0.75,0.5,0.7428,0.0065,0.0065,0.116,0.0997,0.3217
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,6,1.0,0.0,0.7679,0.0897,0.0897,0.096,0.0961,0.348
"Fair MLP (64-64) (α=0.75, β=1.0)",Fair MLP (64-64),6,0.75,1.0,0.7685,0.0039,0.0039,0.1495,0.0929,0.3362
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),6,,,0.7486,0.0169,0.0169,0.1111,0.1005,0.3335
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),6,,,0.7368,0.0445,0.0445,0.0432,0.107,0.3393
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),6,,,0.7461,0.0015,0.0015,0.1329,0.0991,0.3242
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),6,,,0.7503,0.0474,0.0474,0.0744,0.1003,0.3354
Random Forest (no fairness),Random Forest (no fairness),6,,,0.7429,0.0956,0.0956,0.125,0.1207,0.4004
XGBoost (no fairness),XGBoost (no fairness),6,,,0.7715,0.0735,0.0735,0.0786,0.0979,0.3616
