Model,Arch,Alpha,Beta,Seed,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Soft DP,Soft GE,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
Logistic Regression,logreg,0.0,0.0,6,0.5823,0.0126,0.0126,0.0211,0.0607,0.0136,0.0198,0.0583,0.5943,0.0112,0.9861,1.034,True
Logistic Regression,logreg,0.0,0.005,6,0.5815,0.0107,0.0107,0.0169,0.0606,0.0128,0.0155,0.0583,0.5939,0.0088,0.9865,1.072,True
Logistic Regression,logreg,0.0,0.05,6,0.5802,0.0014,0.0014,0.0041,0.0606,0.0117,0.0002,0.0584,0.593,0.0018,0.9868,0.994,True
Logistic Regression,logreg,0.0,0.25,6,0.5766,0.0017,0.0017,0.0007,0.0603,0.0075,0.0002,0.0585,0.5891,0.0011,0.9913,0.957,True
Logistic Regression,logreg,0.0,0.5,6,0.571,0.0017,0.0017,0.0025,0.06,0.0019,0.0001,0.0591,0.583,0.0002,0.9978,0.947,True
Logistic Regression,logreg,0.0,0.75,6,0.5696,0.0006,0.0006,0.0012,0.0599,0.0003,0.0002,0.0602,0.5811,0.0002,0.9997,0.768,True
Logistic Regression,logreg,0.0,1.0,6,0.5694,0.0002,0.0002,0.0004,0.0599,0.0001,0.0013,0.1092,0.5808,0.0004,0.9998,0.148,True
Logistic Regression,logreg,0.005,0.0,6,0.5947,0.0213,0.0213,0.0329,0.0615,0.027,0.0285,0.0588,0.6084,0.0135,0.9712,0.969,True
Logistic Regression,logreg,0.005,0.005,6,0.5946,0.0171,0.0171,0.023,0.0615,0.0269,0.0215,0.0588,0.6082,0.0091,0.9714,1.018,True
Logistic Regression,logreg,0.005,0.05,6,0.5947,0.006,0.006,0.002,0.0617,0.0276,0.0,0.0589,0.6085,0.0032,0.9707,1.502,True
Logistic Regression,logreg,0.005,0.25,6,0.5944,0.0038,0.0038,0.0067,0.0617,0.0275,0.0001,0.0593,0.6083,0.0024,0.9711,1.145,True
Logistic Regression,logreg,0.005,0.5,6,0.5771,0.0022,0.0022,0.0011,0.0604,0.0084,0.0002,0.0611,0.5876,0.0002,0.9926,0.664,True
Logistic Regression,logreg,0.005,0.75,6,0.5706,0.0013,0.0013,0.0018,0.06,0.0015,0.0006,0.0646,0.5825,0.0001,0.9983,0.372,True
Logistic Regression,logreg,0.005,1.0,6,0.5747,0.0041,0.0041,0.0062,0.0615,0.01,0.0019,0.1188,0.5845,0.0011,0.9903,0.092,True
Logistic Regression,logreg,0.05,0.0,6,0.654,0.0412,0.0412,0.0279,0.0666,0.0993,0.0551,0.0649,0.6612,0.0336,0.904,1.021,True
Logistic Regression,logreg,0.05,0.005,6,0.6536,0.0312,0.0312,0.0126,0.0664,0.0983,0.0433,0.0649,0.6609,0.0267,0.9053,1.081,True
Logistic Regression,logreg,0.05,0.05,6,0.6558,0.005,0.005,0.0652,0.0666,0.1009,0.0002,0.0654,0.6621,0.0006,0.9041,0.979,True
Logistic Regression,logreg,0.05,0.25,6,0.6596,0.0015,0.0015,0.0613,0.0677,0.1085,0.0001,0.0672,0.667,0.0002,0.896,1.044,True
Logistic Regression,logreg,0.05,0.5,6,0.6591,0.004,0.004,0.0488,0.0689,0.1124,0.0007,0.0709,0.6678,0.0007,0.8898,0.916,True
Logistic Regression,logreg,0.05,0.75,6,0.6331,0.0017,0.0017,0.0326,0.0692,0.0882,0.0015,0.0807,0.6463,0.0025,0.9107,0.406,True
Logistic Regression,logreg,0.05,1.0,6,0.5809,0.0061,0.0061,0.0108,0.0651,0.0274,0.0011,0.1119,0.5906,0.0019,0.9746,0.108,True
Logistic Regression,logreg,0.25,0.0,6,0.733,0.0875,0.0875,0.0705,0.0833,0.2471,0.0812,0.0784,0.7327,0.0801,0.7625,1.215,True
Logistic Regression,logreg,0.25,0.005,6,0.7337,0.0782,0.0782,0.0637,0.0828,0.2464,0.0749,0.0784,0.7334,0.0719,0.7632,0.964,True
Logistic Regression,logreg,0.25,0.05,6,0.7337,0.0202,0.0202,0.0871,0.0825,0.2452,0.0162,0.079,0.7357,0.002,0.7633,1.062,True
Logistic Regression,logreg,0.25,0.25,6,0.7378,0.0002,0.0002,0.1251,0.0847,0.2587,0.0005,0.0811,0.7387,0.0116,0.7531,0.999,True
Logistic Regression,logreg,0.25,0.5,6,0.7393,0.0021,0.0021,0.125,0.0888,0.2762,0.0005,0.0839,0.7419,0.0095,0.7331,1.037,True
Logistic Regression,logreg,0.25,0.75,6,0.7377,0.0023,0.0023,0.1178,0.0926,0.288,0.0008,0.0878,0.7399,0.0076,0.7213,0.702,True
Logistic Regression,logreg,0.25,1.0,6,0.7416,0.0028,0.0028,0.1238,0.1007,0.3233,0.0004,0.0926,0.7458,0.0061,0.6846,0.831,True
Logistic Regression,logreg,0.5,0.0,6,0.7456,0.107,0.107,0.0997,0.0926,0.2993,0.0902,0.0848,0.7448,0.0983,0.7048,0.833,True
Logistic Regression,logreg,0.5,0.005,6,0.7462,0.1034,0.1034,0.0965,0.0924,0.2993,0.0873,0.0848,0.7457,0.0946,0.7053,0.835,True
Logistic Regression,logreg,0.5,0.05,6,0.7456,0.0687,0.0687,0.0682,0.0923,0.2979,0.0605,0.085,0.7467,0.0656,0.7087,0.777,True
Logistic Regression,logreg,0.5,0.25,6,0.7435,0.0002,0.0002,0.1292,0.0937,0.3002,0.0003,0.0868,0.7477,0.0078,0.7071,0.756,True
Logistic Regression,logreg,0.5,0.5,6,0.743,0.005,0.005,0.1226,0.0964,0.3097,0.0007,0.0881,0.749,0.0004,0.6966,0.709,True
Logistic Regression,logreg,0.5,0.75,6,0.7437,0.0085,0.0085,0.117,0.0985,0.3184,0.0009,0.0896,0.7497,0.0016,0.6883,0.701,True
Logistic Regression,logreg,0.5,1.0,6,0.7427,0.0071,0.0071,0.1154,0.1014,0.3278,0.0005,0.0913,0.7494,0.0002,0.6786,0.687,True
Logistic Regression,logreg,0.75,0.0,6,0.745,0.1156,0.1156,0.1129,0.0999,0.3255,0.0941,0.088,0.7471,0.1101,0.6825,0.704,True
Logistic Regression,logreg,0.75,0.005,6,0.7452,0.1128,0.1128,0.1104,0.0997,0.3251,0.093,0.088,0.7468,0.1091,0.683,0.705,True
Logistic Regression,logreg,0.75,0.05,6,0.7449,0.1007,0.1007,0.0994,0.0994,0.3238,0.0828,0.088,0.7485,0.0989,0.6825,0.707,True
Logistic Regression,logreg,0.75,0.25,6,0.7466,0.0462,0.0462,0.073,0.0981,0.3213,0.0361,0.0887,0.751,0.0412,0.6854,0.701,True
Logistic Regression,logreg,0.75,0.5,6,0.7428,0.0065,0.0065,0.116,0.0997,0.3217,0.0,0.09,0.7501,0.0008,0.6839,0.69,True
Logistic Regression,logreg,0.75,0.75,6,0.7427,0.006,0.006,0.116,0.1008,0.3256,0.0002,0.0905,0.7495,0.0006,0.6803,0.718,True
Logistic Regression,logreg,0.75,1.0,6,0.7427,0.0053,0.0053,0.1146,0.1019,0.3296,0.0001,0.0911,0.7493,0.0016,0.6777,0.795,True
