Alpha,Beta,Group Fairness,Individual Fairness,Accuracy,Demographic Parity Difference,Equalized Odds Difference,Theil Index,Gini Coefficient,Train Time (s),Trained This Run
0.0,0.25,equalized_odds_difference,theil_index,0.4,0.32,1.0,0.09,0.12,1.137,True
0.0,0.25,equalized_odds_difference,generalized_entropy_index,0.44,0.26,0.38,0.45,0.83,1.13,True
0.0,0.25,equalized_odds_difference,atkinson_index,0.48,0.63,0.66,0.12,0.24,1.139,True
0.0,0.25,equalized_odds_difference,gini_coefficient,0.29,0.47,1.0,0.28,0.46,1.173,True
0.0,0.25,equal_opportunity_difference,theil_index,0.28,0.44,1.0,0.33,0.52,0.793,True
0.0,0.25,equal_opportunity_difference,generalized_entropy_index,0.23,1.0,1.0,0.36,0.54,0.788,True
0.0,0.25,equal_opportunity_difference,atkinson_index,0.85,0.41,1.0,0.06,0.5,0.781,True
0.0,0.25,equal_opportunity_difference,gini_coefficient,0.5,0.76,0.77,0.22,0.51,0.795,True
0.0,0.25,disparate_impact_difference,theil_index,0.7,0.78,0.88,0.14,0.54,0.534,True
0.0,0.25,disparate_impact_difference,generalized_entropy_index,0.49,1.0,1.0,0.44,0.89,0.538,True
0.0,0.25,disparate_impact_difference,atkinson_index,0.57,0.16,0.17,0.35,0.89,0.539,True
0.0,0.25,disparate_impact_difference,gini_coefficient,0.32,0.35,1.0,0.3,0.5,0.535,True
0.0,0.5,demographic_parity_difference,theil_index,0.46,0.34,0.46,0.44,0.85,0.54,True
0.0,0.5,demographic_parity_difference,generalized_entropy_index,0.4,0.52,1.0,0.32,0.61,0.553,True
0.0,0.5,demographic_parity_difference,atkinson_index,0.46,0.46,0.94,0.32,0.66,0.531,True
0.0,0.5,demographic_parity_difference,gini_coefficient,0.63,0.88,0.98,0.13,0.41,0.538,True
0.0,0.5,equalized_odds_difference,theil_index,0.64,0.56,0.95,0.2,0.62,1.151,True
0.0,0.5,equalized_odds_difference,generalized_entropy_index,0.6,0.69,0.81,0.23,0.64,1.152,True
0.0,0.5,equalized_odds_difference,atkinson_index,0.35,0.2,0.32,0.12,0.16,1.144,True
0.0,0.5,equalized_odds_difference,gini_coefficient,0.65,0.29,0.61,0.2,0.65,1.157,True
0.0,0.5,equal_opportunity_difference,theil_index,0.38,0.59,0.76,0.24,0.45,0.797,True
0.0,0.5,equal_opportunity_difference,generalized_entropy_index,0.58,0.53,0.64,0.1,0.29,0.799,True
0.0,0.5,equal_opportunity_difference,atkinson_index,0.84,0.27,1.0,0.06,0.45,0.796,True
0.0,0.5,equal_opportunity_difference,gini_coefficient,0.49,0.61,0.64,0.22,0.5,0.8,True
0.0,0.5,disparate_impact_difference,theil_index,0.68,0.25,1.0,0.19,0.68,0.557,True
0.0,0.5,disparate_impact_difference,generalized_entropy_index,0.35,0.67,1.0,0.13,0.18,0.551,True
0.0,0.5,disparate_impact_difference,atkinson_index,0.54,0.56,0.73,0.09,0.19,0.538,True
0.0,0.5,disparate_impact_difference,gini_coefficient,0.49,0.76,0.97,0.07,0.11,0.545,True
0.0,0.75,demographic_parity_difference,theil_index,0.64,0.47,1.0,0.19,0.58,0.542,True
0.0,0.75,demographic_parity_difference,generalized_entropy_index,0.32,0.8,1.0,0.28,0.48,0.549,True
0.0,0.75,demographic_parity_difference,atkinson_index,0.51,0.51,1.0,0.24,0.56,0.54,True
0.0,0.75,demographic_parity_difference,gini_coefficient,0.48,0.2,1.0,0.08,0.13,0.54,True
0.0,0.75,equalized_odds_difference,theil_index,0.36,0.36,0.5,0.17,0.29,1.165,True
0.0,0.75,equalized_odds_difference,generalized_entropy_index,0.31,0.46,0.78,0.21,0.35,1.162,True
0.0,0.75,equalized_odds_difference,atkinson_index,0.34,0.6,0.75,0.42,0.69,1.185,True
0.0,0.75,equalized_odds_difference,gini_coefficient,0.58,1.0,1.0,0.32,0.84,1.191,True
0.0,0.75,equal_opportunity_difference,theil_index,0.67,0.67,1.0,0.18,0.62,0.805,True
0.0,0.75,equal_opportunity_difference,generalized_entropy_index,0.72,0.54,0.62,0.06,0.3,0.825,True
0.0,0.75,equal_opportunity_difference,atkinson_index,0.81,0.42,1.0,0.08,0.5,0.805,True
