Model,Arch,Alpha,Beta,Seed,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Soft DP,Soft GE,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
Logistic Regression,logreg,0.0,0.0,8,0.3707,0.0,0.0,0.0,0.0439,0.0,0.0085,0.0444,0.3731,0.0,1.0,0.916,True
Logistic Regression,logreg,0.0,0.005,8,0.3707,0.0,0.0,0.0,0.0439,0.0,0.0076,0.0444,0.3731,0.0,1.0,0.894,True
Logistic Regression,logreg,0.0,0.05,8,0.3707,0.0,0.0,0.0,0.0439,0.0,0.0022,0.0444,0.3731,0.0,1.0,1.021,True
Logistic Regression,logreg,0.0,0.25,8,0.3707,0.0,0.0,0.0,0.0439,0.0,0.0002,0.0445,0.3731,0.0,1.0,0.913,True
Logistic Regression,logreg,0.0,0.5,8,0.3707,0.0,0.0,0.0,0.0439,0.0,0.0001,0.0447,0.3731,0.0,1.0,0.902,True
Logistic Regression,logreg,0.0,0.75,8,0.3707,0.0,0.0,0.0,0.0439,0.0,0.0003,0.0451,0.3731,0.0,1.0,0.945,True
Logistic Regression,logreg,0.0,1.0,8,0.6294,0.0,0.0,0.0009,0.2944,0.9989,0.0027,0.1325,0.627,0.0004,0.0007,0.121,True
Logistic Regression,logreg,0.005,0.0,8,0.3707,0.0,0.0,0.0,0.0439,0.0,0.0093,0.0465,0.3732,0.001,0.9999,1.026,True
Logistic Regression,logreg,0.005,0.005,8,0.3708,0.0001,0.0001,0.0002,0.0439,0.0001,0.0,0.0465,0.3731,0.0,1.0,1.151,True
Logistic Regression,logreg,0.005,0.05,8,0.3707,0.0,0.0,0.0,0.0439,0.0,0.0004,0.0466,0.3732,0.001,0.9999,1.335,True
Logistic Regression,logreg,0.005,0.25,8,0.3707,0.0,0.0,0.0,0.0439,0.0,0.0001,0.0473,0.3731,0.0,1.0,0.956,True
Logistic Regression,logreg,0.005,0.5,8,0.3707,0.0,0.0,0.0,0.0439,0.0,0.0008,0.0514,0.3731,0.0,1.0,0.256,True
Logistic Regression,logreg,0.005,0.75,8,0.3707,0.0,0.0,0.0,0.0439,0.0,0.0007,0.0536,0.3731,0.0,1.0,0.331,True
Logistic Regression,logreg,0.005,1.0,8,0.6297,0.0005,0.0005,0.0009,0.294,0.9994,0.0027,0.1345,0.6271,0.0004,0.0004,0.193,True
Logistic Regression,logreg,0.05,0.0,8,0.4542,0.0576,0.0576,0.0571,0.0626,0.1191,0.068,0.059,0.4501,0.0629,0.8926,1.025,True
Logistic Regression,logreg,0.05,0.005,8,0.449,0.0173,0.0173,0.0064,0.0612,0.1109,0.0336,0.0591,0.4447,0.0204,0.9,1.218,True
Logistic Regression,logreg,0.05,0.05,8,0.4509,0.0268,0.0268,0.0753,0.0619,0.1146,0.0021,0.0596,0.4482,0.0325,0.8951,1.051,True
Logistic Regression,logreg,0.05,0.25,8,0.4711,0.0473,0.0473,0.1116,0.0669,0.1452,0.001,0.0624,0.467,0.0543,0.8641,1.012,True
Logistic Regression,logreg,0.05,0.5,8,0.5378,0.0087,0.0087,0.0775,0.0905,0.2711,0.0008,0.0675,0.5356,0.0269,0.7361,1.021,True
