Arch,Variant,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression,No fairness (α=1),0.845 ± 0.004,0.184 ± 0.007,0.184 ± 0.007,0.107 ± 0.030,0.084 ± 0.002,0.798 ± 0.004
Logistic Regression,"SoftGE only (α=0.75, β=0)",0.845 ± 0.004,0.189 ± 0.007,0.189 ± 0.007,0.113 ± 0.030,0.083 ± 0.002,0.793 ± 0.004
Logistic Regression,"SoftDP only (α=0.75, β=1)",0.833 ± 0.003,0.040 ± 0.008,0.040 ± 0.008,0.246 ± 0.023,0.094 ± 0.002,0.827 ± 0.005
Logistic Regression,"Blend (α=0.75, β=1.0)",0.833 ± 0.003,0.040 ± 0.008,0.040 ± 0.008,0.246 ± 0.023,0.094 ± 0.002,0.827 ± 0.005
MLP (64-64),No fairness (α=1),0.851 ± 0.004,0.182 ± 0.008,0.182 ± 0.008,0.097 ± 0.024,0.080 ± 0.003,0.795 ± 0.005
MLP (64-64),"SoftGE only (α=0.5, β=0)",0.851 ± 0.004,0.191 ± 0.007,0.191 ± 0.007,0.097 ± 0.015,0.079 ± 0.002,0.782 ± 0.005
MLP (64-64),"SoftDP only (α=0.5, β=1)",0.831 ± 0.004,0.009 ± 0.005,0.009 ± 0.005,0.321 ± 0.023,0.095 ± 0.003,0.822 ± 0.005
MLP (64-64),"Blend (α=0.5, β=0.5)",0.836 ± 0.004,0.023 ± 0.012,0.023 ± 0.012,0.290 ± 0.030,0.091 ± 0.003,0.814 ± 0.007
