Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,8,1.0,0.0,0.8467,0.1815,0.1815,0.0883,0.0824,0.7985
"Fair Logistic Regression (α=0.5, β=0.5)",Fair Logistic Regression,8,0.5,0.5,0.831,0.0049,0.0049,0.3332,0.0938,0.819
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,8,1.0,0.0,0.85,0.1801,0.1801,0.0929,0.0811,0.8029
"Fair MLP (64-64) (α=0.75, β=1.0)",Fair MLP (64-64),8,0.75,1.0,0.8405,0.0305,0.0305,0.278,0.088,0.8161
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),8,,,0.8339,0.0137,0.0137,0.3208,0.0924,0.8213
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),8,,,0.8411,0.1124,0.1124,0.0367,0.0877,0.8164
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),8,,,0.8285,0.0049,0.0049,0.3407,0.0946,0.8153
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),8,,,0.8434,0.0813,0.0813,0.207,0.0853,0.8076
Random Forest (no fairness),Random Forest (no fairness),8,,,0.8439,0.1805,0.1805,0.0866,0.0824,0.7873
