Model,Arch,Alpha,Beta,Seed,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient,Soft DP,Soft GE,Val Accuracy,Val DPD (Largest 2 Groups),Val Positive Rate,Train Time (s),Trained This Run
Logistic Regression,logreg,0.0,0.0,5,0.254,0.0059,0.0059,0.0059,0.0311,0.0041,0.1186,0.0291,0.2501,0.0084,0.9957,0.001,False
Logistic Regression,logreg,0.0,0.005,5,0.2526,0.0006,0.0006,0.0005,0.031,0.003,0.0816,0.0291,0.2486,0.0024,0.9971,0.001,False
Logistic Regression,logreg,0.0,0.05,5,0.2535,0.0043,0.0043,0.0064,0.0311,0.0039,0.0002,0.0299,0.2493,0.0037,0.9965,0.001,False
Logistic Regression,logreg,0.0,0.25,5,0.2516,0.002,0.002,0.0029,0.0309,0.002,0.0006,0.0309,0.2474,0.0014,0.9983,0.001,False
Logistic Regression,logreg,0.0,0.5,5,0.2582,0.005,0.005,0.0087,0.0317,0.0087,0.0002,0.0342,0.2538,0.0069,0.9915,0.0,False
Logistic Regression,logreg,0.0,0.75,5,0.2684,0.0074,0.0074,0.0149,0.033,0.0195,0.0007,0.0383,0.2631,0.0071,0.9813,0.0,False
Logistic Regression,logreg,0.0,1.0,5,0.6784,0.0118,0.0118,0.0462,0.1966,0.8643,0.0015,0.0661,0.6847,0.0085,0.1299,0.0,False
Logistic Regression,logreg,0.005,0.0,5,0.3365,0.126,0.126,0.1262,0.0406,0.0876,0.1481,0.0302,0.326,0.1304,0.9195,0.001,False
Logistic Regression,logreg,0.005,0.005,5,0.3128,0.0395,0.0395,0.0278,0.0379,0.0636,0.1091,0.0302,0.3039,0.0429,0.9416,0.0,False
Logistic Regression,logreg,0.005,0.05,5,0.3025,0.0597,0.0597,0.0912,0.0369,0.0535,0.0004,0.0311,0.2946,0.0518,0.9509,0.001,False
Logistic Regression,logreg,0.005,0.25,5,0.2834,0.0243,0.0243,0.0411,0.0346,0.0342,0.0004,0.0322,0.2767,0.021,0.9684,0.0,False
Logistic Regression,logreg,0.005,0.5,5,0.2784,0.0178,0.0178,0.0311,0.0341,0.0294,0.0004,0.0341,0.2729,0.0133,0.9716,0.0,False
Logistic Regression,logreg,0.005,0.75,5,0.2926,0.0208,0.0208,0.0385,0.0362,0.0452,0.0016,0.0385,0.2825,0.0158,0.9602,0.0,False
Logistic Regression,logreg,0.005,1.0,5,0.7425,0.0019,0.0019,0.0206,0.1719,0.9714,0.0012,0.0702,0.7466,0.0044,0.0258,0.0,False
Logistic Regression,logreg,0.05,0.0,5,0.8091,0.3247,0.3247,0.2109,0.072,0.6375,0.2138,0.0408,0.8039,0.3195,0.3638,0.001,False
Logistic Regression,logreg,0.05,0.005,5,0.8086,0.3015,0.3015,0.1906,0.0721,0.6373,0.1926,0.0408,0.8055,0.2982,0.3604,0.001,False
Logistic Regression,logreg,0.05,0.05,5,0.7763,0.0673,0.0673,0.121,0.08,0.6163,0.0034,0.0422,0.7757,0.0731,0.3772,0.0,False
Logistic Regression,logreg,0.05,0.25,5,0.7786,0.0268,0.0268,0.1612,0.0861,0.6448,0.0025,0.0448,0.7752,0.034,0.3509,0.001,False
Logistic Regression,logreg,0.05,0.5,5,0.7954,0.027,0.027,0.1664,0.0931,0.7065,0.002,0.0491,0.7975,0.0342,0.286,0.0,False
Logistic Regression,logreg,0.05,0.75,5,0.7978,0.0498,0.0498,0.0614,0.1092,0.792,0.0003,0.0588,0.7992,0.0432,0.2049,0.001,False
Logistic Regression,logreg,0.05,1.0,5,0.7592,0.0078,0.0078,0.0048,0.1586,0.9887,0.0015,0.0777,0.763,0.0078,0.0129,0.0,False
Logistic Regression,logreg,0.25,0.0,5,0.8498,0.2237,0.2237,0.1752,0.0778,0.7688,0.2141,0.0492,0.8437,0.2126,0.2329,0.0,False
Logistic Regression,logreg,0.25,0.005,5,0.8496,0.2197,0.2197,0.1655,0.078,0.7698,0.2094,0.0492,0.8447,0.2076,0.2313,0.001,False
Logistic Regression,logreg,0.25,0.05,5,0.8472,0.1769,0.1769,0.0692,0.0808,0.7811,0.164,0.05,0.8463,0.1701,0.2179,0.001,False
Logistic Regression,logreg,0.25,0.25,5,0.8322,0.0266,0.0266,0.2648,0.0917,0.8006,0.0061,0.0559,0.832,0.0186,0.1958,0.003,False
Logistic Regression,logreg,0.25,0.5,5,0.8312,0.023,0.023,0.2714,0.0939,0.813,0.007,0.0577,0.8306,0.0135,0.1812,0.001,False
Logistic Regression,logreg,0.25,0.75,5,0.8247,0.034,0.034,0.1769,0.1012,0.8423,0.0053,0.0606,0.8248,0.0175,0.1552,0.001,False
Logistic Regression,logreg,0.25,1.0,5,0.8191,0.0326,0.0326,0.1647,0.107,0.8651,0.0049,0.0635,0.8187,0.0176,0.1334,0.001,False
Logistic Regression,logreg,0.5,0.0,5,0.8488,0.2052,0.2052,0.1561,0.0807,0.7866,0.203,0.051,0.8467,0.1948,0.2136,0.001,False
Logistic Regression,logreg,0.5,0.005,5,0.8484,0.2039,0.2039,0.1541,0.081,0.7872,0.2012,0.0511,0.8467,0.1926,0.2138,0.001,False
Logistic Regression,logreg,0.5,0.05,5,0.8486,0.1905,0.1905,0.1264,0.0816,0.7931,0.1856,0.0514,0.8469,0.1767,0.2078,0.001,False
Logistic Regression,logreg,0.5,0.25,5,0.8434,0.1149,0.1149,0.0669,0.0861,0.8065,0.1063,0.054,0.8436,0.1043,0.1879,0.0,False
Logistic Regression,logreg,0.5,0.5,5,0.8294,0.0169,0.0169,0.2862,0.0964,0.8252,0.0073,0.059,0.8321,0.003,0.1696,0.001,False
Logistic Regression,logreg,0.5,0.75,5,0.8285,0.0131,0.0131,0.2915,0.0976,0.8312,0.0079,0.0598,0.8296,0.0013,0.1619,0.003,False
Logistic Regression,logreg,0.5,1.0,5,0.8259,0.0118,0.0118,0.294,0.1004,0.8418,0.0065,0.0609,0.8284,0.0009,0.1538,0.003,False
Logistic Regression,logreg,0.75,0.0,5,0.8483,0.1977,0.1977,0.1461,0.082,0.795,0.1984,0.0518,0.8469,0.1876,0.2045,0.0,False
Logistic Regression,logreg,0.75,0.005,5,0.8484,0.1975,0.1975,0.1461,0.082,0.7951,0.1978,0.0518,0.8468,0.1866,0.2042,0.001,False
Logistic Regression,logreg,0.75,0.05,5,0.8483,0.1917,0.1917,0.1359,0.0822,0.7964,0.1924,0.052,0.8471,0.1806,0.2032,0.002,False
Logistic Regression,logreg,0.75,0.25,5,0.8475,0.1695,0.1695,0.0867,0.0834,0.8029,0.1673,0.0527,0.8474,0.1546,0.1956,0.001,False
Logistic Regression,logreg,0.75,0.5,5,0.845,0.1375,0.1375,0.0379,0.0856,0.8092,0.1335,0.0538,0.8453,0.1225,0.1855,0.002,False
Logistic Regression,logreg,0.75,0.75,5,0.8434,0.0953,0.0953,0.1041,0.0876,0.8193,0.0964,0.0554,0.8446,0.0894,0.1786,0.0,False
Logistic Regression,logreg,0.75,1.0,5,0.8383,0.0571,0.0571,0.2004,0.0915,0.8279,0.0543,0.0576,0.8379,0.0501,0.1684,0.0,False
Logistic Regression,logreg,1.0,0.0,5,0.8482,0.1947,0.1947,0.148,0.0825,0.7987,0.1957,0.0523,0.8471,0.1852,0.2001,0.0,False
Logistic Regression,logreg,1.0,0.005,5,0.8482,0.1947,0.1947,0.148,0.0825,0.7987,0.1957,0.0523,0.8471,0.1852,0.2001,0.0,False
Logistic Regression,logreg,1.0,0.05,5,0.8482,0.1947,0.1947,0.148,0.0825,0.7987,0.1957,0.0523,0.8471,0.1852,0.2001,0.0,False
