Model,Family,Seed,Alpha,Beta,Accuracy,Demographic Parity Difference,DPD (Largest 2 Groups),Equalized Odds Difference,Theil Index,Gini Coefficient
Logistic Regression baseline (BCE only),Logistic Regression baseline,5,1.0,0.0,0.8482,0.1947,0.1947,0.148,0.0825,0.7987
"Fair Logistic Regression (α=0.5, β=0.5)",Fair Logistic Regression,5,0.5,0.5,0.8294,0.0169,0.0169,0.2862,0.0964,0.8252
MLP (64-64) baseline (BCE only),MLP (64-64) baseline,5,1.0,0.0,0.8533,0.1958,0.1958,0.1246,0.0788,0.7909
"Fair MLP (64-64) (α=0.5, β=0.5)",Fair MLP (64-64),5,0.5,0.5,0.84,0.0308,0.0308,0.2784,0.0893,0.8172
ExpGrad LogReg (Demographic Parity),ExpGrad LogReg (Demographic Parity),5,,,0.8321,0.0233,0.0233,0.2754,0.095,0.8263
ExpGrad LogReg (Equalized Odds),ExpGrad LogReg (Equalized Odds),5,,,0.8408,0.1195,0.1195,0.0254,0.0888,0.8163
ThresholdOptimizer LogReg (Demographic Parity),ThresholdOptimizer LogReg (Demographic Parity),5,,,0.8318,0.0179,0.0179,0.2785,0.0934,0.8122
Reweighing LogReg (Kamiran-Calders),Reweighing LogReg (Kamiran-Calders),5,,,0.8421,0.1036,0.1036,0.095,0.0871,0.8081
Random Forest (no fairness),Random Forest (no fairness),5,,,0.8442,0.2142,0.2142,0.1517,0.082,0.7779
